name,proximity_2_A_HD,proximity_2_C_HD,proximity_2_C_OA,proximity_2_C_SA,proximity_2_FE_HD,proximity_2_HD_HD,proximity_2_HD_MG,proximity_2_HD_N,proximity_2_HD_NA,proximity_2_HD_OA,proximity_2_HD_ZN,proximity_2_MG_OA,proximity_2_NA_ZN,proximity_2_OA_ZN,proximity_4_A_A,proximity_4_A_BR,proximity_4_A_C,proximity_4_A_CL,proximity_4_A_F,proximity_4_A_FE,proximity_4_A_HD,proximity_4_A_I,proximity_4_A_N,proximity_4_A_NA,proximity_4_A_OA,proximity_4_A_P,proximity_4_A_S,proximity_4_A_SA,proximity_4_A_ZN,proximity_4_BR_C,proximity_4_BR_HD,proximity_4_BR_N,proximity_4_BR_OA,proximity_4_C_C,proximity_4_C_CL,proximity_4_C_F,proximity_4_C_FE,proximity_4_C_HD,proximity_4_C_I,proximity_4_CL_HD,proximity_4_CL_N,proximity_4_CL_OA,proximity_4_CL_SA,proximity_4_C_MG,proximity_4_C_MN,proximity_4_C_N,proximity_4_C_NA,proximity_4_C_OA,proximity_4_C_P,proximity_4_C_S,proximity_4_C_SA,proximity_4_C_ZN,proximity_4_FE_HD,proximity_4_FE_N,proximity_4_FE_OA,proximity_4_F_HD,proximity_4_F_N,proximity_4_F_OA,proximity_4_F_SA,proximity_4_HD_HD,proximity_4_HD_I,proximity_4_HD_MG,proximity_4_HD_MN,proximity_4_HD_N,proximity_4_HD_NA,proximity_4_HD_OA,proximity_4_HD_P,proximity_4_HD_S,proximity_4_HD_SA,proximity_4_HD_ZN,proximity_4_I_N,proximity_4_I_OA,proximity_4_MG_NA,proximity_4_MG_OA,proximity_4_MG_P,proximity_4_MN_N,proximity_4_MN_OA,proximity_4_MN_P,proximity_4_NA_OA,proximity_4_NA_SA,proximity_4_NA_ZN,proximity_4_N_N,proximity_4_N_NA,proximity_4_N_OA,proximity_4_N_P,proximity_4_N_S,proximity_4_N_SA,proximity_4_N_ZN,proximity_4_OA_OA,proximity_4_OA_P,proximity_4_OA_S,proximity_4_OA_SA,proximity_4_OA_ZN,proximity_4_P_ZN,proximity_4_SA_SA,proximity_4_SA_ZN,proximity_4_S_ZN,charge_A_A,charge_A_BR,charge_A_C,charge_A_CL,charge_A_F,charge_A_FE,charge_A_HD,charge_A_I,charge_A_N,charge_A_NA,charge_A_OA,charge_A_P,charge_A_S,charge_A_SA,charge_A_ZN,charge_BR_C,charge_BR_HD,charge_BR_N,charge_BR_OA,charge_C_C,charge_C_CL,charge_C_F,charge_C_FE,charge_C_HD,charge_C_I,charge_CL_HD,charge_CL_N,charge_CL_OA,charge_CL_SA,charge_C_MG,charge_C_MN,charge_C_N,charge_C_NA,charge_C_OA,charge_C_P,charge_C_S,charge_C_SA,charge_C_ZN,charge_FE_HD,charge_FE_N,charge_FE_OA,charge_F_HD,charge_F_N,charge_F_OA,charge_F_SA,charge_HD_HD,charge_HD_I,charge_HD_MG,charge_HD_MN,charge_HD_N,charge_HD_NA,charge_HD_OA,charge_HD_P,charge_HD_S,charge_HD_SA,charge_HD_ZN,charge_I_N,charge_I_OA,charge_MG_NA,charge_MG_OA,charge_MG_P,charge_MN_N,charge_MN_OA,charge_MN_P,charge_NA_OA,charge_NA_SA,charge_NA_ZN,charge_N_N,charge_N_NA,charge_N_OA,charge_N_P,charge_N_S,charge_N_SA,charge_N_ZN,charge_OA_OA,charge_OA_P,charge_OA_S,charge_OA_SA,charge_OA_ZN,charge_P_ZN,charge_SA_SA,charge_SA_ZN,charge_S_ZN,lig_A,lig_BR,lig_C,lig_CL,lig_F,lig_HD,lig_I,lig_N,lig_NA,lig_OA,lig_P,lig_S,lig_SA,entropy_count,affinity
1o2s,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,12,0,0,0,12,0,5,0,15,0,0,0,0,0,0,0,0,3,0,0,0,24,0,0,0,0,0,0,0,5,3,7,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,10,4,17,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,2,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.022577495484282416,0,0,0,0.05436039236149779,0,-0.024720959537762384,0,-0.07771712026110511,0,0,0,0,0,0,0,0,0.07347859940423673,0,0,0,0.4095738628778026,0,0,0,0,0,0,0,-0.02551183355704676,0.02044652102041855,-0.32762384854943316,0,0,0,0,0,0,0,0,0,0,0,0.21819736259892816,0,0,0,-0.2667612386060451,0.00906318356383573,-1.006478354663881,0,0,-0.008518536440302588,0,0,0,0,0,0,0,0,0,-0.08076430001608441,0,0,0,0.010045799554650259,0.11820195778697472,0,0,0,0,0.06454347416337668,0,0,0,0,0,0,0,0,13,0,1,0,0,7,0,2,2,1,0,0,0,5,5.47
1gi9,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,17,0,0,0,21,0,6,0,9,0,0,0,0,0,0,0,0,4,0,0,0,25,0,0,0,0,0,0,0,7,4,5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,10,1,18,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,1,0,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.03886453098605098,0,0,0,0.08492224230822171,0,-0.031861608271849175,0,-0.07364086817893659,0,0,0,0,0,0,0,0,0.09437223537713967,0,0,0,0.42462564024704363,0,0,0,0,0,0,0,-0.1055928758365618,0.010019462298473966,-0.13728470544937044,0,0,0,0,0,0,0,0,0,0,0,0.1895812516939678,0,0,0,-0.2305399247879557,0.009710444161057728,-0.627139296586078,0,0,-0.01641562698850431,0,0,0,0,0,0,0,0,0,-0.03205818256976114,0,0,0.0038722165104813164,0,0.14739157900272978,0,0,0.00113193871087207,0,0.06765549724842923,0,0,0,0,0,0,0,0,13,0,2,0,0,7,0,2,2,2,0,0,0,6,5.22
1axz,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,28,0,0,0,0,0,0,0,3,0,18,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0.0009152377288465007,0,0,0,0.00040092806420179654,0,0,0,0,0,0,0,0,0,0,0,0,0.013293337266242352,0,0,0,0.26347177120192977,0,0,0,0,0,0,0,-0.057101184092167266,0,-0.3294312591486803,0,0,0,0,0,0,0,0,0,0,0,0.12386519116126424,0,0,0,-0.13918447258440445,0,-0.537164667613328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23129772987349745,0,0,0,0,0.35836906705455984,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,6,0,0,0,6,3.2
1kll,0,0,0,0,0,0,0,0,0,2,0,0,0,0,16,0,3,0,0,0,10,0,8,0,6,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0.028306803222200465,0,0.007580129555382413,0,0,0,0.046870466418965105,0,-0.05390218689568699,0,-0.1318348507775127,0,0,0,0,0,0,0,0,0.0022246765647262056,0,0,0,0.05963151565687033,0,0,0,0,0,0,0,-0.003314905469545891,0,-0.013888878768174061,0,0,0,0,0,0,0,0,0,0,0,0.08909886472306383,0,0,0,-0.041498548452396936,0,-0.4507571413222466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03091883955281527,0,0.12430675185305404,0,0,0,0,0.1200901635381364,0,0,0,0,0,0,0,0,11,0,3,0,0,10,0,4,0,5,0,0,0,8,5.2
1yid,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,6,0,0,0,5,0,2,1,4,0,0,0,0,0,0,0,0,2,0,0,0,21,0,0,0,0,0,0,0,4,5,11,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,2,34,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,5,0,0,0,0,10,3,0,0,0,0,0,0,0,0.00641390679566638,0,0.03624911123857786,0,0,0,0.04378815154871658,0,-0.030150616864775295,-0.011184547240336419,-0.053005738531685526,0,0,0,0,0,0,0,0,0.015345926222791587,0,0,0,0.17854110010654275,0,0,0,0,0,0,0,-0.06534398143660512,-0.03618593789995683,-0.32554826258217445,0,0,0,0,0,0,0,0,0,0,0,0.05088080471263565,0,0,0,-0.11036099224309436,-0.02294830193314163,-1.1125577906880506,0.1625202661481962,0,0,0,0,0,0,0,0,0,0,0,0.05073380639906681,0,0,0.06684047213506243,0.02146898946138972,0.19797669093042966,0,0,0,0,0.6940747771888663,-0.15465513866959585,0,0,0,0,0,0,0,5,0,5,0,0,4,0,2,3,13,3,0,0,11,5
2adu,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,5,0,0,0,15,0,6,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009704666108060881,0,0.002120324626149056,0,0,0,0.0401493091074586,0,-0.013029619457998222,9.09269659936076e-05,-0.031044309153630024,0,0,0,0,0,0,0,0,0.0011509061300056737,0,0,0,9.512210872945957e-05,0,0,0,0,0,0,0,-0.00014049720812986266,-0.01701291313471183,-0.004550405419379964,0,0,0,0,0,0,0,0,0,0,0,0.04638450711456707,0,0,0,-0.10264111697192746,-0.0076624351726668136,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19798617486116313,0,0,0.06087385548453621,-0.0002222468033463666,0.05042742737247909,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,1,0,1,2,0,0,0,0,1,7.74
2dua,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0.0077826425437270644,0,0,0,0,0,0,0,-0.03866057545811359,0,0,0,0,0,0,0,0,0.005450468154296217,0,0,0,0.12913014169313208,0,0,0,0,0,0,0,-0.07163732485327967,0,-0.37145005942414216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5635668450369131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38259827349899145,0,0,0,0,0.5028742917271695,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,1,4.77
2fkf,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,44,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03332548274420071,0,0,0,0,0,0,0,0,0,0,0,0,0.06873757357763648,0,0,0,0,0,0,0,0,0,-0.8775349857091255,0,0,0,0,0,0,0,0,0,0,0,0.059542390274480286,0,0,0,0,0,-1.6239608835755346,0.2640207941568518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7481784996385283,-0.06491991530639107,0,0,0,0.5096505504998508,-0.08991052052768275,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,12,2,0,0,8,2.92
1vj9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,10,0,0,0,8,0,3,0,20,0,0,1,0,0,0,0,0,5,0,0,0,37,0,0,0,0,0,0,0,4,3,22,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,21,1,29,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,2,0,12,0,0,0,0,4,0,1,0,0,0,0,0,0,-0.0009380433596139711,0,0.0007831787757110533,0,0,0,0.015188604465162334,0,-0.0018993586215546561,0,-0.03901067054972851,0,0,-2.381470538541044e-05,0,0,0,0,0,0.0681702683895693,0,0,0,0.5372223838121308,0,0,0,0,0,0,0,-0.04236911638163041,0.0175820765646149,-0.534295722380246,0,0,0,0,0,0,0,0,0,0,0,0.25154729026482003,0,0,0,-0.4120168933284565,0.005534934855549679,-1.179779393122966,0,0.01217112450129672,-0.007513127030565054,0,0,0,0,0,0,0,0,0,-0.04522726750347591,0,0,0.03756775533275316,0,0.28244870998723337,0,0,0,0,0.10977102951737527,0,-0.017823314637568904,0,0,0,0,0,0,18,0,10,0,0,9,0,4,1,6,0,1,0,18,7.55
1cim,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,12,0,1,3,9,0,2,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0,11,0,0,0,7,5,11,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,6,0,2,0,0,1,0,1,0,0,0,0,0,0,0.006023279296673363,0,0.00026342635464606873,0,0,0,0.0726645989087282,0,-0.01145808758743835,-0.031344333443240405,-0.02941935748163063,0,0.013740338693216912,-0.0029044181613159283,0,0,0,0,0,0,0,0,0,0.032178918573104905,0,0,0,0,0,0,0,0,0,-0.07608961734641184,0,0,-0.0003643732686541792,0,0,0,0,0,0,0,0,0.15056118703125582,0,0,0,-0.1323602234168964,-0.07153781872229756,-0.2489874253405711,0,0.06746949678632436,-0.0026128130881541358,0,0,0,0,0,0,0,0,0,0.02995254356590627,0,0,0.006516276795425943,0.0720553116552891,0.1088931942046931,0,-0.054990566833833895,0,0,0.02234596344795851,0,-0.028827561489129485,0,0,0,0,0,0,4,0,4,0,0,4,0,1,1,4,0,2,1,3,8.82
