name,vina_affinity,vina_gauss_1,vina_gauss_2,vina_repulsion,vina_hydrophobic,vina_hydrogen,atp2_A_MN,atp2_OA_SA,atp2_HD_N,atp2_N_ZN,atp2_A_MG,atp2_HD_NA,atp2_A_CL,atp2_MG_OA,atp2_FE_HD,atp2_A_OA,atp2_NA_ZN,atp2_A_N,atp2_C_OA,atp2_F_HD,atp2_C_HD,atp2_NA_SA,atp2_A_ZN,atp2_C_NA,atp2_N_N,atp2_MN_N,atp2_F_N,atp2_FE_OA,atp2_HD_I,atp2_BR_C,atp2_MG_NA,atp2_C_ZN,atp2_CL_MG,atp2_BR_OA,atp2_A_FE,atp2_CL_OA,atp2_CL_N,atp2_NA_OA,atp2_F_ZN,atp2_HD_P,atp2_CL_ZN,atp2_C_C,atp2_C_CL,atp2_FE_N,atp2_HD_S,atp2_HD_MG,atp2_C_F,atp2_A_NA,atp2_BR_HD,atp2_HD_OA,atp2_HD_MN,atp2_A_SA,atp2_A_F,atp2_HD_SA,atp2_A_C,atp2_A_A,atp2_F_SA,atp2_C_N,atp2_HD_ZN,atp2_OA_OA,atp2_N_SA,atp2_CL_FE,atp2_C_MN,atp2_CL_HD,atp2_OA_ZN,atp2_MN_OA,atp2_C_MG,atp2_F_OA,atp2_CD_OA,atp2_S_ZN,atp2_N_OA,atp2_C_SA,atp2_N_NA,atp2_A_HD,atp2_HD_HD,atp2_SA_ZN,atp4_I_N,atp4_OA_SA,atp4_FE_NA,atp4_HD_NA,atp4_A_CL,atp4_MG_SA,atp4_A_CU,atp4_P_SA,atp4_C_NA,atp4_MN_NA,atp4_F_N,atp4_HD_N,atp4_HD_I,atp4_CL_MG,atp4_HD_S,atp4_CL_MN,atp4_F_OA,atp4_HD_OA,atp4_F_HD,atp4_A_SA,atp4_A_BR,atp4_BR_HD,atp4_SA_SA,atp4_A_MN,atp4_N_ZN,atp4_A_MG,atp4_I_OA,atp4_C_C,atp4_N_S,atp4_N_N,atp4_FE_N,atp4_NA_SA,atp4_BR_N,atp4_MN_N,atp4_A_P,atp4_BR_C,atp4_A_FE,atp4_MN_P,atp4_CL_OA,atp4_CU_HD,atp4_MN_S,atp4_A_S,atp4_FE_OA,atp4_NA_ZN,atp4_P_ZN,atp4_A_F,atp4_A_C,atp4_A_A,atp4_A_N,atp4_HD_MN,atp4_A_I,atp4_N_SA,atp4_C_OA,atp4_MG_P,atp4_BR_SA,atp4_CU_N,atp4_MN_OA,atp4_MG_N,atp4_HD_HD,atp4_C_FE,atp4_CL_NA,atp4_MG_OA,atp4_A_OA,atp4_CL_ZN,atp4_BR_OA,atp4_HD_ZN,atp4_HD_P,atp4_OA_P,atp4_OA_S,atp4_N_P,atp4_A_NA,atp4_CL_FE,atp4_HD_SA,atp4_C_MN,atp4_CL_HD,atp4_C_MG,atp4_FE_HD,atp4_MG_S,atp4_NA_S,atp4_NA_P,atp4_FE_SA,atp4_P_S,atp4_C_HD,atp4_A_ZN,atp4_CL_P,atp4_S_SA,atp4_CL_S,atp4_OA_ZN,atp4_N_NA,atp4_MN_SA,atp4_CL_N,atp4_NA_OA,atp4_C_ZN,atp4_C_CD,atp4_HD_MG,atp4_C_F,atp4_C_I,atp4_C_CL,atp4_C_N,atp4_C_P,atp4_C_S,atp4_A_HD,atp4_F_SA,atp4_MG_NA,atp4_OA_OA,atp4_CL_SA,atp4_S_ZN,atp4_N_OA,atp4_C_SA,atp4_SA_ZN,lat_A,lat_C,lat_CL,lat_I,lat_N,lat_P,lat_S,lat_BR,lat_HD,lat_NA,lat_F,lat_OA,lat_SA,ele_I_N,ele_OA_SA,ele_FE_NA,ele_HD_NA,ele_A_CL,ele_MG_SA,ele_P_SA,ele_C_NA,ele_MN_NA,ele_F_N,ele_HD_N,ele_HD_I,ele_CL_MG,ele_HD_S,ele_CL_MN,ele_F_OA,ele_HD_OA,ele_F_HD,ele_A_SA,ele_A_BR,ele_BR_HD,ele_SA_SA,ele_A_MN,ele_N_ZN,ele_A_MG,ele_I_OA,ele_C_C,ele_N_S,ele_N_N,ele_FE_N,ele_NA_SA,ele_BR_N,ele_MN_N,ele_A_P,ele_BR_C,ele_A_FE,ele_MN_P,ele_CL_OA,ele_CU_HD,ele_MN_S,ele_A_S,ele_FE_OA,ele_NA_ZN,ele_P_ZN,ele_A_F,ele_A_C,ele_A_A,ele_A_N,ele_HD_MN,ele_A_I,ele_N_SA,ele_C_OA,ele_MG_P,ele_BR_SA,ele_CU_N,ele_MN_OA,ele_MG_N,ele_HD_HD,ele_C_FE,ele_CL_NA,ele_MG_OA,ele_A_OA,ele_CL_ZN,ele_BR_OA,ele_HD_ZN,ele_HD_P,ele_OA_P,ele_OA_S,ele_N_P,ele_A_NA,ele_CL_FE,ele_HD_SA,ele_C_MN,ele_CL_HD,ele_C_MG,ele_FE_HD,ele_MG_S,ele_NA_S,ele_NA_P,ele_FE_SA,ele_P_S,ele_C_HD,ele_A_ZN,ele_CL_P,ele_S_SA,ele_CL_S,ele_OA_ZN,ele_N_NA,ele_MN_SA,ele_CL_N,ele_NA_OA,ele_F_ZN,ele_C_ZN,ele_HD_MG,ele_C_F,ele_C_I,ele_C_CL,ele_C_N,ele_C_P,ele_C_S,ele_A_HD,ele_F_SA,ele_MG_NA,ele_OA_OA,ele_CL_SA,ele_S_ZN,ele_N_OA,ele_C_SA,ele_SA_ZN,rot_bonds,siteflex_SIDECHAIN_OTHER,siteflex_SIDECHAIN_ALPHA,siteflex_BACKBONE_ALPHA,siteflex_SIDECHAIN_BETA,siteflex_BACKBONE_BETA,siteflex_BACKBONE_OTHER,hbond_HDONOR-LIGAND_SIDECHAIN_BETA,hbond_HDONOR-LIGAND_BACKBONE_OTHER,hbond_HDONOR-LIGAND_SIDECHAIN_ALPHA,hbond_HDONOR-RECEPTOR_SIDECHAIN_OTHER,hbond_HDONOR-RECEPTOR_BACKBONE_ALPHA,hbond_HDONOR-RECEPTOR_SIDECHAIN_BETA,hbond_HDONOR-RECEPTOR_SIDECHAIN_ALPHA,hbond_HDONOR-LIGAND_SIDECHAIN_OTHER,hbond_HDONOR-LIGAND_BACKBONE_BETA,hbond_HDONOR-RECEPTOR_BACKBONE_BETA,hbond_HDONOR-RECEPTOR_BACKBONE_OTHER,hbond_HDONOR-LIGAND_BACKBONE_ALPHA,hydrophobic_SIDECHAIN_OTHER,hydrophobic_SIDECHAIN_ALPHA,hydrophobic_BACKBONE_ALPHA,hydrophobic_SIDECHAIN_BETA,hydrophobic_BACKBONE_BETA,hydrophobic_BACKBONE_OTHER,stacking_ALPHA,stacking_BETA,stacking_OTHER,pi_cation_LIGAND-CHARGED_BETA,pi_cation_LIGAND-CHARGED_ALPHA,pi_cation_RECEPTOR-CHARGED_BETA,pi_cation_RECEPTOR-CHARGED_OTHER,pi_cation_RECEPTOR-CHARGED_ALPHA,pi_cation_LIGAND-CHARGED_OTHER,t_shaped_ALPHA,t_shaped_BETA,t_shaped_OTHER,salt_bridges_ALPHA,salt_bridges_BETA,salt_bridges_OTHER,affinity
1a08,-5.17202,85.72556,1251.32694,3.48581,32.6792,5.44945,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,15,6,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,0,0,0,22,0,0,0,0,0,1,0,0,0,1,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,13,1,0,2,0,0,12,0,0,6,21,0,0,3,1,0,0,2,0,2,8,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,-25012.79788720195,0.0,0,0.0,0,99875.17043182159,-1081401.5759912888,-137596.74573567527,-952.0346710361914,0.0,0.0,0.0,0,0.0,0,0.0,3755.179087577658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,11580.58512940031,0.0,-1517.3600391242335,0.0,0.0,0.0,-944775.0803006383,0.0,0,0,0.0,0,9847.003226562272,0.0,0,0.0,-832.32608556423,0,0.0,0.0,181944.9533880757,0.0,0.0,-85321.91447808148,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,239862.88346100133,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,-76510.91809054815,0.0,0.0,-32257.70407109073,0.0,0.0,246.0622181685335,12884.124254773034,0.0,190335.66607610552,0.0,0,721283.15278006,0.0,0.0,19,17,40,0,62,17,4,0,0,0,0,0,2,3,0,1,0,2,0,1,0,0,12,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,5.62
1u2y,-4.00068,27.96343,679.53539,0.60858,0.0,1.61576,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,6,0,0,3,0,0,0,6,0,0,1,0,0,0,6,1,0,5,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,-79737.65983351774,0.0,0,0.0,0,0.0,-539671.401533273,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,13678.917349958254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,7453.400141779116,0.0,0.0,0.0,0.0,0.0,-255452.27684866457,0.0,0,0,0.0,0,86643.22795445558,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,141570.79108103164,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-49029.93328787609,0.0,0.0,27106.195450417916,0.0,0.0,544948.9897948442,0.0,0,162002.9766011521,0.0,0.0,6,26,1,0,21,0,7,3,0,0,1,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74
1b39,-6.56287,100.05791,1796.55347,7.89965,0.0,6.87705,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,2,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,0,0,0,30,0,0,0,0,0,1,0,0,0,2,0,0,0,8,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,4,3,0,3,0,0,14,0,0,9,0,0,5,5,0,0,2,3,0,0,4,3,0,13,0,0.0,0.0,0,-35124.57922301828,0.0,0,0,-39134.72289159258,0,0.0,-42444.050138169085,0.0,0,0.0,0,0.0,-2120418.2570548453,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,51456.53132022658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,7756.90842267139,721.1295546502754,-31537.109903772598,0.0,0.0,0.0,-897330.8892605678,0.0,0,0,0.0,0,10269.807331986312,0.0,0,0.0,-44952.6543788516,0,0.0,0.0,409131.7811101445,-108931.97780524634,0.0,-79609.91561548247,-554.3235132328049,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,127213.6824199159,0.0,0,0,0,0.0,33005.204318068085,0,0.0,66665.30615855026,0,0.0,0.0,0.0,0.0,0.0,-19139.88263077977,71267.77237659036,0.0,27486.461664272487,0.0,0.0,1394885.2818938387,0.0,0,590423.5529383626,0.0,0.0,11,70,0,0,55,16,23,0,1,0,3,0,1,0,1,1,0,2,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6.92
2i0d,-8.41223,113.99362,2213.77124,5.08843,52.27174,4.27141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,3,0,0,0,37,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,0,0,10,0,0,8,0,0,18,15,0,0,2,0,1,0,2,1,0,8,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,-66410.74304543421,0.0,0,0.0,0,0.0,-526671.3185248125,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,63435.854444576544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,8842.103194017156,0.0,-3162.1583950680115,0.0,0.0,0.0,-709171.62006948,0.0,0,0,0.0,0,13781.719231136354,0.0,0,0.0,-23053.93324039562,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,178425.56312320783,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-78193.98893369938,0.0,0.0,20537.2650809372,0.0,0.0,790442.888245674,0.0,0,342772.3147344306,0.0,0.0,15,48,0,0,36,12,41,1,1,0,0,0,0,0,0,0,1,2,0,10,0,0,10,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.1
2c02,-6.09909,63.04491,1166.74185,3.19663,0.0,5.13828,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,5,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,6,0,0,1,3,0,0,0,0,0,5,0,0,0,6,0,0,0,6,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,4,1,0,7,0,0,2,0,0,12,0,0,5,5,0,0,2,2,0,0,4,3,0,10,0,0.0,0.0,0,-101739.75669192911,0.0,0,0,-73377.01784088562,0,0.0,-115852.69569154561,0.0,0,0.0,0,0.0,-1284831.956888918,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,34639.775880864945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,9056.965604387682,32528.853572135602,-125207.48192432885,0.0,0.0,13729.362398491327,-171196.71066551277,0.0,0,0,0.0,0,51858.49735391238,0.0,0,0.0,-176727.06232581698,0,0.0,0.0,224127.62191225222,0.0,0.0,-122216.835817091,-13389.489630437472,0,-12515.696186397214,0.0,0.0,0.0,0.0,0,0.0,0,0,0,93118.86525231047,0.0,0,0,0,0.0,90850.9260660258,0,0.0,22643.863978370526,0,0.0,0.0,0.0,0.0,0.0,-44039.537802181876,35245.76363232166,0.0,95580.7998123987,0.0,0.0,119498.50924351905,0.0,0,760484.8056443589,0.0,0.0,8,64,24,0,34,1,0,0,0,0,2,0,0,3,1,0,1,0,0,0,1,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,2,4.04
1a1b,-4.66475,85.06438,1159.93515,5.58783,30.13717,7.62792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,22,0,1,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,7,0,0,0,22,0,0,0,0,0,2,0,0,0,2,0,0,0,8,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,18,0,0,4,0,0,12,0,0,6,20,0,0,3,1,0,0,2,0,0,9,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,-49568.50107917325,0.0,0,0.0,0,0.0,-1341781.778157674,0.0,-2678.941130895683,0.0,0.0,0.0,0,0.0,0,0.0,82744.95647491471,0.0,30342.17710728024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,18729.714760250707,0.0,-11920.452884645465,0.0,0.0,0.0,-949627.6837459025,0.0,0,0,0.0,0,21463.720884498856,0.0,0,0.0,-12665.20324391063,0,0.0,0.0,274842.30367402104,-63318.19341572311,0.0,-126488.14637032522,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,134853.8052193134,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-62374.68648225441,0.0,0.0,36974.92127254688,0.0,0.0,324240.7508421149,0.0,0,749635.1257530587,0.0,0.0,19,17,48,0,57,17,7,0,0,0,0,0,3,3,0,1,0,3,0,1,2,0,12,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,6.4
1n2v,-5.8004,63.85331,909.97212,2.61809,15.01064,2.61054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,3,0,0,1,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,4,0,0,0,9,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,4,0,0,7,0,0,1,0,0,4,0,0,5,4,0,0,2,0,0,0,2,2,0,2,0,0.0,18059.377689465815,0,-30126.264754807635,0.0,0,0,-13382.341343981581,0,0.0,-19142.87659764395,0.0,0,0.0,0,0.0,-316065.7754600219,0.0,-18672.30152908502,0.0,0.0,0.0,0,0.0,0,0.0,13208.083477327802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,28311.448775592613,-1286.5468002146936,-74654.6552666054,0.0,0.0,0.0,-110470.67764261756,0.0,0,0,0.0,0,51819.99865000094,0.0,0,0.0,-74713.72539375565,0,0.0,0.0,0.0,0.0,0.0,0.0,-3743.4233081207544,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,17086.783504708972,0.0,0,0,0,0.0,17095.479604044463,0,0.0,79205.6157091961,0,0.0,0.0,0.0,0.0,0.0,-36194.33130669998,0.0,0.0,90295.45054705576,0.0,0.0,36922.184471030276,0.0,0,229741.73621097108,0.0,0.0,3,20,26,0,23,4,6,0,0,0,0,0,1,0,0,0,0,1,0,1,11,0,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08
1xd1,-7.78122,146.7948,2773.44257,10.53816,4.69447,13.799,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,48,0,0,0,0,0,19,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,16,0,0,22,0,0,14,0,0,0,37,0,0,1,0,0,0,21,0,0,28,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,-514931.84897332353,0.0,0,0.0,0,0.0,-2320719.5604814277,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,147059.00045990892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,26027.99644514525,0.0,0.0,0.0,0.0,0.0,-1398093.4219549976,0.0,0,0,0.0,0,493398.0003395844,0.0,0,0.0,-161174.23076337372,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,784972.8108447364,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-205161.96367315794,0.0,0.0,127748.31546805552,0.0,0.0,1756465.1185139543,0.0,0,599815.0593695885,0.0,0.0,34,149,41,0,54,0,44,4,1,1,2,0,0,1,2,0,0,0,0,15,1,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,7.92
1jq9,-1.48682,146.61442,2121.38317,21.85489,41.89848,7.03487,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,32,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,37,0,0,0,0,0,9,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,6,0,0,2,0,0,14,0,0,12,21,0,0,6,0,0,0,12,0,0,8,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,-419513.78184478555,0.0,0,0.0,0,0.0,-1185155.9251848029,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,214284.02038564513,0.0,147609.84441369094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2080.480438270327,1255.745864678317,0.0,0.0,0.0,0.0,-560921.9011788932,0.0,0,0,0.0,0,177470.80064703844,0.0,0,0.0,-82375.32037263739,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,733830.498519867,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-317087.9851086557,0.0,0.0,-4069.4736309994873,0.0,0.0,187593.51496596122,0.0,0,439865.31614381785,0.0,0.0,24,35,79,74,0,0,66,0,1,0,0,0,0,0,0,0,0,0,2,8,15,10,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,8.45
3pch,-3.53475,48.84443,725.89169,5.13783,29.33457,2.80851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,2,0,0,0,6,0,0,0,0,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,2,0,0,3,0,0,6,1,0,0,0,0,0,0,1,0,0,3,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,-95178.75781727143,0.0,0,0.0,0,0.0,-462074.8290067999,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,20493.66097306728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,17433.14898666302,3320.178854012366,-8946.270032985947,0.0,0.0,0.0,-112279.4974245867,0.0,0,0,0.0,0,122187.27608815736,0.0,0,0.0,-111559.02411768379,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,21146.522360693598,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71576.60861468245,0.0,0.0,252993.4459045843,0.0,0,145210.5544934183,0.0,0.0,2,24,0,0,54,2,0,1,0,0,1,0,1,0,0,0,0,0,0,11,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4
