name,vina_affinity,vina_gauss_1,vina_gauss_2,vina_repulsion,vina_hydrophobic,vina_hydrogen,atp2_A_MN,atp2_OA_SA,atp2_HD_N,atp2_N_ZN,atp2_A_MG,atp2_HD_NA,atp2_A_CL,atp2_MG_OA,atp2_FE_HD,atp2_A_OA,atp2_NA_ZN,atp2_A_N,atp2_C_OA,atp2_F_HD,atp2_C_HD,atp2_NA_SA,atp2_A_ZN,atp2_C_NA,atp2_N_N,atp2_MN_N,atp2_F_N,atp2_FE_OA,atp2_HD_I,atp2_BR_C,atp2_MG_NA,atp2_C_ZN,atp2_CL_MG,atp2_BR_OA,atp2_A_FE,atp2_CL_OA,atp2_CL_N,atp2_NA_OA,atp2_F_ZN,atp2_HD_P,atp2_CL_ZN,atp2_C_C,atp2_C_CL,atp2_FE_N,atp2_HD_S,atp2_HD_MG,atp2_C_F,atp2_A_NA,atp2_BR_HD,atp2_HD_OA,atp2_HD_MN,atp2_A_SA,atp2_A_F,atp2_HD_SA,atp2_A_C,atp2_A_A,atp2_F_SA,atp2_C_N,atp2_HD_ZN,atp2_OA_OA,atp2_N_SA,atp2_CL_FE,atp2_C_MN,atp2_CL_HD,atp2_OA_ZN,atp2_MN_OA,atp2_C_MG,atp2_F_OA,atp2_CD_OA,atp2_S_ZN,atp2_N_OA,atp2_C_SA,atp2_N_NA,atp2_A_HD,atp2_HD_HD,atp2_SA_ZN,atp4_I_N,atp4_OA_SA,atp4_FE_NA,atp4_HD_NA,atp4_A_CL,atp4_MG_SA,atp4_A_CU,atp4_P_SA,atp4_C_NA,atp4_MN_NA,atp4_F_N,atp4_HD_N,atp4_HD_I,atp4_CL_MG,atp4_HD_S,atp4_CL_MN,atp4_F_OA,atp4_HD_OA,atp4_F_HD,atp4_A_SA,atp4_A_BR,atp4_BR_HD,atp4_SA_SA,atp4_A_MN,atp4_N_ZN,atp4_A_MG,atp4_I_OA,atp4_C_C,atp4_N_S,atp4_N_N,atp4_FE_N,atp4_NA_SA,atp4_BR_N,atp4_MN_N,atp4_A_P,atp4_BR_C,atp4_A_FE,atp4_MN_P,atp4_CL_OA,atp4_CU_HD,atp4_MN_S,atp4_A_S,atp4_FE_OA,atp4_NA_ZN,atp4_P_ZN,atp4_A_F,atp4_A_C,atp4_A_A,atp4_A_N,atp4_HD_MN,atp4_A_I,atp4_N_SA,atp4_C_OA,atp4_MG_P,atp4_BR_SA,atp4_CU_N,atp4_MN_OA,atp4_MG_N,atp4_HD_HD,atp4_C_FE,atp4_CL_NA,atp4_MG_OA,atp4_A_OA,atp4_CL_ZN,atp4_BR_OA,atp4_HD_ZN,atp4_HD_P,atp4_OA_P,atp4_OA_S,atp4_N_P,atp4_A_NA,atp4_CL_FE,atp4_HD_SA,atp4_C_MN,atp4_CL_HD,atp4_C_MG,atp4_FE_HD,atp4_MG_S,atp4_NA_S,atp4_NA_P,atp4_FE_SA,atp4_P_S,atp4_C_HD,atp4_A_ZN,atp4_CL_P,atp4_S_SA,atp4_CL_S,atp4_OA_ZN,atp4_N_NA,atp4_MN_SA,atp4_CL_N,atp4_NA_OA,atp4_C_ZN,atp4_C_CD,atp4_HD_MG,atp4_C_F,atp4_C_I,atp4_C_CL,atp4_C_N,atp4_C_P,atp4_C_S,atp4_A_HD,atp4_F_SA,atp4_MG_NA,atp4_OA_OA,atp4_CL_SA,atp4_S_ZN,atp4_N_OA,atp4_C_SA,atp4_SA_ZN,lat_A,lat_C,lat_CL,lat_I,lat_N,lat_P,lat_S,lat_BR,lat_HD,lat_NA,lat_F,lat_OA,lat_SA,ele_I_N,ele_OA_SA,ele_FE_NA,ele_HD_NA,ele_A_CL,ele_MG_SA,ele_P_SA,ele_C_NA,ele_MN_NA,ele_F_N,ele_HD_N,ele_HD_I,ele_CL_MG,ele_HD_S,ele_CL_MN,ele_F_OA,ele_HD_OA,ele_F_HD,ele_A_SA,ele_A_BR,ele_BR_HD,ele_SA_SA,ele_A_MN,ele_N_ZN,ele_A_MG,ele_I_OA,ele_C_C,ele_N_S,ele_N_N,ele_FE_N,ele_NA_SA,ele_BR_N,ele_MN_N,ele_A_P,ele_BR_C,ele_A_FE,ele_MN_P,ele_CL_OA,ele_CU_HD,ele_MN_S,ele_A_S,ele_FE_OA,ele_NA_ZN,ele_P_ZN,ele_A_F,ele_A_C,ele_A_A,ele_A_N,ele_HD_MN,ele_A_I,ele_N_SA,ele_C_OA,ele_MG_P,ele_BR_SA,ele_CU_N,ele_MN_OA,ele_MG_N,ele_HD_HD,ele_C_FE,ele_CL_NA,ele_MG_OA,ele_A_OA,ele_CL_ZN,ele_BR_OA,ele_HD_ZN,ele_HD_P,ele_OA_P,ele_OA_S,ele_N_P,ele_A_NA,ele_CL_FE,ele_HD_SA,ele_C_MN,ele_CL_HD,ele_C_MG,ele_FE_HD,ele_MG_S,ele_NA_S,ele_NA_P,ele_FE_SA,ele_P_S,ele_C_HD,ele_A_ZN,ele_CL_P,ele_S_SA,ele_CL_S,ele_OA_ZN,ele_N_NA,ele_MN_SA,ele_CL_N,ele_NA_OA,ele_F_ZN,ele_C_ZN,ele_HD_MG,ele_C_F,ele_C_I,ele_C_CL,ele_C_N,ele_C_P,ele_C_S,ele_A_HD,ele_F_SA,ele_MG_NA,ele_OA_OA,ele_CL_SA,ele_S_ZN,ele_N_OA,ele_C_SA,ele_SA_ZN,rot_bonds,siteflex_SIDECHAIN_OTHER,siteflex_SIDECHAIN_ALPHA,siteflex_BACKBONE_ALPHA,siteflex_SIDECHAIN_BETA,siteflex_BACKBONE_BETA,siteflex_BACKBONE_OTHER,hbond_HDONOR-LIGAND_SIDECHAIN_BETA,hbond_HDONOR-LIGAND_BACKBONE_OTHER,hbond_HDONOR-LIGAND_SIDECHAIN_ALPHA,hbond_HDONOR-RECEPTOR_SIDECHAIN_OTHER,hbond_HDONOR-RECEPTOR_BACKBONE_ALPHA,hbond_HDONOR-RECEPTOR_SIDECHAIN_BETA,hbond_HDONOR-RECEPTOR_SIDECHAIN_ALPHA,hbond_HDONOR-LIGAND_SIDECHAIN_OTHER,hbond_HDONOR-LIGAND_BACKBONE_BETA,hbond_HDONOR-RECEPTOR_BACKBONE_BETA,hbond_HDONOR-RECEPTOR_BACKBONE_OTHER,hbond_HDONOR-LIGAND_BACKBONE_ALPHA,hydrophobic_SIDECHAIN_OTHER,hydrophobic_SIDECHAIN_ALPHA,hydrophobic_BACKBONE_ALPHA,hydrophobic_SIDECHAIN_BETA,hydrophobic_BACKBONE_BETA,hydrophobic_BACKBONE_OTHER,stacking_ALPHA,stacking_BETA,stacking_OTHER,pi_cation_LIGAND-CHARGED_BETA,pi_cation_LIGAND-CHARGED_ALPHA,pi_cation_RECEPTOR-CHARGED_BETA,pi_cation_RECEPTOR-CHARGED_OTHER,pi_cation_RECEPTOR-CHARGED_ALPHA,pi_cation_LIGAND-CHARGED_OTHER,t_shaped_ALPHA,t_shaped_BETA,t_shaped_OTHER,salt_bridges_ALPHA,salt_bridges_BETA,salt_bridges_OTHER,affinity
1o2s,-6.75093,78.97517,981.72588,4.95275,8.06594,7.05038,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,3,0,0,9,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,5,0,0,0,7,0,0,0,0,0,9,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,5,0,0,12,0,0,0,0,0,6,0,0,13,1,0,0,2,0,0,0,7,2,0,1,0,0.0,0.0,0,12592.603364363516,0.0,0,0,28408.883873723855,0,0.0,-370644.42611052777,0.0,0,0.0,0,0.0,-1398425.0264633787,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,102092.91818369721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,31369.710609055684,0.0,-34347.89067802702,0.0,0.0,0.0,-455208.38769630494,0.0,0,0,0.0,0,303168.6187315438,0.0,0,0.0,-107982.02013404285,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-11835.857663265557,0.0,0.0,0.0,0.0,0,0.0,0,0,0,569071.6917850411,0.0,0,0,0,0.0,13957.873453472424,0,0.0,-112215.84434869145,0,0.0,0.0,0.0,0.0,0.0,-35446.74989961087,0.0,0.0,75529.62542555042,0.0,0.0,89678.2421069562,0.0,0,164232.6187943456,0.0,0.0,5,82,0,0,4,7,57,0,1,0,0,0,0,0,3,0,0,0,0,4,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5.47
1gi9,-5.26662,80.56877,1012.20788,5.38268,7.9056,4.78429,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,6,0,0,1,5,0,0,0,0,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,21,0,0,0,0,0,6,0,0,13,2,0,0,2,0,0,0,7,2,0,2,0,0.0,0.0,0,13491.922672726736,0.0,0,0,13921.279841702599,0,0.0,-320317.6689578458,0.0,0,0.0,0,0.0,-871362.2934469291,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,131123.0342343107,0.0,5380.1499565781905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,53999.306116032036,0.0,-44269.278305151674,0.0,0.0,1572.7426371080046,-190746.64344387874,0.0,0,0,0.0,0,263408.71186011157,0.0,0,0.0,-102318.37828872808,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-22808.26358504092,0.0,0.0,0.0,0.0,0,0.0,0,0,0,589984.9901867053,0.0,0,0,0,0.0,0.0,0,0.0,-44542.40332218332,0,0.0,0.0,0.0,0.0,0.0,-146713.2596561417,0.0,0.0,117992.98851972242,0.0,0.0,94002.16119066329,0.0,0,204789.3745675288,0.0,0.0,6,79,0,0,3,3,69,0,1,0,3,0,0,0,1,0,0,0,0,5,0,0,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5.22
1axz,-4.6259,44.57003,640.10823,2.68918,0.0,5.00923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,18,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,5,0,0,5,0,0,0,6,0,0,0,0,0,0,5,0,0,6,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,-193386.22520316197,0.0,0,0.0,0,0.0,-746349.3984162459,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,18470.079790776752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1271.6531252277925,0.0,0.0,0.0,0.0,0.0,-457719.6470824312,0.0,0,0,0.0,0,172101.25029010576,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,366073.9616585757,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-79337.7468130909,0.0,0.0,557.0590129367927,0.0,0.0,497926.5274381304,0.0,0,321370.5814143255,0.0,0.0,6,71,0,0,20,4,11,2,0,0,1,0,0,0,0,0,0,1,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2
1kll,-3.52205,55.67984,616.43871,2.03129,3.96125,1.80511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,8,0,0,0,3,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,2,0,0,5,0,0,11,3,0,0,4,0,0,0,10,0,0,5,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,-57659.072794581174,0.0,0,0.0,0,0.0,-626292.7209126407,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,3091.018668691244,0.0,42959.372965653216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,10532.012760097065,39330.14740125132,-74892.98382498055,0.0,0.0,0.0,-19297.539354849556,0.0,0,0,0.0,0,123796.0872986859,0.0,0,0.0,-183174.48540550802,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,82853.4498274023,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-4605.808706657594,0.0,0.0,65122.943716143054,0.0,0.0,166856.13689118373,0.0,0,172714.7652447394,0.0,0.0,8,16,2,0,64,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,20,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,5.2
1yid,-4.58006,68.0133,1449.47579,8.39658,0.0,7.27724,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,5,0,0,5,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,0,0,0,11,0,0,0,0,0,3,0,0,0,3,0,0,0,6,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,4,0,0,5,0,0,10,0,0,5,0,0,5,5,0,0,2,3,0,0,4,3,0,13,0,0.0,0.0,0,-31884.917931355136,0.0,0,0,-50277.60500845403,0,0.0,-153338.19429193175,0.0,0,0.0,0,0.0,-1545814.3244467028,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,21321.995833064007,0.0,92869.74586305406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,50365.379551566184,8911.635047987469,-41891.98604384422,0.0,0.0,0.0,-452324.51905895106,0.0,0,0,0.0,0,70695.00337193784,0.0,0,0.0,-73647.43709131985,0,0.0,0.0,225809.5332462719,-214881.53757559235,0.0,0.0,-15540.076642554011,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,248069.2619809729,0.0,0,0,0,0.0,29829.525907402345,0,0.0,70490.76040974198,0,0.0,0.0,0.0,0.0,0.0,-90790.4860012846,0.0,0.0,60840.3019345071,0.0,0.0,964364.0463406144,0.0,0,275073.5353329836,0.0,0.0,11,58,23,4,27,5,24,1,2,0,1,0,2,0,0,0,0,1,0,3,3,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
2adu,-4.84297,60.24844,756.67327,2.78536,31.97997,0.5148,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,1,0,0,8,1,0,0,1,0,0,0,1,2,0,0,0,0.0,0.0,0,-10646.370147412621,0.0,0,0,-23638.147199473347,0,0.0,-142612.01550194595,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1599.0964215495087,0.0,84579.58640880982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2946.0295968547325,1348.3894508109404,-18103.66397938474,0.0,0.0,0.0,-6322.441798701794,0.0,0,0,0.0,0,64447.74027042177,0.0,0,0.0,-43133.703420974656,0,0.0,0.0,0.0,0.0,0.0,0.0,126.33609479690146,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,132.1649261515118,0.0,0,0,0,0.0,-308.79500826904115,0,0.0,275086.71253249864,0,0.0,0.0,0.0,0.0,0.0,-195.2101712735272,0.0,0.0,55784.407474748295,0.0,0.0,0.0,0.0,0,70065.07008428354,0.0,0.0,1,27,0,0,42,0,0,0,0,0,1,0,1,0,1,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7.74
2dua,-3.30645,32.18749,383.84168,2.80097,0.0,4.6459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,-783033.2133151742,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,7573.010425499836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,10813.389135229962,0.0,0.0,0.0,0.0,0.0,-516101.5701659091,0.0,0,0,0.0,0,0.0,0.0,0,0.0,-53715.92544199017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,179416.49810714848,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-99534.60741554524,0.0,0.0,0.0,0.0,0.0,698705.5324713547,0.0,0,531591.1646419342,0.0,0.0,1,0,8,6,39,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.77
2fkf,-5.41451,44.39913,777.00558,3.67083,0.0,8.46623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,4,0,0,0,1,0,0,0,11,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,14,0,0,0,6,0,0,0,2,0,0,3,0,0,12,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,-2256369.9766280805,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1219268.0348527154,0.0,0,0,0.0,0,82729.61689582479,0.0,0,0.0,-46303.22040460289,0,0.0,0.0,366836.7872441515,-124923.82122837624,0.0,-90201.27840767984,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,95505.62384566732,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,708120.6279968558,0.0,0,1039537.0484701068,0.0,0.0,8,75,0,0,31,3,8,0,0,0,4,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2.92
1vj9,-7.06766,112.79541,1796.72644,5.86125,14.08292,8.58897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,0,0,21,0,0,1,0,0,21,0,1,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,3,0,0,0,22,0,0,0,0,0,16,0,0,0,20,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,8,0,0,4,0,0,12,0,0,18,10,0,0,4,0,1,0,9,1,0,6,0,0.0,0.0,0,7690.370474415237,0.0,0,0,24428.956441257775,0,0.0,-572466.0965497094,0.0,0,16910.850614863946,0,0.0,-1639213.6218368092,0.0,-33.088719548203215,0.0,0.0,0.0,0,0.0,0,0.0,94717.39648940132,0.0,52197.53510041422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1088.1672666622228,-1303.3398124394257,-2639.0141609136144,0.0,0.0,0.0,-742363.2174965035,0.0,0,0,0.0,0,349505.8034932582,0.0,0,0.0,-54202.355910651146,0,0.0,0.0,0.0,0.0,-24764.138372385685,0.0,0.0,0,-10438.917854372916,0.0,0.0,0.0,0.0,0,0.0,0,0,0,746429.5906791635,0.0,0,0,0,0.0,0.0,0,0.0,-62839.84395922383,0,0.0,0.0,0.0,0.0,0.0,-58868.66063503013,0.0,0.0,21103.409231517642,0.0,0.0,152518.48601256034,0.0,0,392440.9729311575,0.0,0.0,18,107,0,0,6,17,82,0,2,0,0,0,0,0,3,1,0,2,0,6,0,0,2,1,9,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,7.55
1cim,-7.04351,56.77238,917.7852,3.28548,11.91002,5.89589,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,5,0,0,9,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,1,0,0,0,9,0,0,0,0,0,10,0,0,0,9,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,6,2,0,4,4,0,0,1,0,2,0,4,1,0,4,1,0.0,0.0,0,-99396.35122433444,0.0,0,0,0.0,0,0.0,-183904.4506787092,0.0,0,93743.72771324581,0,0.0,-345949.066124941,0.0,-4035.4678521182336,0.0,0.0,0.0,0,0.0,0,0.0,0.0,-76405.20486456127,9053.870366769492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,19091.15423261591,0.0,0.0,0.0,0.0,366.01085881285877,8368.88788597914,-15920.140123663416,0.0,0.0,0.0,-105720.7287749165,0.0,0,0,0.0,0,209193.3035448691,0.0,0,0.0,-40875.95681928412,0,0.0,0.0,0.0,0.0,-40053.70135532959,0.0,-43550.56432334168,0,-3630.3048098496115,0.0,0.0,0.0,0.0,0,0.0,0,0,0,44710.15680430114,0.0,0,0,0,0.0,100115.3682455748,0,0.0,41616.77827913764,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100961.92648457331,0.0,0.0,31048.014476671888,0.0,0,151298.80069624967,-506.26890831689565,0.0,3,46,6,0,45,0,6,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.82
