name,total,SMoG2016_KBP2016,SMoG2016_LJP,SMoG2016_Rotor,SMoG2016_lnMass,affinity
1a08,-6.442,-154.212,96.280,22,6.406,5.62
1u2y,-5.750,-85.142,32.252,2,5.263,1.74
1b39,-9.110,-226.916,119.102,8,6.229,6.92
2i0d,-11.676,-323.144,133.422,15,6.457,12.1
2c02,-6.898,-121.603,51.623,6,6.057,4.04
1a1b,-6.546,-163.347,104.932,22,6.348,6.4
1n2v,-6.647,-113.101,31.658,3,5.338,4.08
1xd1,-13.247,-412.700,226.283,15,6.878,7.92
1jq9,-6.759,-279.173,307.451,24,6.490,8.45
3pch,-4.306,-97.970,130.303,1,4.927,5.4
2bzz,-8.553,-213.361,122.021,16,6.820,6.43
1ha2,-9.351,-196.899,42.880,4,5.730,5.54
1tyr,-4.751,-106.836,138.497,5,5.704,7
1re8,-11.757,-311.944,120.793,8,6.164,9.52
1l2s,-6.668,-117.945,53.120,4,5.759,4.59
2aou,-11.080,-262.157,62.637,6,5.875,7.73
1jqd,-8.662,-191.288,71.040,7,5.954,5.16
1apw,-8.142,-208.615,105.645,18,6.227,8
2b1v,-9.391,-216.027,76.437,2,5.561,5.74
1bra,-5.762,-98.341,41.325,1,4.813,1.82
2hdq,-4.947,-59.435,17.813,1,4.852,1.4
1gni,-9.774,-218.355,15.309,15,5.643,8.07
2aov,-8.291,-160.460,41.823,1,5.595,7.04
2flb,-6.539,-183.470,187.161,3,5.772,5.74
2f01,-8.238,-167.732,40.186,5,5.498,13
7cpa,-8.528,-249.335,168.480,17,6.367,13.96
1xgj,-6.711,-128.840,70.650,5,5.838,6
2er9,-11.811,-375.642,180.829,31,6.809,7.4
2fai,-9.612,-223.533,79.719,2,5.614,6.24
1slg,-9.183,-274.115,148.232,29,6.722,3.9
1is0,-7.330,-193.361,119.182,23,6.531,7
1utp,-5.710,-91.770,29.524,4,5.011,1.44
1y1m,-5.489,-88.491,41.094,1,4.868,1.82
1e5a,-5.860,-71.885,29.929,0,5.792,7.64
1h23,-14.195,-365.873,55.974,15,6.207,8.35
1bcu,-7.680,-136.651,26.469,0,5.348,3.28
2cet,-9.958,-247.262,101.484,4,5.731,8.02
4tmn,-9.257,-252.809,130.168,16,6.225,10.17
1mq6,-9.800,-236.603,94.465,10,6.342,11.15
1o0h,-6.557,-120.986,70.393,6,6.057,5.92
1nc1,-9.594,-216.717,67.646,3,5.691,6.12
2brb,-9.658,-219.207,66.009,5,5.803,4.86
1nvq,-12.391,-310.985,104.086,2,6.180,8.25
1q8t,-7.760,-153.753,46.234,4,5.514,4.76
2j78,-7.348,-162.494,86.806,1,5.258,6.42
1sqa,-8.755,-206.668,97.211,7,6.024,9.21
1u1b,-9.210,-216.416,91.538,14,6.698,7.8
1a30,-6.821,-145.672,67.280,14,5.930,4.3
1ydt,-10.221,-249.042,90.339,8,6.100,7.32
1gpk,-9.815,-202.782,31.359,0,5.494,5.37
1e66,-11.167,-248.796,43.313,1,5.701,9.89
1p1q,-6.604,-131.034,63.287,3,5.231,4.89
1o3f,-7.460,-186.952,140.787,3,5.793,7.96
1d09,-7.113,-174.143,112.476,7,5.541,7.57
2qwb,-6.563,-141.740,95.521,6,5.734,2.74
1g7q,-9.639,-309.196,186.442,29,6.705,6.06
1f4f,-8.477,-184.554,62.853,10,6.059,4.62
3pce,-5.879,-100.848,44.294,2,5.024,2
1zoe,-7.841,-137.553,48.439,1,6.159,7.4
4tim,-4.828,-85.937,78.907,4,5.226,2.16
1tok,-4.400,-52.278,28.788,2,4.754,2.47
2fdp,-11.535,-326.848,136.253,17,6.330,7.59
3pcj,-5.887,-99.297,45.285,1,5.044,7.22
1uwt,-7.487,-166.819,86.786,1,5.258,5.97
2baj,-10.119,-232.569,68.429,6,5.997,8.4
1if7,-7.265,-150.051,74.015,7,5.917,10.52
2d3z,-8.990,-186.847,51.333,5,5.969,6.64
1nja,-8.019,-165.260,61.391,4,5.727,6.31
2ayr,-14.100,-371.490,98.803,8,6.250,9.29
2cer,-10.273,-256.445,100.258,4,5.731,9.22
2qwd,-6.308,-135.209,95.738,6,5.674,4.85
1fh8,-7.693,-158.303,66.108,2,5.522,6.89
1ftm,-6.922,-130.799,44.262,3,5.231,7.61
2qwe,-7.055,-163.844,104.136,8,5.812,7.48
1toj,-5.564,-88.725,35.875,3,5.011,3.39
1pr5,-8.081,-162.720,54.298,2,5.584,3.92
1f4e,-7.133,-122.267,30.924,3,5.595,2.96
1y6q,-9.953,-221.503,51.761,4,5.684,11.7
