name,average_score,HPSCORE,HMSCORE,HSSCORE,xscore_VDW,xscore_HB,xscore_HP,score_HM,xscore_HS,xscore_RT,affinity
1a08,5.50,5.38,5.96,5.16,524.1,4.7,62.7,3.56,209.5,16.0,5.62
1u2y,4.36,4.36,4.50,4.22,236.5,1.8,0.0,0.00,0.0,2.0,1.74
1b39,6.13,6.08,6.38,5.93,642.6,9.1,0.0,0.00,0.0,7.0,6.92
2i0d,7.75,7.54,8.26,7.46,880.8,2.9,114.3,4.78,325.9,10.0,12.1
2c02,5.00,5.02,5.15,4.84,415.4,4.1,0.0,0.00,0.0,5.0,4.04
1a1b,5.51,5.32,6.01,5.22,495.6,6.2,59.5,3.56,222.7,16.0,6.4
1n2v,5.21,5.07,5.44,5.12,369.0,2.1,24.9,1.24,107.6,3.0,4.08
1xd1,7.55,7.62,7.79,7.24,1104.3,10.4,13.1,0.53,20.3,15.0,7.92
1jq9,6.74,6.65,7.17,6.39,795.1,2.3,98.3,4.49,288.3,16.0,8.45
3pch,5.19,5.16,5.40,5.01,270.1,2.4,56.2,1.31,107.2,0.0,5.4
2bzz,5.61,5.78,5.69,5.35,729.0,7.5,0.0,0.00,0.0,16.0,6.43
1ha2,6.57,6.52,6.89,6.29,505.1,0.9,133.3,3.90,288.4,3.0,5.54
1tyr,5.30,5.07,5.65,5.19,207.0,0.1,88.1,3.21,256.1,0.0,7
1re8,8.29,8.24,8.48,8.16,877.0,5.5,131.3,2.95,299.4,3.0,9.52
1l2s,5.76,5.45,6.17,5.65,380.5,5.1,30.3,1.73,131.0,1.0,4.59
2aou,7.26,7.06,7.70,7.03,648.2,0.2,133.5,4.67,342.2,3.0,7.73
1jqd,5.81,5.83,5.91,5.70,602.6,6.1,8.3,0.00,37.3,7.0,5.16
1apw,7.13,6.66,7.62,7.10,698.7,6.4,84.0,4.35,375.0,11.0,8
2b1v,6.44,6.65,6.59,6.09,502.6,1.3,138.4,2.78,210.0,2.0,5.74
1bra,4.95,4.90,4.86,5.08,303.9,1.7,23.9,0.00,124.3,1.0,1.82
2hdq,4.71,4.65,4.82,4.67,196.6,2.6,31.0,0.53,91.8,0.0,1.4
1gni,6.27,6.58,6.39,5.84,535.2,0.4,209.4,5.40,421.3,15.0,8.07
2aov,6.25,6.06,6.63,6.07,442.1,0.6,91.0,3.20,232.6,0.0,7.04
2flb,6.39,6.16,6.59,6.41,556.1,3.7,39.7,1.35,168.5,1.0,5.74
2f01,6.12,6.18,6.29,5.90,527.7,5.7,68.9,1.33,122.3,5.0,13
7cpa,7.69,7.26,8.64,7.18,787.6,6.2,118.8,6.37,331.4,12.0,13.96
1xgj,5.47,5.31,5.74,5.37,388.1,4.3,15.8,0.73,65.1,1.0,6
2er9,8.42,8.07,8.66,8.52,1082.1,5.8,127.6,5.23,538.2,19.0,7.4
2fai,6.64,6.73,6.84,6.35,512.8,2.2,137.4,3.08,247.0,2.0,6.24
1slg,6.47,6.52,6.84,6.06,773.8,5.3,87.8,3.58,215.6,18.0,3.9
1is0,5.88,5.82,6.04,5.80,568.0,7.7,67.2,2.26,245.3,15.0,7
1utp,4.59,4.60,4.44,4.73,274.6,1.6,24.1,0.00,136.8,4.0,1.44
1y1m,5.42,5.24,5.67,5.37,272.6,6.9,44.2,1.07,134.2,1.0,1.82
1e5a,5.20,4.70,5.71,5.17,202.7,1.0,44.2,3.19,240.6,0.0,7.64
1h23,7.78,8.00,8.13,7.22,878.5,2.0,205.6,5.94,394.6,15.0,8.35
1bcu,5.37,5.31,5.22,5.58,385.1,1.1,30.3,0.00,157.2,0.0,3.28
2cet,6.62,6.42,7.04,6.40,590.9,7.3,51.8,1.98,135.7,4.0,8.02
4tmn,5.77,5.46,6.34,5.50,365.8,4.3,43.0,2.51,121.4,1.0,10.17
1mq6,7.35,7.16,7.48,7.41,814.1,0.7,66.9,2.26,261.2,3.0,11.15
1o0h,5.34,5.30,5.57,5.17,447.0,6.9,0.0,0.00,0.0,5.0,5.92
1nc1,6.31,6.37,6.36,6.19,623.3,4.9,39.7,0.25,70.1,3.0,6.12
2brb,6.41,6.24,6.98,6.01,534.9,0.8,82.8,3.60,167.3,2.0,4.86
1nvq,7.86,7.75,8.41,7.42,776.3,3.9,123.7,3.99,219.9,2.0,8.25
1q8t,5.80,5.72,5.79,5.90,453.9,1.3,56.5,1.20,210.4,2.0,4.76
2j78,5.43,5.31,5.70,5.29,395.3,6.4,0.0,0.00,0.0,1.0,6.42
1sqa,6.47,6.37,6.43,6.61,623.2,3.4,34.8,0.34,157.9,1.0,9.21
1u1b,6.02,6.08,6.16,5.81,739.6,5.7,10.9,0.56,46.4,12.0,7.8
1a30,5.73,5.69,5.88,5.62,535.3,5.4,47.2,1.54,164.6,10.0,4.3
1ydt,6.69,6.68,6.87,6.52,673.7,1.2,93.8,2.78,238.6,6.0,7.32
1gpk,6.47,6.38,6.39,6.64,511.7,1.8,87.9,1.52,282.8,0.0,5.37
1e66,7.24,7.28,7.17,7.26,629.9,1.0,147.7,2.79,356.6,1.0,9.89
1p1q,5.51,5.45,5.63,5.45,377.9,7.2,31.8,0.28,89.0,3.0,4.89
1o3f,6.37,6.24,6.38,6.50,528.2,4.4,49.8,0.67,185.6,0.0,7.96
1d09,5.89,5.68,6.21,5.77,447.1,13.3,4.6,0.00,32.9,5.0,7.57
2qwb,5.29,5.16,5.41,5.32,377.0,7.1,14.5,0.27,104.3,5.0,2.74
1g7q,7.14,6.93,7.33,7.17,908.3,9.8,47.8,2.30,278.1,18.0,6.06
1f4f,5.84,5.90,6.15,5.48,519.4,0.4,80.8,2.72,147.3,6.0,4.62
3pce,5.11,5.16,5.14,5.03,300.5,1.9,59.3,0.97,135.5,2.0,2
1zoe,5.81,5.40,6.36,5.67,373.2,0.0,51.4,3.36,212.6,0.0,7.4
4tim,4.78,4.72,5.00,4.62,290.4,5.5,0.0,0.00,0.0,3.0,2.16
1tok,4.85,4.70,5.08,4.76,202.8,5.9,14.2,0.27,48.7,0.0,2.47
2fdp,8.74,8.43,9.17,8.63,957.9,6.9,154.5,5.27,464.9,10.0,7.59
3pcj,5.08,5.04,5.33,4.87,307.2,1.6,31.9,0.97,47.9,0.0,7.22
1uwt,5.39,5.29,5.64,5.25,400.1,5.7,0.0,0.00,0.0,1.0,5.97
