name,dockingscore,XP_GScore,evdw,ecoul,XP_LipophilicEvdW,XP_PhobEn,XP_PhobEnHB,XP_PhobEnPairHB,XP_HBond,XP_Electro,XP_Sitemap,XP_PiCat,XP_PiStack,XP_ClBr,XP_LowMW,XP_Zpotr,XP_Penalties,XP_HBPenal,XP_ExposPenal,XP_RotPenal,emodel,energy,eff_state_penalty,einternal,ligand_efficiency,ligand_efficiency_ln,ligand_efficiency_sa,affinity
1a08,-9.56321499099361,-9.56321499099361,-25.0124263763428,-28.236873626709,-2.31062484361882,0,0,0,-3.39820335266828,-2,-0.0462185531457392,0,0,0,0,-2.5,0,0,0.321095524951604,0.370736233487627,0,-53.2493000030518,0,0,-0.233249146121795,-2.02886788525971,-0.804293725966125,5.62
1u2y,-3.85265944398483,-3.85265944398483,-14.4430160522461,-12.6110248565674,-0.875488844483522,0,0,0,-1.84863698980739,-0.945826864242554,0,0,0,0,-0.5,0,0,0,0.131897005017757,0.185396249530875,0,-27.0540409088135,0,0,-0.296358418768064,-1.08070523804808,-0.696837829451639,1.74
1b39,-15.3597350158885,-15.3597350158885,-32.2838973999023,-73.3500747680664,-1.97648002228075,0,0,-2.22947555089861,-4.15377944270911,-4.5,0,0,0,0,0,-6.5,4,0,0,0,0,-105.633972167969,0,0,-0.495475323093176,-3.46409096542983,-1.55647659192064,6.92
2i0d,-6.05199534402561,-6.05199534402561,-40.34912109375,-15.2263927459717,-4.52676288946365,0,0,0,-1.55529692422309,-1.14197945594788,-0.228072830318109,0,0,0,0,0,1,0,0.216109863778339,0.184006892148779,0,-55.5755138397217,0,0,-0.134488785422791,-1.25908473018558,-0.478362259792339,12.1
2c02,-9.369651505808,-9.369651505808,-24.8983535766602,-21.1882171630859,-1.23229932570218,0,0,0,-2.53923646806177,-1.58911628723145,-0.19228291494704,0,0,0,-0.0860756666666663,-4,0,0,0.0332386602751866,0.236120496525916,0,-46.0865707397461,0,0,-0.347024129844741,-2.18110039977448,-1.04107238839049,4.04
1a1b,-9.69089111709425,-9.69089111709425,-22.9394111633301,-32.4390563964844,-2.04403785480078,0,0,0,-4.37896888688635,-2,-0.0894946814640867,0,0,0,0,-2.5,0,0,0.889926138214024,0.431684167842945,0,-55.3784675598145,0,0,-0.248484387617801,-2.07800214780839,-0.842663097670806,6.4
1n2v,-3.40543508989715,-3.40543508989715,-23.4963836669922,-11.4967279434204,-2.49955300563158,0,0,-1.95,-1.30909078821374,-0.862254595756531,-0.4,0,0,0,-0.5,0,4,0,0,0.115463299704696,0,-34.9931116104126,0,0,-0.227029005993143,-0.918389694099852,-0.559901675298121,4.08
1xd1,-13.3650142685605,-13.3650142685605,-26.1409778594971,-33.0150337219238,-3.00568628740189,0,0,0.65,-9.0300626038891,-2.65,-0.536006621580802,0,0,0,0,0,1,0,0.167280223246876,0.039461021064386,0,-59.1560115814209,0,0,-0.202500216190311,-2.57531857761733,-0.81835197671006,7.92
1jq9,1.51768410478666,1.51768410478666,53.4108657836914,-11.3764820098877,-0.57365933056714,0,0,0,-1.24439489768093,-0.853236150741577,-0.952644600326261,0,0,0,0,0,3,0,1.7867850027535,0.354834081349068,0,42.0343837738037,0,0,0.0322911511656737,0.312915034637618,0.116533148334828,8.45
3pch,1.69635990763465,1.69635990763465,122.680877685547,-5.15515613555908,4.27372800983977,-1.2,0,0,-0.490731392038187,-0.386636710166931,0,0,0,0,-0.5,0,0,0,0,0,0,117.525721549988,0,0,0.169635990763465,0.51364608628351,0.36546966289823,5.4
2bzz,-10.4976921364135,-10.4976921364135,-45.5303688049316,-38.3384094238281,-2.43180246127926,0,0,0,-5.76179859611675,-2,-0.102679022643425,0,0,0,0,-1.5,1,0,0.210027961266241,0.0885599823597079,0,-83.8687782287598,0,0,-0.184170037480938,-2.08161519264529,-0.708778596637474,6.43
1ha2,-6.74389385625869,-6.74389385625869,-34.9861907958984,-0.658640623092651,-5.64649410075171,-0.65460922927377,0,0,-0.320236775208468,-0.0493980467319488,0,0,0,0,-0.475599999999999,0,0,0,0.150801783943077,0.251642511764131,0,-35.6448314189911,0,0,-0.293212776359074,-1.63073468469197,-0.833858131886652,5.54
1tyr,4.56642020052964,4.56642020052964,80.8819885253906,2.78943037986755,2.0054089137083,0,0,0,0,0.209207278490067,0,0,0,0,-0.5,0,0,0,2.41283840963516,0.438965598696114,0,83.6714189052582,0,0,0.207564554569529,1.11619966123331,0.581604044954533,7
