name,Gold.ASP.Fitness,Gold.ASP.ASP,Gold.ASP.Map,Gold.ASP.DEClash,Gold.ASP.DEInternal,affinity
2b1v,28.7552,30.5560,-152.7800,0.9696,0.8312,5.74
1xgj,18.5662,25.3100,-126.5500,4.3921,2.3517,6
1e5a,12.7113,12.9160,-64.5800,0.2047,0.0000,7.64
1ha2,26.9215,29.7220,-148.6100,0.0000,2.8005,5.54
2er9,52.2430,65.6880,-328.4400,2.7815,10.6636,7.4
2c02,29.3135,33.9560,-169.7800,1.5050,3.1375,4.04
1slg,49.5567,61.9840,-309.9200,0.0149,12.4125,3.9
2aov,37.2364,39.8980,-199.4900,1.2350,1.4267,7.04
1b39,49.8707,60.4720,-302.3600,4.6872,5.9141,6.92
1bra,16.8245,17.4060,-87.0300,0.4101,0.1713,1.82
3pch,23.4874,26.6620,-133.3100,3.1742,0.0004,5.4
1a1b,35.5113,40.9020,-204.5100,1.8584,3.5324,6.4
1utp,7.3976,9.6120,-48.0600,1.4108,0.8036,1.44
2flb,36.7211,40.1100,-200.5500,1.6319,1.7570,5.74
7cpa,52.8800,63.3060,-316.5300,5.7865,4.6395,13.96
2hdq,15.6779,15.6780,-78.3900,-0.0000,0.0001,1.4
1a08,35.3526,39.7600,-198.8000,0.0073,4.4001,5.62
1n2v,29.3353,31.8100,-159.0500,2.0792,0.3956,4.08
1y1m,23.5683,24.1240,-120.6200,0.0000,0.5557,1.82
1re8,47.6690,52.5940,-262.9700,0.5698,4.3552,9.52
2bzz,49.7290,56.7740,-283.8700,2.5915,4.4535,6.43
1u2y,14.7205,14.7720,-73.8600,0.0000,0.0515,1.74
2aou,56.2913,62.2640,-311.3200,2.9307,3.0420,7.73
1jqd,34.6385,37.3140,-186.5700,0.9778,1.6977,5.16
1gni,31.6704,34.3760,-171.8800,0.0009,2.7047,8.07
1xd1,62.0914,73.9420,-369.7100,6.0330,5.8176,7.92
1l2s,18.6550,24.8640,-124.3200,2.9944,3.2146,4.59
1apw,46.3216,52.4900,-262.4500,1.2063,4.9621,8
2f01,41.5265,42.1140,-210.5700,0.1214,0.4661,13
1is0,38.3816,44.5820,-222.9100,2.1057,4.0947,7
1jq9,15.1549,36.1380,-180.6900,13.4198,7.5633,8.45
2i0d,40.3729,47.9160,-239.5800,2.7900,4.7530,12.1
1tyr,5.5323,9.1500,-45.7500,1.4013,2.2164,7
2fai,27.3404,29.9520,-149.7600,0.0048,2.6068,6.24
1o3f,38.8694,44.7780,-223.8900,2.0585,3.8501,7.96
1ydt,29.4167,36.3200,-181.6000,1.7317,5.1715,7.32
2cet,55.6580,59.5220,-297.6100,2.1306,1.7334,8.02
1sqa,46.3623,48.7480,-243.7400,0.9288,1.4570,9.21
2j78,34.9300,43.4740,-217.3700,8.5334,0.0106,6.42
1bcu,20.1625,20.2140,-101.0700,0.0515,0.0000,3.28
1gpk,32.0553,33.6600,-168.3000,1.6047,0.0000,5.37
1p1q,12.4892,30.1140,-150.5700,17.1354,0.4894,4.89
1nvq,40.5938,42.0940,-210.4700,0.8294,0.6708,8.25
1nc1,34.8730,47.4100,-237.0500,11.5202,1.0168,6.12
1h23,64.5382,66.6460,-333.2300,0.4866,1.6213,8.35
1q8t,19.1463,24.0020,-120.0100,2.5424,2.3132,4.76
1a30,15.8215,27.8620,-139.3100,8.6303,3.4102,4.3
1e66,53.9901,54.1180,-270.5900,0.1214,0.0064,9.89
1mq6,49.8373,58.5780,-292.8900,3.6556,5.0851,11.15
4tmn,49.1692,62.9860,-314.9300,7.4598,6.3570,10.17
1u1b,43.9027,53.9600,-269.8000,4.2149,5.8424,7.8
1o0h,36.0110,41.6700,-208.3500,3.3823,2.2767,5.92
2brb,25.3722,28.7740,-143.8700,1.5068,1.8950,4.86
2baj,33.6919,41.5020,-207.5100,2.7638,5.0463,8.4
1pz5,36.8903,51.5100,-257.5500,2.5857,12.0340,5.4
2d1o,45.9359,54.1800,-270.9000,4.8116,3.4325,7.7
1hk4,25.3886,27.9420,-139.7100,1.3852,1.1682,5.31
2qwd,32.2408,36.5860,-182.9300,4.1110,0.2342,4.85
2drc,47.4821,50.8140,-254.0700,1.6317,1.7002,9.89
1f5k,21.8535,22.7060,-113.5300,0.8524,0.0000,3.74
2d3u,33.6054,37.1760,-185.8800,1.2506,2.3200,6.92
2qwb,34.2266,36.3160,-181.5800,0.8268,1.2626,2.74
3std,54.7409,58.0680,-290.3400,-0.0000,3.3271,11.11
1nny,48.8435,59.1720,-295.8600,2.8727,7.4558,7.66
1syh,43.5715,44.9120,-224.5600,1.1349,0.2056,6.31
1pr5,29.7200,32.6740,-163.3700,2.0252,0.9288,3.92
2f80,35.6695,45.6020,-228.0100,4.7626,5.1700,8.18
1f4g,36.1889,43.2340,-216.1700,0.0000,7.0451,6.48
1ftm,30.5745,33.2180,-166.0900,2.1634,0.4802,7.61
2bak,47.8870,53.2680,-266.3400,2.3162,3.0648,7.43
1o3p,38.1631,38.9640,-194.8200,0.2149,0.5859,6.66
1pbq,33.9110,34.7320,-173.6600,0.8210,0.0000,6.27
1jys,23.0934,23.1700,-115.8500,0.0766,0.0000,3.52
1lol,36.6528,37.1820,-185.9100,0.0000,0.5292,6.39
1g7q,54.0534,68.6280,-343.1400,7.2739,7.3007,6.06
1det,39.4304,40.4500,-202.2500,0.0949,0.9247,4.3
2bz6,45.9577,46.5060,-232.5300,0.0657,0.4826,7.09
2brm,19.2360,24.9260,-124.6300,1.8885,3.8015,5.89
1fkn,47.3959,67.2940,-336.4700,5.1479,14.7502,8.8
1ndz,50.2595,59.7040,-298.5200,6.1453,3.2993,8.11
1j17,45.7338,50.1240,-250.6200,2.4528,1.9374,5.22
1j16,26.5341,27.5100,-137.5500,0.7634,0.2125,3.84
1ajp,17.4765,20.1520,-100.7600,0.7858,1.8896,2.23
2h3e,43.7408,51.6140,-258.0700,1.6371,6.2361,5.7
1e1v,28.3265,29.1940,-145.9700,0.4540,0.4135,4.92
1ela,34.5894,41.9280,-209.6400,2.3205,5.0181,6.36
4er2,48.0247,54.6720,-273.3600,1.0775,5.5698,9.3
2ayr,51.1056,60.8280,-304.1400,5.1698,4.5526,9.29
1q7a,24.0952,27.4920,-137.4600,0.6786,2.7182,7.19
2d3z,32.7096,34.7960,-173.9800,0.2251,1.8613,6.64
2cer,54.2245,58.0820,-290.4100,2.1496,1.7079,9.22
1fki,44.6791,44.6820,-223.4100,0.0029,0.0000,7
2j77,38.9385,43.4540,-217.2700,4.5091,0.0064,4.89
1u33,46.2962,56.0140,-280.0700,6.3723,3.3454,4.6
1pxo,23.0768,33.6780,-168.3900,7.3989,3.2024,8.7
1sv3,12.2316,12.5740,-62.8700,0.3319,0.0104,4.74
2cgr,53.9113,56.3340,-281.6700,0.6839,1.7388,7.28
1bma,39.4262,47.2800,-236.4000,3.6630,4.1908,4.59
1sl3,44.6778,56.2860,-281.4300,2.3374,9.2709,11.85
1ppm,47.3035,55.0240,-275.1200,2.0810,5.6395,5.8
1y6q,47.0410,47.4320,-237.1600,0.0106,0.3804,11.7
1fd0,49.8970,52.3820,-261.9100,0.1604,2.3246,8.4
1d7j,14.3693,15.5480,-77.7400,0.0000,1.1787,3.3
1nfy,37.6558,41.3180,-206.5900,2.1032,1.5590,8.89
2std,33.8564,35.1580,-175.7900,0.0650,1.2365,9.85
2b7d,48.1610,55.2300,-276.1500,0.3927,6.6763,8.7
1v2o,27.9223,33.0140,-165.0700,2.0551,3.0366,4.73
1nje,37.5361,42.5280,-212.6400,3.3578,1.6341,3.8
1nhu,23.5301,27.1420,-135.7100,0.0648,3.5471,5.66
1zvx,37.2671,45.7040,-228.5200,5.5573,2.8796,9.22
1flr,53.7891,58.5960,-292.9800,0.0000,4.8069,10
1g7f,37.3314,42.1760,-210.8800,1.3004,3.5442,5.47
6rnt,25.4311,30.1400,-150.7000,2.9035,1.8054,2.37
1ai5,19.2283,21.4740,-107.3700,1.8255,0.4202,3.72
1a69,36.8313,38.9840,-194.9200,1.9888,0.1640,5.3
2usn,38.7470,46.4300,-232.1500,2.6753,5.0077,6.51
1b8o,35.0907,37.1200,-185.6000,0.3976,1.6318,10.64
1x1z,40.6810,46.1920,-230.9600,1.6959,3.8151,11.06
3pcj,32.0028,36.0220,-180.1100,4.0191,0.0002,7.22
8cpa,45.6707,55.4340,-277.1700,6.3274,3.4360,9.15
1hi4,27.2746,37.2540,-186.2700,6.5558,3.4236,4.49
2ctc,29.7023,30.5300,-152.6500,0.2174,0.6103,3.89
1uwt,39.3823,45.3400,-226.7000,5.7269,0.2308,5.97
2gss,20.7791,24.6120,-123.0600,1.0724,2.7605,4.94
1tsy,39.7863,43.2020,-216.0100,2.9595,0.4563,4.96
2g8r,17.4238,22.0240,-110.1200,1.6312,2.9689,3.99
1vzq,52.8052,55.3680,-276.8400,1.2510,1.3118,7.44
1m0n,48.2990,56.3200,-281.6000,6.5217,1.4993,2.22
1m2q,28.3372,33.6280,-168.1400,3.6491,1.6417,6.1
1kv1,27.9372,31.2760,-156.3800,0.0354,3.3034,5.94
1fcz,47.7460,49.1920,-245.9600,0.7910,0.6550,9.22
2g94,58.9036,64.7220,-323.6100,1.5463,4.2721,9.52
6std,33.9439,37.0780,-185.3900,0.0291,3.1050,8.64
1trd,27.0074,28.8460,-144.2300,1.0089,0.8296,5.4
5er1,30.7441,39.9920,-199.9600,1.5206,7.7273,6.02
1if7,32.0413,36.8200,-184.1000,2.0216,2.7572,10.52
1kv5,21.0876,24.1480,-120.7400,2.1947,0.8657,4.22
1fh8,42.7946,44.8640,-224.3200,1.7273,0.3422,6.89
3gss,46.9567,54.7060,-273.5300,2.1078,5.6415,5.82
1ndy,40.5708,43.8600,-219.3000,2.0892,1.2000,6.17
1tok,22.2565,24.3880,-121.9400,0.4216,1.7099,2.47
2g5u,23.3222,23.8720,-119.3600,0.0000,0.5498,8.49
1bxo,53.0946,56.0640,-280.3200,1.9550,1.0144,10
1s39,33.1014,34.7880,-173.9400,1.6866,0.0000,7.7
1om1,31.3277,35.4960,-177.4800,3.9982,0.1702,6.77
1olu,63.1545,67.0780,-335.3900,2.7254,1.1981,4.41
1toi,27.6238,28.0300,-140.1500,0.0000,0.4062,4.05
1zoe,21.8901,21.9260,-109.6300,0.0135,0.0224,7.4
1zc9,18.4463,23.7020,-118.5100,4.8710,0.3847,3.22
1df8,38.7286,39.4800,-197.4000,0.2604,0.4910,9.7
4tim,22.8242,26.6380,-133.1900,1.8636,1.9502,2.16
1zs0,38.8069,43.8100,-219.0500,1.7878,3.2153,6.15
2rkm,35.8801,38.6040,-193.0200,0.0524,2.6715,3.9
1ols,70.4524,76.9900,-384.9500,5.0731,1.4646,5.82
1fzk,64.0612,84.0600,-420.3000,4.3563,15.6424,8.4
1fkb,53.2961,55.2620,-276.3100,0.6169,1.3490,9.7
1k4g,30.7680,34.2600,-171.3000,2.9314,0.5606,5.85
1f4f,26.9163,32.1360,-160.6800,0.5358,4.6838,4.62
1toj,28.5782,29.0300,-145.1500,0.0580,0.3938,3.39
1elb,16.5158,26.2360,-131.1800,3.1486,6.5716,7.15
1fzj,73.7910,84.9460,-424.7300,2.7007,8.4543,8.1
1ttm,27.0809,31.0000,-155.0000,3.2666,0.6525,7.35
1v16,65.6770,72.5400,-362.7000,4.5490,2.3140,3.87
