name,Gold.ASP.Fitness,Gold.ASP.ASP,Gold.ASP.Map,Gold.ASP.DEClash,Gold.ASP.DEInternal,affinity
2br6,4.6901,12.8720,-64.3600,8.1819,0.0000,2.96
2adu,30.4280,36.2840,-181.4200,5.8489,0.0070,7.74
1g3b,29.2721,35.0920,-175.4600,2.9988,2.8212,5.74
1vyq,34.1312,37.1600,-185.8000,0.1045,2.9243,5.3
1wkm,20.2503,25.9260,-129.6300,4.6212,1.0545,0.82
1w6y,25.9451,27.3560,-136.7800,1.4109,0.0000,5.36
1byk,44.7472,48.6380,-243.1900,2.1305,1.7603,5
1oko,26.1447,26.2400,-131.2000,0.0280,0.0673,4.54
2hdr,13.9446,15.4920,-77.4600,1.5474,0.0000,1.72
1f2o,19.7204,24.8200,-124.1000,4.1733,0.9263,1.91
1gi8,26.3771,29.5500,-147.7500,1.1601,2.0128,5.05
2fwp,18.9530,22.9300,-114.6500,3.2251,0.7519,2.92
1ulg,22.0242,23.4360,-117.1800,-0.0000,1.4118,4.21
1w8l,17.3028,18.1440,-90.7200,0.8387,0.0025,0.49
1v2q,25.0995,29.6880,-148.4400,1.2772,3.3114,4.13
1rle,35.4857,38.9920,-194.9600,0.4934,3.0128,5.8
1tnl,10.0187,13.7140,-68.5700,3.4695,0.2259,1.88
1w1d,24.0093,31.8740,-159.3700,1.3785,6.4862,6.52
1yid,32.1338,42.2460,-211.2300,6.9236,3.1885,5
1tnj,12.5246,14.6020,-73.0100,1.7419,0.3355,1.96
1fj4,12.4254,14.2100,-71.0500,1.5401,0.2445,4.59
6tim,21.8544,27.0680,-135.3400,3.4707,1.7429,3.21
2fzz,53.3894,63.2300,-316.1500,3.5689,6.2717,10.52
1jn2,1.8615,9.8360,-49.1800,1.1279,6.8466,4.09
1fdq,3.3467,15.4160,-77.0800,10.5532,1.5161,7.27
1fwv,13.9171,23.3580,-116.7900,7.3993,2.0417,3.72
1n1t,35.5908,39.9620,-199.8100,2.4354,1.9358,3.85
2i0g,34.2799,36.6120,-183.0600,1.7100,0.6220,9.72
1rgk,24.6906,30.8060,-154.0300,4.1600,1.9554,4.31
1d5r,17.3365,22.4040,-112.0200,3.8525,1.2150,1.82
9abp,31.5594,31.9200,-159.6000,0.3286,0.0320,8
1oai,23.0107,34.3100,-171.5500,1.2380,10.0613,5
1fwu,11.7307,27.0760,-135.3800,2.6485,12.6968,3.7
1hqg,12.5121,12.5660,-62.8300,-0.0000,0.0539,3
8abp,32.2414,32.4280,-162.1400,0.1123,0.0743,8
1mmp,32.3270,38.9140,-194.5700,5.8832,0.7038,6.07
2ivu,35.0306,38.8060,-194.0300,1.3130,2.4625,6.43
1vja,49.9916,57.4400,-287.2000,3.8941,3.5543,7.7
2f8i,6.2016,11.5240,-57.6200,3.8853,1.4370,7.26
830c,48.3453,61.2660,-306.3300,9.5686,3.3522,9.28
1af6,38.1646,40.9540,-204.7700,1.1368,1.6526,1.82
1q63,36.4167,40.1960,-200.9800,3.4232,0.3561,5.85
1w7x,46.7096,52.3560,-261.7800,2.1985,3.4480,8.4
1mhw,39.7605,47.6520,-238.2600,2.7971,5.0944,7.35
1jd5,36.9381,50.6940,-253.4700,3.1241,10.6318,6.62
1uxb,13.2312,16.4820,-82.4100,0.2946,2.9562,2.15
1icj,11.6279,22.0660,-110.3300,2.0054,8.4327,2.22
1obx,20.9656,26.5400,-132.7000,0.1461,5.4283,5.72
1o3k,35.6254,35.7920,-178.9600,0.1214,0.0451,6.77
2bsu,62.1534,95.5020,-477.5100,17.0387,16.3098,5.66
1agm,64.1231,68.4740,-342.3700,0.2285,4.1224,12
1gny,37.5467,40.8500,-204.2500,0.0106,3.2926,4.14
1we2,9.2524,18.5680,-92.8400,8.9054,0.4102,4.36
1z3t,38.2026,39.2380,-196.1900,0.0000,1.0354,3.94
1heg,17.8630,40.0640,-200.3200,3.9230,18.2781,7.74
1o2g,31.8866,38.7080,-193.5400,3.0856,3.7358,6.12
1m9n,53.3827,60.2380,-301.1900,5.6217,1.2336,6.92
1o2x,31.9958,38.7020,-193.5100,3.3898,3.3164,5.85
1o0o,22.0118,25.0820,-125.4100,0.1334,2.9368,5.1
7abp,28.4070,28.6500,-143.2500,0.2430,0.0000,6.46
1f2p,24.9120,29.4840,-147.4200,4.3716,0.2004,1.9
1gjb,32.6282,37.1480,-185.7400,0.1233,4.3965,6.35
1ykp,15.4853,22.6000,-113.0000,7.1145,0.0002,2.96
1joc,29.2404,32.8260,-164.1300,0.4908,3.0947,4.62
1dqx,36.3916,43.4600,-217.3000,6.6201,0.4483,11.05
1a7x,67.5251,72.3920,-361.9600,2.1807,2.6862,9.7
