name,Gold.PLP.Fitness,Gold.PLP.PLP,Gold.PLP.part.hbond,Gold.PLP.part.metal,Gold.PLP.part.buried,Gold.PLP.part.nonpolar,Gold.PLP.part.repulsive,Gold.PLP.ligand.clash,Gold.PLP.ligand.torsion,Gold.PLP.Chemscore.Hbond,Gold.PLP.Chemscore.CHOScore,Gold.PLP.Chemscore.Metal,affinity
2b1v,55.6016,-51.2640,-1.6189,0.0000,-2.9957,-48.5412,0.0000,0.0000,0.8312,2.0000,0.0000,0.0000,5.74
1xgj,39.1884,-28.8395,-6.2929,0.0000,-1.3781,-28.9121,1.6439,0.0000,1.4353,4.4065,0.0000,0.0000,6
1e5a,34.8650,-22.8650,-2.0000,0.0000,-1.1988,-21.0375,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,7.64
1ha2,61.3042,-61.6758,-1.0000,0.0000,-6.9031,-56.9325,0.1508,0.0000,1.4818,0.8640,0.0000,0.0000,5.54
2er9,81.6985,-86.9334,-9.1340,0.0000,-4.6990,-81.8234,1.0586,6.5964,5.1557,3.7525,0.1384,0.0000,7.4
2c02,44.0050,-29.4050,-5.4786,0.0000,-5.1404,-22.3081,0.9325,0.0000,1.5360,4.8906,1.0000,0.0000,4.04
1slg,69.6077,-79.2819,-5.9709,0.0000,-13.6899,-62.5016,0.3440,0.0000,6.3269,0.9932,0.0000,0.0000,3.9
2aov,56.5632,-53.7525,-1.7842,0.0000,-3.9195,-49.8537,0.1614,0.0000,1.4267,1.8880,0.0000,0.0000,7.04
1b39,99.4068,-47.6600,-6.9501,-2.9308,-5.1630,-38.1858,0.8348,0.0000,2.1595,5.8293,0.8593,6.0000,6.92
1bra,36.1909,-34.6040,-4.4313,0.0000,-5.5182,-26.9387,0.2683,3.7103,0.1713,1.8799,0.0000,0.0000,1.82
3pch,33.5793,-26.3277,-1.8242,-0.7373,-1.8077,-22.6118,0.0000,0.0000,0.0004,0.4175,0.0000,1.0000,5.4
1a1b,71.3326,-51.7254,-8.7922,0.0000,-4.4314,-42.1182,0.3487,0.0000,3.5324,8.8906,0.0000,0.0000,6.4
1utp,24.6479,-24.5751,-1.9242,0.0000,-0.7783,-21.8645,0.1289,0.0000,0.8036,0.5600,0.0000,0.0000,1.44
2flb,64.5208,-55.4831,-2.5293,0.0000,-7.7614,-48.1158,0.4003,0.6836,0.6954,3.7040,0.0000,0.0000,5.74
7cpa,89.0402,-65.8901,-7.4056,-0.9929,-5.1883,-64.0624,5.3226,0.0000,3.1026,5.3705,0.0000,2.2073,13.96
2hdq,44.4642,-26.4644,-3.1898,0.0000,-3.0390,-24.7855,0.1068,0.0000,0.0001,6.0000,0.0000,0.0000,1.4
1a08,70.7959,-57.6737,-6.9401,0.0000,-3.3596,-50.2942,0.1538,5.1841,4.4001,9.0355,0.0000,0.0000,5.62
1n2v,41.8247,-35.8193,-2.7579,0.0000,-6.4617,-33.2706,4.0932,0.0000,0.3956,2.2655,0.0000,0.0000,4.08
1y1m,54.7761,-32.2325,-6.9237,0.0000,-5.2541,-22.5623,0.1881,0.0000,0.5557,7.8850,0.0000,0.0000,1.82
1re8,109.0356,-96.3671,-7.9889,0.0000,-13.0567,-80.1646,0.4673,0.0000,2.6558,5.9933,0.0000,0.0000,9.52
2bzz,69.7324,-50.0412,-7.3032,0.0000,-13.6015,-36.8695,4.9820,0.0000,4.4535,8.5328,1.0000,0.0000,6.43
1u2y,21.5395,-16.2537,-2.3532,0.0000,-4.7095,-10.5424,0.2011,0.0000,0.0515,1.7962,0.0000,0.0000,1.74
2aou,76.5777,-80.7574,-0.5990,0.0000,-4.5453,-82.8174,2.0165,0.0000,2.0898,0.0000,0.0000,0.0000,7.73
1jqd,62.8685,-52.1632,-5.9829,0.0000,-6.0131,-43.2069,0.4600,0.0000,1.6977,4.7003,0.0000,0.0000,5.16
1gni,70.6318,-72.7262,-0.5593,0.0000,-4.5507,-67.7886,0.0229,0.0000,2.7047,1.1050,0.0000,0.0000,8.07
1xd1,96.7507,-84.8875,-17.9556,0.0000,-4.7267,-72.8759,3.8433,0.0000,5.8176,7.8328,0.0000,0.0000,7.92
1l2s,44.9016,-37.2311,-7.1806,0.0000,-2.6370,-32.0778,2.0694,0.0000,1.9485,3.8559,0.0000,0.0000,4.59
1apw,76.6816,-66.2920,-9.9950,0.0000,-5.0377,-60.1754,0.3899,0.0000,3.0349,5.4865,0.0000,0.0000,8
2f01,75.9324,-67.8646,-7.0000,0.0000,-7.8601,-54.8663,0.3227,0.0000,0.4661,3.0000,0.0000,0.0000,13
1is0,75.9794,-55.3765,-8.9585,0.0000,-6.5086,-44.8162,0.2790,0.0000,3.6045,9.2706,0.0000,0.0000,7
1jq9,8.5075,-25.6910,-2.3414,0.0000,35.3960,-71.8249,9.3898,11.5595,4.3120,1.0000,0.0000,0.0000,8.45
2i0d,67.8245,-67.9376,-4.5504,0.0000,-0.3850,-71.6256,0.8793,1.1971,3.5661,2.7388,0.0000,0.0000,12.1
1tyr,24.2792,-27.6946,0.0000,0.0000,-2.0653,-25.7156,0.0000,0.0000,1.7077,0.0000,0.0000,0.0000,7
2fai,43.7667,-48.5356,-1.9308,0.0000,-3.9506,-45.5646,0.0028,8.3547,1.2742,2.0447,0.0000,0.0000,6.24
1o3f,55.318,-60.9146,-6.0696,0,-7.9567,-47.9547,0.387,17.0561,0.887,4.4112,0,0,7.96
1ydt,65.6928,-69.0891,-2,0,-4.8084,-66.1967,0.2702,6.2536,2.2831,1.4745,1,0,7.32
2cet,73.6693,-56.0427,-12.5289,0,-2.4423,-50.1942,0.0201,4.0213,0.4454,7.5129,0,0,8.02
1sqa,77.77,-64.2207,-5.4773,0,-11.1251,-49.9349,0.4736,0,1.457,4.8158,0.6719,0,9.21
2j78,37.8572,-18.2404,-12.1541,0,6.2163,-26.6468,6.8603,0,0.0106,6.546,0,0,6.42
1bcu,48.2623,-44.4481,-1.6869,0,-8.7836,-35.2831,0.2386,0,0,1.2714,0,0,3.28
1gpk,61.0919,-61.0919,-1.9236,0,-8.3561,-52.6553,0.1666,0,0,0,0,0,5.37
1p1q,24.9072,-25.886,-9.5329,0,1.3178,-23.8631,0.4615,0,0.4894,0,0,0,4.89
1nvq,96.7884,-85.4772,-5,0,-5.6506,-76.9336,0.3691,0,0.6708,4.2176,0,0,8.25
1nc1,62.9426,-63.6148,-6.2042,0,0.4011,-63.0226,0.45,0,0.3361,0,0,0,6.12
1h23,107.6903,-107.3437,-3.4725,0,-7.9684,-99.9395,0.2842,0.0349,1.6213,1.208,0,0,8.35
1q8t,46.4727,-39.7006,-2,0,-0.6239,-37.8157,0.1603,0,1.0692,1.2631,1.707,0,4.76
1a30,35.7165,-25.3374,-4.8225,0,-2.0787,-32.5014,10.298,0,3.4102,5.7332,0,0,4.3
