name,Gold.PLP.Fitness,Gold.PLP.PLP,Gold.PLP.part.hbond,Gold.PLP.part.metal,Gold.PLP.part.buried,Gold.PLP.part.nonpolar,Gold.PLP.part.repulsive,Gold.PLP.ligand.clash,Gold.PLP.ligand.torsion,Gold.PLP.Chemscore.Hbond,Gold.PLP.Chemscore.CHOScore,Gold.PLP.Chemscore.Metal,affinity
2br6,18.0547,-5.7936,-1.4538,-2.0000,8.2001,-14.3398,0.1137,0.0000,0.0000,0.1144,0.0000,1.9863,2.96
2adu,64.5254,-45.9393,-1.0000,-1.5493,-3.2418,-44.8409,1.0354,0.0000,0.0070,1.0000,0.0000,2.6000,7.74
1g3b,65.7809,-37.8276,-6.8956,-2.6025,-1.1390,-28.7602,0.1374,0.0000,1.4261,2.2685,0.0000,4.0000,5.74
1vyq,71.3899,-67.1279,-2.9881,0.0000,-7.6329,-60.7694,0.3228,0.0000,2.2972,2.5701,0.3820,0.0000,5.3
1wkm,60.2223,-34.3143,-1.0000,-1.9643,5.0563,-35.7508,0.1381,0.0000,1.0545,0.5499,0.0000,4.3946,0.82
1w6y,39.7681,-37.5121,-1.4720,0.0000,2.5502,-38.9440,0.0000,0.0000,0.0000,0.7520,0.0000,0.0000,5.36
1byk,67.3920,-44.6073,-17.1615,0.0000,-5.6588,-27.0649,0.1644,0.0000,1.7603,8.7684,0.0000,0.0000,5
1oko,51.7620,-31.7772,-5.2748,-2.0000,-3.9031,-22.9621,0.0686,0.0000,0.0673,2.7120,0.0000,1.9972,4.54
2hdr,16.4899,-14.1987,-0.7933,0.0000,-2.4562,-13.9780,2.9918,0.0000,0.0000,0.7638,0.0000,0.0000,1.72
1f2o,73.1394,-27.9083,-3.6603,-2.4732,0.7782,-26.1080,2.9916,0.0000,0.9263,4.6080,0.0000,5.5433,1.91
1gi8,26.5646,-42.4300,-2.0041,0.0000,-8.3523,-36.2033,0.2758,15.2649,0.3002,0.0000,0.0000,0.0000,5.05
2fwp,45.9529,-23.6008,-10.0185,0.0000,-2.6810,-19.6483,6.2624,0.0000,0.7519,7.9520,0.0000,0.0000,2.92
1ulg,29.4168,-24.1314,-5.5350,0.0000,-4.5163,-16.1118,0.1170,2.5440,1.4118,3.5510,0.0000,0.0000,4.21
1w8l,27.4544,-24.4594,-1.0000,0.0000,1.5690,-25.5892,0.2218,0.0000,0.0025,1.0000,0.0000,0.0000,0.49
1v2q,49.8989,-43.3177,-6.2329,0.0000,-4.6032,-35.4569,0.2796,0.0000,3.3114,4.4013,0.0000,0.0000,4.13
1rle,55.1134,-38.6437,-7.2677,0.0000,-7.9724,-25.7832,0.7825,0.0000,2.0629,6.8652,0.0000,0.0000,5.8
1tnl,37.7790,-29.5427,-2.0000,0.0000,2.3140,-31.4605,0.1863,0.0000,0.2259,2.8960,0.0000,0.0000,1.88
1w1d,66.6249,-28.1255,-10.8595,0.0000,-6.5678,-12.5471,0.1089,3.2838,2.9584,15.9000,0.0000,0.0000,6.52
1yid,54.1440,-23.8341,-9.5891,-2.0000,8.2793,-23.2640,1.2100,0.0000,2.2952,3.6334,0.0000,4.0000,5
1tnj,38.7523,-30.4233,-2.0000,0.0000,-3.1121,-27.0855,0.2190,0.0000,0.3355,3.0000,0.0000,0.0000,1.96
1fj4,58.5892,-53.0782,-2.0000,0.0000,-2.1857,-52.8469,0.1240,0.0000,0.2445,2.0000,0.0000,0.0000,4.59
6tim,30.2374,-14.7141,-7.2773,0.0000,5.9290,-16.4046,0.1111,0.0000,1.7429,6.3364,0.0000,0.0000,3.21
2fzz,111.4468,-116.0393,-3.4081,0.0000,-6.3432,-111.9883,0.6149,0.0000,4.1911,1.2633,0.0000,0.0000,10.52
1jn2,6.0932,-15.9993,-1.0000,0.0000,-1.6627,-13.4484,0.2440,8.0131,2.4465,1.0000,0.0000,0.0000,4.09
1fdq,22.1323,-25.1646,-1.0235,0.0000,7.0638,-32.2414,0.0000,0.0000,1.5161,0.0000,0.0000,0.0000,7.27
1fwv,18.2927,-10.8673,-5.0781,0.0000,7.9851,-16.4438,1.1893,0.0000,2.0417,3.8363,0.0000,0.0000,3.72
1n1t,68.9928,-32.5803,-9.8202,0.0000,-3.5342,-20.7293,0.3164,0.0000,0.5038,12.4734,0.0000,0.0000,3.85
2i0g,61.2580,-57.1838,-3.0551,0.0000,1.2944,-58.2035,0.0350,0.0000,0.6220,1.7728,0.0000,0.0000,9.72
1rgk,42.9096,-23.4725,-9.8556,0.0000,-5.5136,-19.4245,6.1624,0.0000,1.9554,6.7458,1.0369,0.0000,4.31
1d5r,38.3731,-20.2352,-8.3586,0.0000,1.6397,-19.0992,0.2869,0.0000,1.2150,6.8559,0.0000,0.0000,1.82
9abp,57.3447,-35.6526,-9.3123,0.0000,-3.7680,-23.9934,0.1118,0.0000,0.0320,7.2520,0.0000,0.0000,8
1oai,53.4303,-58.3690,-3.6602,0.0000,-2.2977,-57.0759,0.6713,0.7838,7.1114,3.3560,0.0000,0.0000,5
1hqg,24.1461,-17.0060,-4.0724,0.0000,-3.3442,-9.4481,0.3909,0.0000,0.0539,2.4160,0.0000,0.0000,3
