name,Gold.Chemscore.Fitness,Gold.Chemscore.DG,Gold.Chemscore.ZeroCoef,Gold.Chemscore.Hbond,Gold.Chemscore.Metal,Gold.Chemscore.Lipo,Gold.Chemscore.Internal_Hbond,Gold.Chemscore.DEClash,Gold.Chemscore.DEInternal,Gold.Chemscore.Rot,affinity
2b1v,32.5926,-34.3934,-5.4800,1.7399,0.0000,243.3607,0.0000,0.9696,0.8312,2.0981,5.74
1xgj,14.7394,-21.4832,-5.4800,3.6122,0.0000,78.8578,0.0000,4.3921,2.3517,2.0656,6
1e5a,24.5554,-24.7602,-5.4800,1.8738,0.0000,111.2953,0.0000,0.2047,0.0000,0.0000,7.64
1ha2,26.4584,-29.2589,-5.4800,0.8325,0.0000,212.6906,0.0000,0.0000,2.8005,1.5181,5.54
2er9,12.9553,-26.4003,-5.4800,3.1886,0.0000,279.7578,0.0000,2.7815,10.6636,8.7740,7.4
2c02,-3.0422,-1.6003,-5.4800,2.8996,0.0000,33.0998,0.0000,1.5050,3.1375,6.8113,4.04
1slg,-12.1603,-0.2670,-5.4800,0.9476,0.0000,205.3473,0.0000,0.0149,12.4125,12.6577,3.9
2aov,29.2330,-31.8947,-5.4800,0.8666,0.0000,201.0284,0.0000,1.2350,1.4267,0.0000,7.04
1b39,7.0130,-17.6143,-5.4800,3.2446,3.0000,45.0325,0.0000,4.6872,5.9141,8.6178,6.92
1bra,14.3308,-14.9122,-5.4800,1.1910,0.0000,68.4992,0.0000,0.4101,0.1713,1.0000,1.82
3pch,20.2191,-23.3937,-5.4800,0.1692,1.0000,118.6192,0.0000,3.1742,0.0004,1.0000,5.4
1a1b,17.2352,-22.6259,-5.4800,5.4029,0.0000,122.8456,0.0000,1.8584,3.5324,5.9660,6.4
1utp,10.2345,-12.4488,-5.4800,0.5488,0.0000,78.3230,0.0000,1.4108,0.8036,1.5734,1.44
2flb,21.4606,-24.8494,-5.4800,1.9783,0.0000,145.6806,0.0000,1.6319,1.7570,1.6729,5.74
7cpa,26.2049,-36.6309,-5.4800,3.0784,1.1037,209.5142,0.0000,5.7865,4.6395,4.0231,13.96
2hdq,19.9986,-19.9987,-5.4800,1.9738,0.0000,67.7442,0.0000,0.0000,0.0001,0.0000,1.4
1a08,15.7683,-21.0077,-5.4800,4.7359,0.0000,128.1608,0.0000,0.8393,4.4001,5.9708,5.62
1n2v,13.6399,-16.1147,-5.4800,2.2297,0.0000,64.5324,0.0000,2.0792,0.3956,1.7042,4.08
1y1m,26.9325,-27.4882,-5.4800,4.5255,0.0000,80.7953,0.0000,0.0000,0.5557,1.0000,1.82
1re8,42.0438,-46.9688,-5.4800,4.6596,0.0000,279.2122,0.0000,0.5698,4.3552,2.6336,9.52
2bzz,-16.4321,9.3871,-5.4800,5.7941,0.0000,53.3912,0.0000,2.5915,4.4535,15.8071,6.43
1u2y,3.7903,-3.8418,-5.4800,1.6748,0.0000,39.6347,0.0000,0.0000,0.0515,4.6364,1.74
2aou,33.5609,-39.5335,-5.4800,0.0000,0.0000,336.9333,0.0000,2.9307,3.0420,2.0968,7.73
1jqd,9.5934,-12.2689,-5.4800,4.0096,0.0000,80.9292,0.0000,0.9778,1.6977,6.2781,5.16
1gni,31.4028,-34.1084,-5.4800,0.5540,0.0000,284.4602,0.0000,0.0009,2.7047,2.5405,8.07
1xd1,-12.9798,1.1293,-5.4800,5.3132,0.0000,254.7629,0.0000,6.0330,5.8176,21.1573,7.92
1l2s,19.0926,-25.3017,-5.4800,3.5902,0.0000,95.0908,0.0000,2.9944,3.2146,1.2872,4.59
1apw,23.2053,-30.4222,-5.4800,4.8871,0.0000,174.1071,0.0000,2.2548,4.9621,4.5904,8
2f01,30.7334,-31.3210,-5.4800,2.9649,0.0000,190.4981,0.0000,0.1214,0.4661,2.4805,13
1is0,12.3569,-18.5573,-5.4800,5.6698,0.0000,142.6417,0.0000,2.1057,4.0947,8.8081,7
1jq9,-26.8733,-17.1055,-5.4800,1.2044,0.0000,244.0026,0.0000,28.9953,14.9835,8.1818,8.45
2i0d,24.1100,-31.6531,-5.4800,1.8653,0.0000,242.7216,0.0000,2.7900,4.7530,3.3029,12.1
1tyr,11.4615,-20.2147,-5.4800,0.0229,0.0000,125.2843,0.0000,5.7066,3.0466,0.0000,7
2fai,31.7769,-34.3885,-5.4800,1.8175,0.0000,240.8549,0.0000,0.0048,2.6068,2.0867,6.24
1o3f,20.2545,-26.1631,-5.48,1.8138,0,146.88,0,2.0585,3.8501,1,7.96
1ydt,25.7087,-32.612,-5.48,0.793,0,250.2178,0,1.7317,5.1715,1.8719,7.32
2cet,30.0659,-33.9299,-5.48,4.5645,0,200.6845,0,2.1306,1.7334,4.014,8.02
1sqa,24.856,-27.2417,-5.48,2.3668,0,140.3127,0,0.9288,1.457,1,9.21
2j78,10.9454,-19.4894,-5.48,4.4741,0,92.3819,0,8.5334,0.0106,4.587,6.42
1bcu,20.4244,-20.4759,-5.48,0.7367,0,107.1383,0,0.0515,0,0,3.28
1gpk,26.8467,-28.4513,-5.48,0,0,196.3363,0,1.6047,0,0,5.37
1p1q,-8.2822,-9.3426,-5.48,0,0,80.347,0,17.1354,0.4894,2.1633,4.89
1nvq,39.4521,-40.9523,-5.48,3.4712,0,243.8529,0,0.8294,0.6708,1.8173,8.25
1nc1,4.1905,-16.7276,-5.48,0,0,162.1055,0,11.5202,1.0168,3.0152,6.12
1h23,41.7828,-43.8906,-5.48,1.1806,0,371.4883,0,0.4866,1.6213,3.5143,8.35
1q8t,16.5959,-21.4516,-5.48,0.6157,0,146.7069,0,2.5424,2.3132,1.2694,4.76
1a30,3.0091,-15.0496,-5.48,4.568,0,86.5015,0,8.6303,3.4102,6.175,4.3
1mq6,25.5987,-34.3394,-5.48,0.9255,0,260.9824,0,3.6556,5.0851,1.8621,11.15
4tmn,32.9287,-46.7455,-5.48,5.9801,1.9399,195.1267,0,7.4598,6.357,5.1701,10.17
1u1b,-13.8041,3.7469,-5.48,3.2331,0,63.884,0,4.2149,5.8424,10.7422,7.8
1o0h,5.3618,-11.0208,-5.48,5.9127,0,27.601,0,3.3823,2.2767,6.8113,5.92
2brb,16.7437,-20.1454,-5.48,0.1,0,161.7501,0,1.5068,1.895,1.7943,4.86
2baj,35.1966,-43.0067,-5.48,2.452,0,272.6238,0,2.7638,5.0463,1,8.4
1pz5,-4.4073,-10.2124,-5.48,2.7041,0,230.1542,0,2.5857,12.034,12.1982,5.4
2d1o,33.3083,-41.5524,-5.48,5.4435,2,203.3751,0,4.8116,3.4325,7.0171,7.7
1hk4,17.0432,-19.5967,-5.48,0.1066,0,171.4289,0,1.3852,1.1682,2.4597,5.31
2qwd,14.8178,-19.163,-5.48,5.6369,0,53.4336,0,4.111,0.2342,4.4515,4.85
2drc,24.0612,-27.3931,-5.48,5.0578,0,135.501,0,1.6317,1.7002,4.2319,9.89
1f5k,18.7634,-19.6158,-5.48,2.1458,0,59.5625,0,0.8524,0,0,3.74
2d3u,34.2125,-37.7831,-5.48,1.4272,0,235.3523,0,1.2506,2.32,0,6.92
2qwb,7.6229,-9.7122,-5.48,4.6633,0,48.3168,0,0.8268,1.2626,6.6392,2.74
3std,44.2994,-47.6265,-5.48,0.4085,0,380.8885,0,0,3.3271,1.4773,11.11
1nny,35.9179,-46.2464,-5.48,6.6834,0,231.3913,0,2.8727,7.4558,3.3707,7.66
1syh,33.0799,-34.4204,-5.48,6.5797,0,106.8631,0,1.1349,0.2056,2.1636,6.31
1pr5,8.5398,-11.4938,-5.48,1.9455,0,77.4229,0,2.0252,0.9288,3.7276,3.92
2f80,18.9309,-28.8634,-5.48,1.2062,0,246.8191,0,4.7626,5.17,3.72,8.18
1f4g,12.1244,-19.1694,-5.48,1.6689,0,177.0237,0,0,7.0451,4.9206,6.48
1ftm,24.0486,-26.6921,-5.48,5.1224,0,82.4059,0,2.1634,0.4802,2.1633,7.61
2bak,41.2063,-46.5874,-5.48,2.5612,0,317.6589,0,2.3162,3.0648,1.802,7.43
1o3p,15.9482,-16.7491,-5.48,0.4088,0,122.5456,0,0.2149,0.5859,1.7321,6.66
1pbq,32.6217,-33.4427,-5.48,2.9512,0,154.7482,0,0.821,0,0,6.27
1jys,9.4516,-9.5282,-5.48,0.7453,0,13.3249,0,0.0766,0,0,3.52
1lol,13.6446,-14.1738,-5.48,6.3356,0,40.8005,0,0,0.5292,6.7347,6.39
1g7q,3.2833,-17.8579,-5.48,6.4791,0,187.3218,0,7.2739,7.3007,12.1793,6.06
1det,9.0428,-10.0624,-5.48,4.3951,0,21.7844,0,0.0949,0.9247,4.9398,4.3
2bz6,28.3983,-28.9467,-5.48,3.2478,0,169.9555,0,0.0657,0.4826,2.8382,7.09
2brm,15.3064,-20.9965,-5.48,0.7406,0,151.1752,0,1.8885,3.8015,1.8143,5.89
1fkn,6.9017,-26.7998,-5.48,7.5232,0,236.5708,0,5.1479,14.7502,12.2994,8.8
1ndz,23.4549,-32.8995,-5.48,1.3938,0,279.1598,0,6.1453,3.2993,3.8662,8.11
1j17,31.8303,-36.2204,-5.48,0,0,288.0462,0,2.4528,1.9374,1.1566,5.22
1j16,21.0472,-22.023,-5.48,2.5587,0,68.3515,0,0.7634,0.2125,0,3.84
1ajp,10.7628,-13.4383,-5.48,0.5196,0,113.1873,0,0.7858,1.8896,2.7422,2.23
2h3e,28.8537,-36.7269,-5.48,11.6971,0,33.8023,0,1.6371,6.2361,4.6001,5.7
1e1v,16.6734,-17.5409,-5.48,2.1462,0,83.298,0,0.454,0.4135,1.8958,4.92
1ela,16.2903,-25.5864,-5.48,2.7557,0,164.1591,0,4.278,5.0181,3.2439,6.36
4er2,18.7672,-25.4145,-5.48,3.8129,0,216.8343,0,1.0775,5.5698,7.0977,9.3
2ayr,45.5623,-55.2848,-5.48,1.6148,0,426.0147,0,5.1698,4.5526,2.122,9.29
1q7a,20.3524,-23.7492,-5.48,0,0,193.4336,0,0.6786,2.7182,1.7041,7.19
2d3z,32.8315,-35.0751,-5.48,1.7073,0,231.0817,0,0.3823,1.8613,1.2281,6.64
2cer,26.6251,-30.4826,-5.48,4.0416,0,186.1502,0,2.1496,1.7079,4.014,9.22
1fki,31.1016,-31.1045,-5.48,0.956,0,191.7215,0,0.0029,0,0,7
2j77,19.4641,-23.9796,-5.48,4.5165,0,107.2122,0,4.5091,0.0064,3.5661,4.89
1u33,6.1842,-15.9019,-5.48,6.1265,0,159.8727,0,6.3723,3.3454,11.2288,4.6
1pxo,18.9548,-29.556,-5.48,1.1815,0,172.0505,0,7.3989,3.2024,0,8.7
1sv3,13.4168,-13.7591,-5.48,0.2561,0,85.3322,0,0.3319,0.0104,1,4.74
2cgr,30.4473,-32.87,-5.48,2.6976,0,205.3765,0,0.6839,1.7388,2.2066,7.28
1bma,22.0885,-31.7037,-5.48,2.5645,0,213.5529,0,5.4245,4.1908,2.8623,4.59
1sl3,23.8496,-35.6817,-5.48,2.9772,0,242.9451,0,2.5613,9.2709,3.1901,11.85
1ppm,21.8875,-29.608,-5.48,3.71,0,216.2473,0,2.081,5.6395,5.2986,5.8
1y6q,35.7033,-36.0943,-5.48,4.2316,0,195.2777,0,0.0106,0.3804,2.4869,11.7
1fd0,55.8383,-58.3233,-5.48,1.6431,0,426.6257,0,0.1604,2.3246,1,8.4
1d7j,10.4453,-11.624,-5.48,0.9967,0,63.2433,0,0,1.1787,1.7907,3.3
1nfy,25.755,-29.4173,-5.48,0.6762,0,219.6922,0,2.1032,1.559,1.5723,8.89
2std,34.2462,-35.5477,-5.48,0,0,284.2697,0,0.065,1.2365,1.2468,9.85
2b7d,20.528,-27.597,-5.48,4.006,0,178.042,0,0.3927,6.6763,4.7242,8.7
1v2o,10.2769,-15.3686,-5.48,2.6269,0,82.4723,0,2.0551,3.0366,3.3338,4.73
1nje,6.3659,-11.3578,-5.48,3.2267,0,39.9423,0,3.3578,1.6341,3.7393,3.8
