name,Gold.Chemscore.Fitness,Gold.Chemscore.DG,Gold.Chemscore.ZeroCoef,Gold.Chemscore.Hbond,Gold.Chemscore.Metal,Gold.Chemscore.Lipo,Gold.Chemscore.Internal_Hbond,Gold.Chemscore.DEClash,Gold.Chemscore.DEInternal,Gold.Chemscore.Rot,affinity
2br6,13.3740,-21.5558,-5.4800,0.0754,1.9863,32.8759,0.0000,8.1819,0.0000,0.0000,2.96
2adu,34.4418,-40.2978,-5.4800,0.9231,2.6000,137.2369,0.0000,5.8489,0.0070,0.0000,7.74
1g3b,25.2938,-31.1138,-5.4800,1.7476,3.0000,76.6790,0.0000,2.9988,2.8212,2.8378,5.74
1vyq,26.3773,-29.4061,-5.4800,2.4364,0.0000,184.2953,0.0000,0.1045,2.9243,2.2555,5.3
1wkm,20.4841,-26.1598,-5.4800,0.1790,2.6973,78.3954,0.0000,4.6212,1.0545,2.0918,0.82
1w6y,26.6397,-28.0507,-5.4800,0.6811,0.0000,195.3487,0.0000,1.4109,0.0000,1.0000,5.36
1byk,12.4337,-16.3245,-5.4800,6.8238,0.0000,100.6086,0.0000,2.1305,1.7603,9.2649,5
1oko,17.3249,-17.4202,-5.4800,1.6568,1.9972,51.0039,0.0000,0.0280,0.0673,4.5329,4.54
2hdr,9.9734,-11.5208,-5.4800,0.7464,0.0000,52.2023,0.0000,1.5474,0.0000,1.0000,1.72
1f2o,28.1625,-33.2621,-5.4800,2.5667,2.7716,61.9739,0.0000,4.1733,0.9263,1.8572,1.91
1gi8,8.5390,-11.7119,-5.4800,0.0037,0.0000,89.5131,0.0000,1.1601,2.0128,1.6616,5.05
2fwp,12.7373,-16.7143,-5.4800,5.7827,0.0000,30.2761,0.0000,3.2251,0.7519,4.5399,2.92
1ulg,-1.4361,0.0243,-5.4800,2.5494,0.0000,52.9141,0.0000,0.0000,1.4118,7.8946,4.21
1w8l,17.8194,-18.6606,-5.4800,0.9915,0.0000,84.3515,0.0000,0.8387,0.0025,0.0000,0.49
1v2q,9.2013,-13.7898,-5.4800,2.6585,0.0000,84.0442,0.0000,1.2772,3.3114,4.0635,4.13
1rle,-3.4391,-0.0672,-5.4800,4.1320,0.0000,25.0877,0.0000,0.4934,3.0128,8.6519,5.8
1tnl,16.8151,-20.5104,-5.4800,1.8686,0.0000,97.0012,0.0000,3.4695,0.2259,1.0000,1.88
1w1d,-0.1973,-7.6673,-5.4800,6.1024,0.0000,26.3287,0.0000,1.3785,6.4862,8.3106,6.52
1yid,-2.4856,-7.6266,-5.4800,2.6330,2.0000,28.6654,0.0000,6.9236,3.1885,8.6178,5
1tnj,16.6915,-18.7689,-5.4800,1.9654,0.0000,84.6682,0.0000,1.7419,0.3355,1.2429,1.96
1fj4,24.0714,-25.8559,-5.4800,1.3251,0.0000,158.2069,0.0000,1.5401,0.2445,1.0000,4.59
6tim,9.6121,-14.8257,-5.4800,4.5546,0.0000,41.9748,0.0000,3.4707,1.7429,4.2100,3.21
2fzz,31.0630,-40.9036,-5.4800,0.8520,0.0000,316.6252,0.0000,3.5689,6.2717,1.7450,10.52
1jn2,-0.5263,-7.4483,-5.4800,1.0000,0.0000,41.0325,0.0000,1.1279,6.8466,2.4111,4.09
1fdq,12.0603,-24.1296,-5.4800,0.0000,0.0000,212.9369,0.0000,10.5532,1.5161,2.4469,7.27
1fwv,-14.9675,5.5266,-5.4800,3.3497,0.0000,52.2287,0.0000,7.3993,2.0417,11.0567,3.72
1n1t,17.6427,-22.0140,-5.4800,6.7005,0.0000,60.1047,0.0000,2.4354,1.9358,5.0304,3.85
2i0g,35.3789,-37.7110,-5.4800,1.5149,0.0000,271.9072,0.0000,1.7100,0.6220,1.8133,9.72
1rgk,4.1401,-10.2555,-5.4800,4.6987,0.0000,14.3040,0.0000,4.1600,1.9554,4.9186,4.31
1d5r,5.8943,-10.9618,-5.4800,3.8620,0.0000,28.8048,0.0000,3.8525,1.2150,4.2139,1.82
9abp,23.8376,-24.1981,-5.4800,6.5261,0.0000,72.8647,0.0000,0.3286,0.0320,4.5329,8
1oai,-14.5281,3.2288,-5.4800,2.1047,0.0000,203.6766,0.0000,1.2380,10.0613,15.4565,5
1fwu,-14.5870,-0.7583,-5.4800,4.9350,0.0000,60.6902,0.0000,2.6485,12.6968,11.0567,3.7
1hqg,4.2171,-4.2711,-5.4800,0.9590,0.0000,21.3245,0.0000,0.0000,0.0539,2.6980,3
8abp,25.2234,-25.4101,-5.4800,6.9050,0.0000,72.4078,0.0000,0.1123,0.0743,4.5329,8
1mmp,33.2323,-39.8193,-5.4800,3.9244,1.7716,139.1926,0.0000,5.8832,0.7038,2.2410,6.07
