name,AlphaHB,repulsion_term,attraction_term,HB_term,affinity
1a08,-81.3229,0.00798585,-5.74027,-6,5.62
1u2y,-77.4859,7.50478e-006,-6.1486,-4,1.74
1b39,-167.632,0.0743244,-15.2376,-4,6.92
2i0d,-218.467,0.0374587,-19.4842,-6,12.1
2c02,-134.496,0.00825099,-9.05784,-11,4.04
1a1b,-103.394,0.0292031,-5.1686,-13,6.4
1n2v,-101.479,0.00161439,-7.74951,-6,4.08
1xd1,-289.467,0.0841395,-24.6309,-11,7.92
1jq9,-143.942,0.750753,-15.9449,2,8.45
3pch,-73.1891,0.186811,-5.10572,-6,5.4
2bzz,-192.71,0.00912346,-13.6801,-14,6.43
1ha2,-114.783,0.0201488,-11.0984,-1,5.54
1tyr,-2.51985,0.587909,-1.23989,1,7
1re8,-222.191,0.0105434,-18.6296,-9,9.52
1l2s,-85.6931,0.00955598,-7.77887,-2,4.59
2aou,-131.649,0.0603963,-13.6253,1,7.73
1jqd,-131.434,0.0203919,-11.1638,-5,5.16
1apw,-180.13,0.00884512,-16.8219,-3,8
2b1v,-114.89,0.0195627,-9.90856,-4,5.74
1bra,-49.8929,0.0205037,-5.4098,1,1.82
2hdq,-55.8333,0.015805,-3.99913,-4,1.4
1gni,-111.69,0.0248852,-10.3939,-2,8.07
2aov,-92.3405,0.0116206,-9.24567,-0,7.04
2flb,-104.1,0.169542,-10.1796,-1,5.74
2f01,-115.089,0.00781916,-8.71676,-7,13
7cpa,-236.791,0.0561466,-13.7352,-25,13.96
1xgj,-77.6742,0.0481583,-7.01558,-2,6
2er9,-252.271,0.0968041,-23.7239,-4,7.4
2fai,-123.862,0.0273333,-10.0136,-6,6.24
1slg,-187.066,0.0149146,-16.3215,-6,3.9
1is0,-111.379,0.0327727,-5.97066,-13,7
1utp,-33.6438,0.0304964,-4.19487,2,1.44
1y1m,-91.6463,0.00851458,-5.17314,-10,1.82
1e5a,-53.4432,0.0246082,-4.56893,-2,7.64
1h23,-180.573,0.0271969,-17.6845,-1,8.35
1bcu,-83.5005,0.000593751,-8.35065,-0,3.28
2cet,-153.125,0.0525967,-10.9651,-11,8.02
4tmn,-271.537,0.0657749,-18.4195,-22,10.17
1mq6,-154.114,0.0304604,-15.4418,-0,11.15
1o0h,-127.255,0.0105157,-6.73603,-15,5.92
1nc1,-148.051,0.154847,-10.56,-11,6.12
2brb,-109.645,0.0126966,-10.5772,-1,4.86
1nvq,-160.697,0.0188763,-16.0886,-0,8.25
1q8t,-96.0462,0.0256245,-9.23025,-1,4.76
2j78,-117.251,0.0318663,-6.95693,-12,6.42
1sqa,-100.313,0.0274402,-10.8587,2,9.21
1u1b,-191.307,0.00486693,-14.3356,-12,7.8
1a30,-128.042,0.034024,-10.4382,-6,4.3
1ydt,-142.499,0.0257745,-13.4757,-2,7.32
1gpk,-103.44,0.00766707,-9.55167,-2,5.37
1e66,-103.965,0.0223099,-10.8188,1,9.89
1p1q,-107.315,0.0634933,-7.19495,-9,4.89
1o3f,-96.1415,0.0722111,-8.48636,-3,7.96
1d09,-193.145,0.032826,-8.54735,-27,7.57
2qwb,-129.938,0.021547,-9.01537,-10,2.74
1g7q,-208.259,0.0610304,-17.287,-9,6.06
1f4f,-132.267,0.0428631,-11.6696,-4,4.62
3pce,-46.4888,0.165043,-5.21392,1,2
1zoe,-70.0478,0.0131509,-7.41793,1,7.4
4tim,-97.7517,0.0648621,-5.84003,-10,2.16
1tok,-83.3342,0.038214,-4.37163,-10,2.47
2fdp,-229.185,0.0132962,-20.1318,-7,7.59
3pcj,-86.3103,0.0650749,-5.8961,-7,7.22
1uwt,-89.103,0.0281566,-7.33845,-4,5.97
2baj,-157.212,0.0212327,-14.5425,-3,8.4
1if7,-111.871,0.0139574,-6.80104,-11,10.52
2d3z,-108.992,0.0175298,-9.71673,-3,6.64
1nja,-129.921,0.0019456,-9.39401,-9,6.31
2ayr,-188.605,0.0255905,-18.486,-1,9.29
2cer,-135.372,0.0444824,-10.3817,-8,9.22
2qwd,-147.293,0.065148,-8.79446,-15,4.85
1fh8,-123.262,0.00959325,-8.33577,-10,6.89
1ftm,-123.432,0.0026885,-7.54589,-12,7.61
2qwe,-169.217,0.0359721,-10.9577,-15,7.48
1toj,-85.7388,0.0207203,-6.1946,-6,3.39
1pr5,-120.86,0.0242612,-10.5103,-4,3.92
1f4e,-85.8245,0.00811825,-7.79057,-2,2.96
1y6q,-148.597,0.011597,-11.2713,-9,11.7
1hfs,-297.286,0.0353674,-25.764,-10,8.7
2d0k,-144.756,0.00278647,-11.6784,-7,5.02
1ela,-110.936,0.00845787,-11.9021,2,6.36
1rnt,-131.543,0.0635446,-7.61785,-14,5.19
1ndy,-112.538,0.0641106,-11.3179,-0,6.17
1j17,-122.387,0.0474175,-12.2861,-0,5.22
1ols,-204.917,0.0454713,-12.9372,-19,5.82
3std,-176.516,0.0113903,-15.6629,-5,11.11
1avn,-24.462,0.00145418,-0.847657,-4,3.9
5er1,-125.323,0.0560936,-11.3884,-3,6.02
2drc,-176.837,0.00479895,-13.2885,-11,9.89
1pb9,-73.3004,0.0125341,-4.14258,-8,3.62
1d7j,-43.4366,0.00318186,-3.54684,-2,3.3
1pxo,-100.067,0.0624904,-11.2692,3,8.7
2g8r,-51.4936,0.0417951,-4.79115,-1,3.99
1ndw,-113.692,0.0554775,-9.42466,-5,5.23
1fh7,-148.201,0.0370848,-9.25716,-14,5.24
1jys,-72.4541,0.00493116,-5.25034,-5,3.52
1om1,-132.924,0.081297,-12.1737,-3,6.77
1nfy,-114.397,0.0231546,-11.0629,-1,8.89
1fkb,-137.734,0.00307654,-12.1765,-4,9.7
1loq,-156.856,0.0299403,-9.31554,-16,3.7
4tln,-81.5457,0.0745634,-4.62913,-9,3.72
1trd,-104.454,0.0282609,-4.87363,-14,5.4
2d1o,-191.2,0.00711635,-14.7271,-11,7.7
1k9s,-132.085,0.0151366,-10.8236,-6,6.52
1ndz,-187.914,0.267512,-17.4589,-4,8.11
2cgr,-143.464,0.00693093,-12.7533,-4,7.28
1toi,-96.0159,0.00487074,-6.40646,-8,4.05
2brm,-105.739,0.0106409,-10.9846,1,5.89
2fzc,-107.646,0.0601237,-7.62476,-8,2.7
6rnt,-95.1673,0.00821544,-5.92495,-9,2.37
1fd0,-180.495,0.0371651,-17.2867,-2,8.4
1dhi,-139.513,0.00363644,-12.3549,-4,7.26
1hi4,-129.032,0.0725979,-8.1758,-12,4.49
1nje,-145.413,0.0189251,-9.36026,-13,3.8
1b8o,-146.383,0.00236251,-10.2406,-11,10.64
1jaq,-132.323,0.0281827,-9.26048,-10,4.48
2h3e,-184.611,0.0067254,-9.26785,-23,5.7
1pz5,-178.087,0.0293786,-15.4381,-6,5.4
1ajq,-40.2741,0.024436,-4.45185,1,4.31
1fcx,-174.645,0.02708,-16.6915,-2,7.19
1u33,-191.021,0.0790842,-13.9812,-13,4.6
1tmn,-214.614,0.008535,-13.8699,-19,7.3
1pbq,-104.9,0.0134204,-8.50345,-5,6.27
1nhu,-80.6351,0.0261818,-7.28969,-2,5.66
1df8,-118.623,0.0172796,-8.27956,-9,9.7
1syh,-159.768,0.00620768,-9.983,-15,6.31
1bxo,-260.199,0.0275184,-21.2474,-12,10
2f80,-201.997,0.0760334,-18.2757,-5,8.18
2bak,-216.826,0.0375813,-21.3202,-1,7.43
1olu,-191.895,0.0367903,-12.8263,-16,4.41
1fzj,-264.093,0.0247993,-21.6341,-12,8.1
1x1z,-174.096,0.027707,-10.6373,-17,11.06
1flr,-134.197,0.0163387,-11.4361,-5,10
2g94,-247.895,0.0646421,-20.8542,-10,9.52
1bma,-139.024,0.0596671,-14.3621,1,4.59
1lol,-167.21,0.00120018,-10.3222,-16,6.39
1g7f,-184.272,0.00624866,-10.8334,-19,5.47
1ajp,-62.9044,0.0335869,-6.32403,-0,2.23
1q7a,-87.4012,0.0979296,-8.83805,-0,7.19
1m0n,-163.786,0.154732,-12.1333,-11,2.22
2ctc,-95.0328,0.0365044,-6.33978,-8,3.89
1v16,-203.273,0.0401957,-12.7675,-19,3.87
2j77,-99.6656,0.0436671,-6.01022,-10,4.89
1ttm,-145.526,0.0601876,-8.21278,-16,7.35
1zc9,-100.125,0.0731468,-6.48564,-9,3.22
1fzk,-245.974,0.0743464,-20.2717,-11,8.4
2bz6,-129.021,0.0269536,-11.7291,-3,7.09
2std,-102.999,0.0106944,-10.7106,1,9.85
1zs0,-203.627,0.0310253,-11.9937,-21,6.15
1vfn,-74.7969,0.0148545,-5.49455,-5,5.6
1sv3,-48.0479,0.0447077,-4.8495,-0,4.74
1fkn,-265.824,0.128441,-19.5108,-18,8.8
1fh9,-142.57,0.0353679,-9.8924,-11,6.43
2b7d,-141.046,0.0183487,-11.7229,-6,8.7
1nny,-224.689,0.0186033,-16.8875,-14,7.66
2gss,-84.0868,0.00144731,-7.61013,-2,4.94
1m2q,-107.967,0.00823074,-10.4049,-1,6.1
1f4g,-167.759,0.0110896,-14.387,-6,6.48
1vzq,-161.106,0.068529,-13.7792,-6,7.44
1a69,-139.933,0.0448017,-10.4381,-9,5.3
8cpa,-212.905,0.173148,-12.2636,-23,9.15
1elb,-62.5236,0.104516,-9.55688,8,7.15
1v48,-174.334,0.0111098,-11.8445,-14,7.8
10gs,-184.644,0.0105717,-13.6749,-12,6.4
1sl3,-164.764,0.0132512,-16.0897,-1,11.85
1o3p,-112.18,0.0770691,-10.4951,-2,6.66
3gss,-177.951,0.00890797,-13.404,-11,5.82
1v2o,-78.6541,0.0136787,-7.07909,-2,4.73
1s39,-121.2,0.00159159,-6.9216,-13,7.7
2ceq,-115.199,0.120113,-7.24006,-11,7.28
1det,-94.7748,0.0196567,-5.49714,-10,4.3
1k4g,-143.588,0.00183373,-10.3607,-10,5.85
1f5k,-57.6341,0.00278274,-5.36619,-1,3.74
1tsy,-155.033,0.031712,-10.335,-13,4.96
2bok,-128.724,0.0305333,-12.903,-0,6.55
1kv5,-87.7795,0.006662,-4.78461,-10,4.22
1ai5,-75.6575,0.0307387,-7.19649,-1,3.72
2rkm,-131.052,0.00124004,-10.7065,-6,3.9
1e1v,-109.136,0.080948,-9.39453,-4,4.92
2g5u,-88.316,0.0011602,-8.83276,-0,8.49
2usn,-133.992,0.0139152,-10.6131,-7,6.51
4er2,-213.239,0.0224377,-16.9463,-11,9.3
6std,-106.091,0.00537246,-11.4145,2,8.64
2azr,-116.798,0.00971957,-8.08953,-9,3.64
1ppm,-205.713,0.00996715,-20.5813,-0,5.8
1fki,-112.409,0.00863315,-9.64956,-4,7
1j16,-61.0535,0.00152043,-5.70687,-1,3.84
1kv1,-133.53,0.00160585,-10.9546,-6,5.94
1fcz,-166.634,0.0209397,-15.4844,-3,9.22
1m0q,-180.326,0.0538225,-11.2864,-17,3.89
1b9j,-180.528,0.0224187,-14.8752,-8,5.96
1b7h,-183.137,0.0180543,-15.1317,-8,8.02
1hk4,-96.6857,0.0513284,-10.1199,1,5.31
2d3u,-105.532,0.0181187,-9.77127,-2,6.92
1zvx,-160.589,0.0369895,-11.2959,-12,9.22
