name,AlphaHB,repulsion_term,attraction_term,HB_term,affinity
1o2s,-77.2709,0.0690001,-6.99609,-2,5.47
1gi9,-69.8606,0.119376,-7.10544,-0,5.22
1axz,-79.1558,0.00538282,-4.72096,-8,3.2
1kll,-21.3196,0.00933808,-2.1413,-0,5.2
1yid,-119.842,0.246262,-11.4304,-2,5
2adu,-170.082,0.0241346,-6.63238,-26,7.74
2dua,-57.2771,0.00930276,-2.93701,-7,4.77
2fkf,-145.249,0.00497637,-8.12985,-16,2.92
1vj9,-140.085,0.0198498,-12.8283,-3,7.55
1cim,-117.348,0.0191447,-6.95391,-12,8.82
1gzc,-94.5924,0.0102593,-5.4695,-10,3.49
1n1t,-174.409,0.0135256,-10.2544,-18,3.85
2ff1,-141.906,0.0240012,-9.81463,-11,8.21
1qq9,-91.4473,0.00287466,-4.7476,-11,2.06
1obx,-72.8467,0.0137757,-5.69844,-4,5.72
1ta2,-120.371,0.012944,-11.65,-1,8.52
1me8,-160.457,0.0185349,-10.0642,-15,7.19
1xbb,-134.327,0.0485455,-13.0812,-1,5.3
1qca,-148.013,0.292054,-15.8934,2,5.27
1rgl,-83.1269,0.0393018,-4.35199,-10,4.43
2c3j,-99.4997,0.00466423,-9.15464,-2,6.18
1z3v,-138.398,0.00903418,-11.0488,-7,4.11
1af6,-170.093,0.0271359,-9.8364,-18,1.82
1vja,-160.577,0.0231076,-14.0808,-5,7.7
2avv,-216.168,0.130459,-20.5473,-3,9.26
1meu,-237.511,0.0392135,-20.1904,-9,6.1
1cil,-115.596,0.00695146,-7.96659,-9,9.43
1xzx,-136.52,0.0124061,-12.8644,-2,10.22
6tim,-108.405,0.0325941,-5.67306,-13,3.21
2hh5,-109.514,0.0173345,-14.9688,10,7.49
1rdi,-46.9847,0.0194114,-1.51789,-8,2.06
3pcb,-61.8843,0.171564,-5.16,-3,2.4
1w8l,-50.1717,0.00927218,-4.62645,-1,0.49
1qiw,-164.469,0.0958956,-15.7428,-2,7.74
1joc,-103.566,0.00478447,-3.96137,-16,4.62
1q66,-163.607,0.181705,-12.1424,-11,5.77
1owd,-100.293,0.0126278,-9.24193,-2,8.2
2bmz,-52.3655,0.00205713,-3.23861,-5,3.7
1imx,-19.6236,0.000558765,-1.96292,-0,3.52
1vkj,-178.831,0.0236726,-13.5068,-11,4.85
1hqg,-46.396,0.000507217,-4.24011,-1,3
1rzx,-109.418,0.021398,-8.96317,-5,4.1
1f9g,-55.6356,1.30343e-007,-5.96356,1,1.28
1hp0,-130.291,0.0343484,-10.2634,-7,6.7
2gh7,-127.131,0.00816,-8.72126,-10,13
1x9d,-182.275,0.0252337,-10.6527,-19,3.96
1w6y,-83.1826,0.0200056,-7.53826,-2,5.36
1rdn,-39.2397,0.0138997,-1.53787,-6,1.84
8abp,-120.577,0.00496898,-5.6627,-16,8
1y2g,-21.5053,0.00061665,-2.55115,1,4.08
2f8i,-4.48128,0.155928,-1.40406,2,7.26
1cin,-112.679,0.0129018,-7.68081,-9,8.73
220l,-35.1092,0.0456527,-3.55657,-0,3.4
2br6,-15.6827,0.0565516,-4.02482,6,2.96
1pu8,-64.4702,0.0685182,-6.51554,-0,3.1
1eix,-181.529,0.0428662,-11.3957,-17,11.06
1ent,-224.4,0.031716,-19.2717,-8,6.96
1m9n,-192.197,0.227784,-13.0475,-16,6.92
1pbk,-148.277,0.00383784,-11.2315,-9,9.05
1c4v,-146.921,0.268083,-15.7602,2,10.8
5tln,-150.76,0.0342769,-10.3103,-12,6.37
2bsu,-294.559,0.643235,-24.8992,-13,5.66
1z3t,-134.471,0.00542263,-11.4525,-5,3.94
1o0o,-47.8648,0.0154206,-2.0019,-7,5.1
9abp,-132.164,0.0280378,-6.04449,-18,8
1gah,-209.9,0.0058614,-13.7958,-18,12
1o2x,-89.2504,0.0488841,-8.17393,-2,5.85
2adm,-122.234,0.0354723,-12.6589,1,5.7
1lf9,-196.037,0.0252501,-13.6289,-15,12
1rgk,-117.313,0.0412036,-6.17249,-14,4.31
1b6m,-206.423,0.024411,-18.6667,-5,8.4
1y3g,-210.885,0.0160724,-13.1046,-20,7.4
1qy5,-88.9959,0.0130905,-9.31268,1,6.7
1awi,-195.61,0.112126,-17.2732,-6,4.05
1heg,-156.517,0.320688,-15.5724,-1,7.74
1rej,-156.87,0.0186361,-13.7056,-5,8.3
1qsc,-85.4686,0.0733385,-5.4202,-8,3.68
11gs,-207.028,0.0332311,-15.936,-12,5.82
1w1g,-112.178,0.00715871,-4.42494,-17,7.68
2bjm,-78.404,0.142593,-8.38299,1,3.7
1y2f,-15.1274,0.00371121,-1.51645,-0,4.92
1fwv,-71.5061,0.145752,-4.09636,-8,3.72
1o2g,-97.9541,0.196454,-9.99187,-0,6.12
1ws5,-70.5211,0.00436064,-5.45647,-4,3.03
2hdr,-22.1285,0.000340462,-1.41319,-2,1.72
1zsr,-229.011,0.126439,-21.0276,-5,9.82
1d5r,-106.916,0.0367096,-5.12828,-14,1.82
1me7,-159.216,0.0167389,-9.93832,-15,7.19
1z1r,-213.663,0.017195,-18.5835,-7,9.22
1umw,-168.858,0.0115169,-10.8973,-15,6.55
1tnj,-53.737,0.0265026,-5.40021,-0,1.96
1rle,-81.611,0.0283376,-5.38944,-7,5.8
5abp,-121.601,0.0116143,-5.77169,-16,6.64
1db1,-177.992,0.0191932,-15.0184,-7,9.26
1gi6,-95.8925,0.107644,-8.09689,-4,6.22
1lox,-97.6402,0.0918858,-10.6559,2,5.52
2c4v,-136.935,0.165866,-7.0594,-17,2.6
1rdj,-63.042,0.0298463,-1.53405,-12,1.66
4fiv,-219.32,0.140537,-20.0725,-5,6.52
2er6,-229.9,0.162898,-22.3529,-2,7.22
1gt1,-77.9889,0.183283,-7.98217,-0,6
1fdq,-93.3659,0.534433,-9.47102,-1,7.27
1dqx,-153.209,0.109645,-11.0306,-11,11.05
1apb,-118.864,0.0190357,-5.50548,-16,5.82
1b11,-93.6196,0.0123371,-8.1743,-3,7.39
1mmp,-148.214,0.0175737,-9.63896,-13,6.07
1urg,-138.872,0.00987425,-11.497,-6,5.82
1vwn,-166.371,0.210167,-14.4473,-6,5.82
1f2p,-99.5899,0.439758,-5.59874,-12,1.9
3pcc,-65.1698,0.129144,-5.04612,-4,3.62
2cji,-140.418,0.0379646,-13.6798,-1,8.22
1vyq,-88.0178,0.00670869,-8.80849,-0,5.3
1bap,-110.597,0.00240031,-4.66213,-16,6.85
7abp,-115.201,0.0157528,-5.13583,-16,6.46
1jn2,-35.8983,0.0116972,-2.80153,-2,4.09
1tnk,-50.3175,0.0252318,-5.45698,1,1.49
1o2k,-91.8528,0.139357,-9.32464,-0,6.92
1hn2,-79.8357,0.141118,-8.12469,-0,6
1rdl,-55.0061,0.0129825,-1.51359,-10,2.24
1qi0,-80.4783,0.0278384,-4.07567,-10,2.35
1sgx,-98.2914,0.00515299,-5.4343,-11,5.8
1abf,-106.463,0.0163343,-5.06266,-14,5.42
1mhw,-161.659,0.0328886,-16.1988,-0,7.35
1m6p,-167.332,0.0488587,-6.38202,-26,5.1
1r0x,-135.953,0.021403,-8.4167,-13,3.83
1ody,-276.455,0.195092,-23.4406,-11,8.1
1wvc,-180.135,0.140572,-13.354,-12,4.46
2toh,-76.6538,0.0818519,-7.34723,-1,4.15
2h6q,-142.328,0.0548999,-11.0877,-8,5.11
1gi8,-68.8527,0.12597,-7.01124,-0,5.05
1lor,-170.718,0.0282335,-10.7001,-16,11.06
2fgi,-159.179,0.0591315,-14.777,-3,7.34
1tnl,-52.381,0.0379307,-5.67603,1,1.88
1w2g,-102.341,0.0178729,-8.65193,-4,4.57
1bzh,-126.752,0.12921,-10.4044,-6,6.77
1agm,-207.878,0.0238138,-14.4116,-16,12
1f8a,-172.662,0.099745,-13.3659,-10,5
1icj,-117.851,0.0334471,-9.81859,-5,2.22
1w7x,-144.419,0.0442434,-12.0862,-6,8.4
1vwl,-122.582,0.0043093,-11.8625,-1,5.63
1njj,-52.3497,0.736245,-6.37122,1,2.1
1g3b,-73.4541,0.00633098,-6.55174,-2,5.74
1vjc,-145.094,0.0162748,-11.7257,-7,3.58
1w0y,-135.376,0.0373389,-12.7749,-2,6.42
1vjj,-89.8065,0.0288189,-6.20947,-7,5.77
1m13,-143.681,0.182095,-13.7502,-2,7.57
1qpb,-37.7805,0.0166379,-3.39468,-1,1.36
1gj4,-93.4391,0.411212,-10.5551,2,4.07
1sqn,-120.074,0.00954497,-12.017,-0,9.4
830c,-152.93,0.0270371,-11.32,-10,9.28
1sts,-189.018,0.00989097,-15.3116,-9,5
1sc8,-135.21,0.0171055,-11.9381,-4,7.44
1jwt,-136.186,0.0564676,-13.2751,-1,7.85
1a42,-139.889,0.00937064,-9.59824,-11,9.89
1pr1,-121.295,0.0229179,-10.1524,-5,5.3
1we2,-72.7644,0.148931,-5.02537,-6,4.36
1b74,-30.6458,0.110328,-3.5749,1,1.3
1tsl,-77.0583,0.0383267,-8.94416,3,6.15
1jd5,-108.716,0.0260924,-9.2977,-4,6.62
