name,GBVIWSA_dG,coul,sol,vdw,sa,affinity
1a08,-8.09248,-29.776,28.1661,-3.15946,-1.23059,5.62
1u2y,-4.61312,-2.78421,2.4044,-1.7016,-0.439191,1.74
1b39,-10.3678,-66.7181,60.7184,-0.698104,-1.57751,6.92
2i0d,-9.33566,-2.82155,2.73886,-4.92934,-2.23112,12.1
2c02,-6.62238,-31.529,30.0969,-2.41016,-0.687554,4.04
1a1b,-7.92887,-26.6137,24.496,-2.39324,-1.3254,6.4
1n2v,-5.70436,-2.59772,2.07795,-2.19594,-0.896141,4.08
1xd1,-11.7551,-15.3716,12.9151,-4.58863,-2.61746,7.92
1jq9,-9.42361,-14.5659,14.8544,-5.04763,-2.57192,8.45
3pch,-5.98534,-15.38,14.5466,-1.75357,-1.30586,5.4
2bzz,-10.1722,-59.2867,57.3427,-4.8431,-1.2926,6.43
1ha2,-6.61889,-6.94097,6.96505,-3.1687,-1.38176,5.54
1tyr,-4.31881,-1.8568,1.92183,-1.65326,-0.638065,7
1re8,-10.989,-14.4544,13.2459,-5.55034,-2.13768,9.52
1l2s,-5.65432,-11.4053,10.6973,-2.06211,-0.791667,4.59
2aou,-5.2222,-15.2144,14.9523,-1.00834,-1.85933,7.73
1jqd,-8.00042,-2.31396,1.07519,-3.18544,-1.4837,5.16
1apw,-9.28979,0.652495,-1.12969,-4.47006,-2.25003,8
2b1v,-7.17759,1.30631,-1.67712,-2.82133,-1.89294,5.74
1bra,-4.14675,-5.91771,5.55129,-1.06111,-0.626715,1.82
2hdq,-4.37941,-8.63621,7.75461,-0.944151,-0.461145,1.4
1gni,-6.97121,-11.2943,11.2751,-3.19627,-1.66316,8.07
2aov,-5.05227,-1.70704,1.70034,-2.10477,-0.848287,7.04
2flb,-6.72004,-9.84543,9.79939,-3.52485,-1.05664,5.74
2f01,-8.33199,-5.86973,4.74724,-3.56206,-1.55493,13
7cpa,-11.2749,-28.2412,23.7268,-2.79566,-1.87234,13.96
1xgj,-4.98882,-18.5287,17.3575,-0.74219,-0.98296,6
2er9,-11.2441,-18.5564,18.1091,-5.61058,-3.09365,7.4
2fai,-7.76522,0.320239,-0.707896,-3.16718,-2.1178,6.24
1slg,-9.26658,-10.334,9.83533,-5.02255,-1.65284,3.9
1is0,-8.74841,-34.1357,31.5758,-2.51511,-1.58086,7
1utp,-4.36973,-3.77435,3.62845,-1.52191,-0.609409,1.44
1y1m,-5.95214,-10.3543,8.25646,-0.790437,-0.971318,1.82
1e5a,-4.91915,-7.82968,7.3406,-1.62226,-0.715295,7.64
1h23,-10.1286,-10.6873,10.4546,-5.65099,-2.15246,8.35
1bcu,-5.39362,-5.79783,5.74682,-2.73353,-0.516571,3.28
2cet,-7.91799,-14.9729,12.9156,-1.9385,-1.8297,8.02
4tmn,-12.3152,-29.0875,24.5331,-3.41529,-2.25306,10.17
1mq6,-9.74168,-0.377776,0.387429,-5.94627,-1.71255,11.15
