name,GBVIWSA_dG,coul,sol,vdw,sa,affinity
1o2s,-3.95004,-6.98525,5.70566,0.271412,-0.849355,5.47
1gi9,-1.40472,-12.6013,10.648,3.47364,-0.832556,5.22
1axz,-4.9766,0.886187,-1.48033,-1.56044,-0.72951,3.2
1kll,-4.45899,-4.1341,3.86325,-1.58028,-0.515346,5.2
1yid,-4.19077,-80.0615,78.9233,0.0526499,-1.01263,5
2adu,-3.86622,-16.0813,8.71213,6.41996,-0.824529,7.74
2dua,-7.50603,-22.1429,17.6982,-0.443535,-0.525305,4.77
2fkf,-7.53034,-48.3401,45.1328,-1.59192,-0.638633,2.92
1vj9,-9.05686,-9.93046,8.7973,-4.19481,-1.63638,7.55
1cim,-7.82925,-11.1977,7.68808,-1.20574,-1.0214,8.82
1gzc,-5.88305,2.03267,-2.69696,-2.18384,-0.942408,3.49
1n1t,-7.3393,-9.68105,7.70224,-2.35742,-0.910557,3.85
2ff1,-6.43404,-13.3276,11.5234,-1.1929,-1.34441,8.21
1qq9,-8.15013,-6.05057,2.28107,-1.54887,-0.739243,2.06
1obx,-6.3895,-17.9732,17.2189,-2.57544,-0.967169,5.72
1ta2,-8.3045,-2.54565,2.35883,-4.23622,-1.78896,8.52
1me8,-8.06789,-22.4513,20.2397,-2.40452,-1.35918,7.19
1xbb,-6.91939,8.59002,-8.46795,-3.68011,-1.26884,5.3
1qca,-3.52202,-0.192427,0.472636,0.448318,-2.15804,5.27
1rgl,-6.30963,-25.0272,23.0902,-1.51169,-0.768375,4.43
2c3j,-5.83723,-3.32998,3.32487,-2.4797,-1.25992,6.18
1z3v,-6.8404,-2.67911,1.89676,-3.25792,-0.70758,4.11
1af6,-6.13399,-7.99512,5.75364,-0.727349,-1.07265,1.82
1vja,-9.02008,-11.9823,10.4671,-3.80143,-1.61095,7.7
2avv,-9.11968,-7.71767,7.93963,-4.12005,-3.12908,9.26
1meu,-10.4221,-0.762562,0.520193,-5.61405,-2.4732,6.1
1cil,-8.48009,-6.64632,3.75161,-2.58256,-0.910308,9.43
1xzx,-9.24476,-14.036,13.4588,-3.79756,-2.77745,10.22
6tim,-4.91162,-16.1533,15.2763,-0.654701,-1.28745,3.21
2hh5,-10.9976,-11.1087,9.13694,-4.96009,-1.97317,7.49
1rdi,-3.63385,-2.8031,0.458677,1.39002,-0.586939,2.06
3pcb,0.161004,-17.7954,16.2679,4.93006,-1.149,2.4
1w8l,-4.31249,-2.03161,1.88969,-1.37522,-0.702837,0.49
1qiw,-7.23815,-19.1499,19.12,-3.55724,-1.55852,7.74
1joc,-6.88739,-48.5198,45.5023,-0.979563,-0.797842,4.62
1q66,-6.0573,-23.7037,22.2364,-0.990395,-1.50701,5.77
1owd,-6.89578,-15.7519,14.4857,-2.66068,-0.876472,8.2
2bmz,-5.30782,-5.06263,4.43527,-1.87127,-0.716683,3.7
1imx,-5.50167,0.198208,-0.11831,-2.60785,-0.881215,3.52
1vkj,-10.0169,-77.2874,74.411,-3.4175,-1.63053,4.85
1hqg,-2.91669,-6.72756,7.58693,-1.40295,-0.280443,3
1rzx,-8.76031,-26.0683,24.8507,-3.7073,-1.74288,4.1
1f9g,-3.0634,-1.5183,1.89121,-1.18125,-0.162549,1.28
1hp0,-7.42127,-9.53133,7.42194,-1.77316,-1.4462,6.7
2gh7,-8.33816,-5.80331,4.68787,-3.56788,-1.56232,13
1x9d,-7.59017,-11.6259,8.34163,-0.397015,-1.81634,3.96
1w6y,-5.24325,-2.27542,1.94511,-1.64208,-1.17836,5.36
1rdn,-3.37512,-2.1413,0.65012,0.800008,-0.591442,1.84
8abp,-6.98974,-2.75831,0.976259,-1.91803,-1.19715,8
1y2g,-4.83018,-1.18605,1.30627,-2.14499,-0.712893,4.08
2f8i,-3.05297,-4.2969,4.34346,-0.406348,-0.600676,7.26
1cin,-8.07526,-6.79163,3.6611,-1.95296,-0.899252,8.73
220l,-3.27749,0.753057,-0.618647,-0.660548,-0.658837,3.4
2br6,-2.53577,-2.48965,2.70849,-0.0918313,-0.570272,2.96
1pu8,-5.10837,-11.2826,10.7059,-1.70378,-0.735325,3.1
1eix,-6.92405,-29.1202,26.693,-0.282292,-2.12212,11.06
1ent,-10.086,1.67262,-3.22034,-4.42359,-2.02214,6.96
1m9n,-2.11427,-25.0025,21.8061,5.21352,-2.03888,6.92
1pbk,-9.33939,-5.33893,4.48766,-4.75058,-1.64503,9.05
1c4v,-7.03785,-7.22105,6.58442,-1.74086,-2.56785,10.8
5tln,-6.73454,-8.84224,5.82275,-0.179869,-1.44267,6.37
2bsu,-8.94075,-20.9834,17.5512,2.54013,-5.95617,5.66
1z3t,-7.02898,-3.80186,2.73682,-3.0299,-0.841534,3.94
1o0o,-5.96239,-54.373,52.0348,-1.04129,-0.490338,5.1
9abp,-6.54254,-5.08926,3.09183,-1.28519,-1.1674,8
1gah,-10.3852,-18.4041,16.2124,-4.25018,-1.85082,12
1o2x,-5.53287,-9.07095,8.18475,-1.49341,-1.06076,5.85
2adm,-7.19571,-3.91221,3.74411,-3.74236,-1.19274,5.7
1lf9,-9.20235,-21.0173,18.618,-2.63496,-2.07554,12
1rgk,-6.70186,-30.0214,27.6762,-1.23307,-1.03101,4.31
1b6m,-11.7775,-8.70517,7.42768,-6.00201,-2.40546,8.4
1y3g,-9.33013,-5.65455,3.04553,-2.81561,-1.81299,7.4
1qy5,-5.80987,-3.02673,2.90145,-2.74371,-0.848363,6.7
1awi,-8.65864,-11.2496,10.8316,-3.83273,-2.3154,4.05
1rej,-9.52298,-11.9198,11.0934,-4.7106,-1.89347,8.3
1qsc,-8.22875,-9.26888,7.76316,-2.7334,-1.89705,3.68
11gs,-9.09058,-16.8898,15.1403,-3.20753,-2.04095,5.82
1w1g,-7.98804,-103.345,98.9672,-0.633723,-0.884037,7.68
2bjm,-3.56548,0.230288,0.0326379,-0.882271,-0.853624,3.7
1y2f,-4.71985,-2.43124,2.64791,-2.2126,-0.631412,4.92
1fwv,-3.9893,-4.4879,4.06705,-0.659129,-0.816816,3.72
1o2g,2.38591,-9.42951,7.12914,8.17549,-1.3967,6.12
1ws5,-4.43247,-2.60948,2.93037,-1.90633,-0.754514,3.03
2hdr,-3.71447,-4.38724,3.99247,-0.856739,-0.370455,1.72
1zsr,-11.1359,-15.6359,14.8682,-5.12112,-3.15451,9.82
1d5r,-4.8382,-27.9493,26.0918,0.15171,-1.03996,1.82
1me7,-8.10252,-20.8204,18.9405,-2.7147,-1.4154,7.19
1z1r,-10.4289,-3.53344,3.29149,-5.78726,-2.30713,9.22
1umw,-9.82292,-29.9543,27.7681,-4.10865,-1.43557,6.55
1tnj,-4.23596,-8.22642,7.34599,-0.60179,-0.661228,1.96
1rle,-6.2391,-23.7254,22.7128,-2.00588,-1.12806,5.8
5abp,-6.75113,-2.31298,0.507927,-1.70596,-1.1476,6.64
1db1,-10.6105,-3.00885,2.19368,-5.02121,-2.68156,9.26
1gi6,-2.71562,-14.9388,12.539,2.68672,-0.910087,6.22
1lox,-6.29789,1.76363,-1.09811,-2.28369,-2.5872,5.52
2c4v,-1.19494,-57.7838,52.8749,7.1068,-1.30026,2.6
1rdj,-2.98817,-1.09055,-0.84637,1.59637,-0.555103,1.66
4fiv,-7.52566,-6.04857,4.9882,-1.1519,-3.22088,6.52
2er6,-11.681,-26.3814,25.1195,-5.78637,-2.54015,7.22
1gt1,-4.3618,-0.812618,0.929408,-1.12196,-1.26412,6
1fdq,0.619529,-10.3202,10.2243,4.79658,-1.98863,7.27
1dqx,-7.06871,-27.0059,25.1393,-0.946381,-2.16322,11.05
1apb,-5.5762,-3.13832,1.62222,-0.94079,-1.0268,5.82
1b11,-6.85436,-4.06521,3.47,-3.13426,-1.03238,7.39
1mmp,-11.6065,-9.79275,5.32207,-3.47146,-1.57182,6.07
1urg,-7.18389,-1.00405,0.124456,-3.05682,-1.15497,5.82
1vwn,-7.67451,-0.0797472,0.219999,-4.13933,-1.58293,5.82
3pcc,-4.56973,-35.4017,31.0697,2.80813,-0.953406,3.62
2cji,-8.57058,-5.17412,5.15508,-5.07444,-1.38459,8.22
1vyq,-7.24191,-3.40948,3.06952,-3.75942,-1.05003,5.3
1bap,-5.91168,-0.33528,-1.02053,-1.53796,-0.925394,6.85
7abp,-6.14892,-1.99032,0.367924,-1.38489,-1.04913,6.46
1jn2,-3.52614,1.62446,-1.70862,-1.01858,-0.33089,4.09
1tnk,-4.67583,-8.38077,7.96625,-1.33707,-0.831726,1.49
1o2k,-1.42588,-8.06755,6.77294,3.06963,-1.10838,6.92
1hn2,-4.70851,-1.24546,1.38334,-1.49171,-1.26218,6
1rdl,-3.58214,-2.4475,0.552574,0.996174,-0.59088,2.24
1qi0,-5.40938,-2.69996,1.34904,-0.914044,-1.05191,2.35
1sgx,-6.10204,-18.8574,17.6816,-1.99721,-0.836476,5.8
1abf,-6.00182,-2.72807,1.04417,-1.18874,-1.03668,5.42
1mhw,-9.51727,-8.96254,8.75344,-5.38707,-1.82858,7.35
1m6p,-6.59827,-38.4107,34.8078,0.330527,-1.23339,5.1
1r0x,-12.5412,-63.8175,57.5319,-2.92359,-1.23954,3.83
1wvc,-5.88526,-99.7936,96.5438,1.40026,-1.94314,4.46
2toh,-1.90196,-8.046,8.48844,0.73741,-0.989286,4.15
2h6q,-10.6005,-16.1972,15.3605,-5.66689,-2.00435,5.11
1gi8,-0.526047,-13.093,11.0798,4.38356,-0.803846,5.05
1lor,-8.57425,-27.8555,24.9796,-2.00677,-1.59911,11.06
2fgi,-8.49309,-4.92749,4.74931,-3.67511,-2.54729,7.34
1tnl,-4.61716,-6.17047,5.65636,-1.11217,-0.898372,1.88
1w2g,-6.51255,-0.296953,0.127803,-2.97851,-1.27238,4.57
1bzh,-3.53411,-29.6979,29.1121,1.23473,-2.09054,6.77
1agm,-9.98972,-15.2203,13.0805,-3.92527,-1.83218,12
1f8a,-6.62391,-42.1651,39.7145,-0.44189,-1.63887,5
1icj,-6.62819,1.35402,-0.796962,-3.65061,-1.44213,2.22
1w7x,-10.187,-12.8459,12.1107,-5.22732,-2.13196,8.4
1vwl,-7.60738,-2.95296,2.82115,-4.06871,-1.31435,5.63
1g3b,-13.7124,-33.0321,24.251,-2.04481,-0.79392,5.74
1vjc,-9.85341,-47.1408,43.7445,-3.39678,-0.967817,3.58
1w0y,-8.32381,-15.5895,15.2501,-4.22665,-1.66523,6.42
1vjj,-5.85456,-42.1143,40.8142,-1.47847,-0.983469,5.77
1qpb,-2.96046,0.135491,0.192162,-0.75049,-0.445112,1.36
1gj4,-1.23023,-12.4074,9.83398,5.01654,-1.58084,4.07
1sqn,-8.80074,-1.49434,1.51146,-4.43847,-2.28688,9.4
830c,-13.436,-13.437,6.91289,-3.32801,-1.49133,9.28
1sts,-8.17713,-5.27031,4.78119,-4.43589,-1.15961,5
1sc8,-8.29543,-11.8013,10.7165,-3.61346,-1.50466,7.44
1jwt,-6.97827,-13.799,12.9126,-2.29398,-1.70541,7.85
1a42,-8.23929,-7.36418,4.73159,-2.23932,-1.27487,9.89
1pr1,-5.66643,-0.0838647,-0.907784,-1.50162,-1.08065,5.3
1we2,-1.55496,-13.2467,12.1369,2.73437,-1.08704,4.36
1tsl,-4.35893,0.184349,0.201527,-1.75723,-0.895068,6.15
1jd5,-10.3693,-25.3436,23.95,-4.82842,-2.0548,6.62
1af2,-9.73791,-6.91677,4.98835,-3.58754,-2.12943,3.1
2g00,-9.46841,-8.57283,8.45127,-5.47503,-1.7793,9.74
1ow4,-6.49482,-11.9805,11.5103,-2.64997,-1.28222,5.68
1vjd,-6.95204,-16.9614,15.8367,-1.93,-1.80482,3.54
1utc,-10.5499,-16.8336,15.8404,-5.23991,-2.22427,4.55
1wei,-3.61622,-0.74146,1.05189,-1.41462,-0.419507,9
1o3h,-6.22507,-8.57143,7.72013,-2.24918,-1.03207,7.3
1jqe,-7.83443,-14.3569,14.2992,-4.02137,-1.6629,6.44
1wkm,-4.88373,-18.8184,11.2654,5.83313,-1.07141,0.82
2i0g,-7.19508,-1.00555,0.492251,-3.03359,-1.55568,9.72
7hvp,-10.5174,-11.6497,11.021,-4.833,-2.96315,9.62
1uxa,-5.41693,-8.60949,7.92416,-1.93249,-0.706601,2.3
1udt,-8.44802,-4.05866,3.93517,-4.93753,-1.2945,9.3
1vot,-6.55761,-10.4965,10.295,-3.26112,-1.00246,6.6
1h9z,-6.41761,-9.75258,9.7786,-3.33788,-1.01323,5.42
1gz3,-8.53367,-23.1461,22.4568,-4.53431,-1.21749,3.7
6abp,-6.10793,-3.34715,1.79317,-1.54558,-0.915851,6.36
1rbo,-8.69569,-73.3147,70.2462,-2.33643,-1.19826,12.72
1gny,-6.88363,-3.30538,2.50908,-3.19326,-0.801553,4.14
1fj4,-6.62644,-9.046,8.59124,-2.60834,-1.47082,4.59
1ux7,-4.65053,-3.14941,1.9787,-0.840593,-0.546721,3
1p28,-3.66866,-0.835418,0.837918,-1.23998,-0.338663,5.42
1q63,-7.29817,-13.0537,11.6465,-2.68887,-1.10965,5.85
1a0q,-7.44092,-13.1923,12.9492,-3.37498,-1.73039,7.57
1w1d,-8.59069,-112.737,108.106,-0.978667,-0.888162,6.52
1sle,-6.96683,-1.51844,1.42028,-4.02068,-0.75549,6.17
1gjb,-4.74638,-4.72875,3.90166,-0.76206,-1.06472,6.35
1a7x,-11.8702,-0.814015,0.365995,-6.71916,-2.61046,9.7
1byk,-7.81061,-22.6964,19.2469,-0.313249,-1.95541,5
1ga8,-5.12756,-1.62494,1.24386,-1.94164,-0.712304,1.8
1f2o,-7.73248,-7.10208,3.2605,-1.16426,-0.63412,1.91
1oko,-4.45021,-2.91998,0.787667,0.6082,-0.833591,4.54
5fiv,-6.70161,-5.22612,4.64294,-3.04657,-0.979346,7.66
1jmi,-7.58156,-42.9097,41.221,-2.79808,-1.00236,6.06
2ivu,-8.67343,0.680478,-0.610934,-4.27702,-2.37395,6.43
2fzz,-9.82865,-9.53458,9.42788,-5.88555,-1.74388,10.52
1o9d,-9.8548,-45.2931,41.3573,-1.829,-1.99745,5.6
6fiv,-6.80857,-4.79638,4.17825,-2.98639,-1.11154,8.08
1ulg,-4.82377,-1.5387,0.908848,-1.56921,-0.532207,4.21
1cea,-4.31029,-18.156,17.5612,-0.842349,-0.780666,4.96
1caq,-12.8508,-17.5477,14.1488,-5.40364,-1.95587,7.72
1mj7,-8.1259,-9.44757,9.49773,-4.1121,-1.97145,8.35
1ce5,-5.37491,-7.78436,7.1052,-1.85301,-0.750235,4.74
1o3k,-6.81061,-10.3721,9.4459,-2.80809,-0.983806,6.77
1ofz,-5.11007,-2.73437,1.5873,-1.24237,-0.628125,4.62
2fwp,-5.74011,-25.1028,23.9843,-1.21067,-1.31845,2.92
1a1c,-8.01913,-24.7439,22.4334,-2.21544,-1.4007,6.4
2a31,-4.53687,-4.19353,4.37334,-2.02212,-0.60205,1.01
1tvo,-7.79776,-1.20323,1.0563,-3.97277,-1.58556,6.85
1zky,-7.92079,0.559812,-0.803459,-3.5581,-2.02636,6.25
1ykp,0.141095,-40.5879,34.6899,9.32803,-1.19646,2.96
1oai,-6.88433,-8.34403,8.04183,-2.98653,-1.50309,5
1fwu,-5.89024,-5.98098,5.10912,-2.20451,-0.721393,3.7
1q95,-10.6552,-88.8236,84.143,-1.94465,-1.93751,7.57
1gz9,-6.96541,1.15549,-2.24584,-2.60779,-1.17476,3.51
1aj6,-7.34326,-0.183322,0.110509,-4.00584,-1.1721,5.92
1w8m,-4.83126,-0.792121,0.659089,-1.96052,-0.645199,1.6
2hs2,-9.35037,-4.32405,3.95965,-4.68142,-2.21204,8.31
1uxb,-5.26245,-9.75718,8.81218,-1.5293,-0.695637,2.15
1h1h,-5.07622,-52.9359,51.1195,-0.881263,-0.286046,5.22
2ada,-7.99488,-8.93155,7.74234,-3.15503,-1.55813,13
1lrt,-7.06444,-12.6967,10.9295,-1.77287,-1.43178,5.64
1g3c,-13.2559,-36.5558,27.5146,-1.06048,-1.06171,5.8
1v2q,-6.16044,-7.54095,6.92328,-2.47683,-0.973432,4.13
2f5t,-9.86443,-4.38742,2.35172,-3.56433,-2.17188,5.17
1rek,-11.9573,-11.226,10.1823,-6.11193,-2.70914,6.7
3tlh,-5.21316,-1.07219,1.09517,-2.19254,-0.95109,8.82
1h1p,-6.4437,-1.93387,1.56074,-2.97856,-0.999504,4.92
1rdt,-8.22376,-11.1161,10.694,-2.82069,-2.88851,6.7
1z4n,-7.29844,-21.8188,19.9781,-2.10674,-1.25849,4.52
1o8b,-6.9797,-19.6586,17.1782,-1.54466,-0.86212,2.68
1pu7,-5.24588,-6.75177,6.49759,-1.92907,-0.970117,3.1
1c5z,-4.76787,-6.08816,5.09738,-1.04631,-0.638263,4.01
1z9g,-8.94475,-17.2408,13.1936,-1.65589,-1.14923,5.64
1owh,-6.94094,-15.7194,14.6334,-2.82936,-0.933106,7.4
1gpn,-7.16042,-5.01091,4.92706,-3.54416,-1.43989,6.48
1z95,-9.485,-1.21011,1.0129,-4.74766,-2.44762,4.3
2fvd,-8.45523,-11.1556,10.9538,-4.31614,-1.84484,8.52
1k1i,-8.10199,-16.1545,14.7722,-3.44906,-1.17809,6.58
1oyt,-8.51706,-11.118,10.1854,-4.01875,-1.4732,7.24
1y6r,-8.471,-4.55142,3.69669,-3.78616,-1.73759,10.11
1yc1,-8.28202,-6.31879,5.75436,-4.02443,-1.60065,6.17
1w4o,-6.54947,-37.1217,34.7013,-1.21937,-0.81719,5.22
1lpg,-9.33568,-11.9214,11.1747,-4.51778,-1.97868,7.09
1bzc,-7.66876,-32.9514,32.1536,-2.95596,-1.82245,4.92
1pxn,-6.88558,-3.15589,2.6393,-2.77232,-1.50416,7.15
1z6e,-9.24619,-13.0961,12.8723,-5.37346,-1.55643,9.72
1syi,-7.9706,-15.0368,12.8659,-2.0017,-1.70548,5.44
2j7h,-5.40267,-17.1675,15.2717,-0.497871,-0.916533,7.19
2br1,-7.03195,-3.16082,3.06661,-3.62433,-1.2209,5.14
1p1n,-7.3936,-10.9016,9.431,-2.64738,-1.18314,6.8
1uto,-4.75664,-2.88646,2.71508,-1.96513,-0.527622,2.27
1s38,-7.01238,-13.7395,12.4154,-2.55922,-1.03655,5.15
1nc3,-7.87208,-1.84422,0.661401,-2.83621,-1.76054,5
1qf1,-12.2283,-18.6307,13.7304,-3.42603,-1.80943,7.32
1ps3,-7.08773,-3.9437,1.49849,-1.07268,-1.47733,2.28
2cbv,-6.26425,-21.3984,19.0708,-0.587446,-1.2567,5.48
5tmn,-12.8752,-25.1154,20.7677,-4.67847,-1.75641,8.04
1r5y,-6.557,-15.4918,13.8434,-1.71902,-1.09704,6.46
2hb1,-5.87169,-16.4223,15.8555,-2.07698,-1.1354,3.8
1h22,-9.43511,-10.2804,9.95925,-5.03053,-1.99093,9.1
1ydr,-6.94473,-9.49064,9.18859,-3.02884,-1.52133,5.52
1q8u,-7.27774,-2.93259,2.72692,-3.46287,-1.51669,5.96
1xd0,-13.023,-13.851,10.5456,-4.79662,-2.82853,7.12
1b05,-11.5022,-27.4396,25.0154,-4.35462,-2.63088,7.12
2iuz,-8.01287,-5.55518,5.70481,-4.67716,-1.39283,5.55
1usn,-5.80193,-2.44402,2.05231,-2.57162,-0.746098,7.74
1odj,-7.31203,-6.73755,6.182,-3.21257,-1.4514,4.1
1szd,-9.89618,-3.9631,2.99627,-5.25733,-1.57952,4.54
1d4y,-9.56306,0.25371,-0.668564,-5.25434,-1.80136,11.1
1wm1,-5.22476,-10.1542,9.76553,-1.09598,-1.64756,6.3
2ans,-5.03272,-4.15123,4.27202,-2.24267,-0.818327,5.92
1yda,-3.92581,-6.3726,6.40233,-1.08896,-0.77406,6.55
1mfi,-3.87574,-12.7924,11.4644,0.81985,-1.27511,5.59
1nw5,-9.09267,-10.6797,9.09166,-3.35389,-2.05818,5.21
1o7o,-11.6701,-45.196,39.2171,-1.86912,-1.72958,4.49
1fl3,-5.40721,1.92287,-1.34834,-2.38518,-1.50404,6.8
1xk5,-5.81941,-28.5689,27.8666,-1.90029,-1.12428,6
1ax0,-5.49262,0.0209038,-0.727649,-1.83839,-0.854967,3.13
1yei,-8.49306,-13.3669,12.6111,-4.40613,-1.23858,7.46
1hmr,-7.22645,-12.2291,11.672,-3.27345,-1.30343,6.55
1uou,-5.90286,-3.07968,2.60972,-1.66419,-1.6762,7.7
1bcd,-5.49049,-12.277,10.7618,-1.16805,-0.714698,8.7
1apv,-9.7061,0.21671,-1.03121,-4.61517,-2.18392,9
1i9p,-5.16619,-9.65159,7.67912,0.192655,-1.29386,8.41
1fhd,-7.04374,-16.3911,14.3171,-1.46476,-1.41246,6.82
1d3p,-9.17766,-10.0937,9.79586,-5.27083,-1.51644,7.39
1sln,-11.8781,-21.7282,16.7082,-2.85001,-1.91556,6.64
1y3n,-7.64533,-17.0796,15.4898,-2.68472,-1.27838,5.55
1ta6,-9.77458,-5.2965,4.87726,-5.43732,-1.8255,9.13
1fch,-10.3518,-21.0724,19.8085,-5.1127,-1.88264,7.15
1dl7,-5.3679,-3.48292,3.39504,-2.20988,-0.977641,6.49
1h4w,-5.47368,-7.21827,6.41715,-1.97522,-0.604833,4.66
1a1e,-8.18202,-21.1201,19.3323,-2.90204,-1.39972,6
1b5j,-12.5202,-33.37,30.6753,-4.91928,-2.81367,7.43
2c1p,-6.9611,2.28247,-2.35654,-3.46645,-1.32808,5.4
1jmg,-5.09499,-30.1412,29.1907,-0.504635,-1.54734,6.07
2sim,-7.30232,-8.91821,7.34305,-2.76036,-0.874287,3.42
1bn1,-7.14184,-14.334,11.4784,-0.997514,-1.19612,9.34
1o3j,-3.95226,-9.54145,8.29124,0.387999,-0.99755,6.77
1tys,-9.42317,-43.5994,40.4787,-2.71949,-1.49051,5.49
1hpo,-8.85265,-4.0392,3.14402,-3.9859,-1.87907,9.22
2aoe,-13.1881,-14.7431,12.9085,-6.15481,-3.10614,7.62
1qb1,-4.73223,-8.00288,7.03127,-0.238129,-1.42999,6.77
1jmf,-6.09357,-38.3223,36.7408,-0.776073,-1.64356,5.77
2afx,-6.59179,-4.22609,1.94275,-1.60435,-0.61159,5.15
1ct8,-8.25722,-14.3471,13.2175,-3.48799,-1.54712,6.52
1wcq,-7.7341,-15.6467,13.1515,-1.90364,-1.24268,6.26
2gst,-10.1262,-23.7906,21.654,-3.70169,-2.19534,6.07
1oba,-3.80544,-0.0381405,-0.0126758,-1.38024,-0.281879,2.44
2bqv,-10.3977,-5.3131,5.55306,-6.37717,-2.16801,8.05
1hpv,-9.0064,-2.79879,2.9271,-5.05482,-1.98738,9.22
1d9i,-5.34176,-10.3893,10.1954,-1.19712,-1.85823,9.11
1sw1,-6.11336,-4.45517,3.66751,-2.2879,-0.945289,7.3
1nt1,-9.23495,-4.53776,4.28588,-5.06362,-1.82694,8.89
1oyq,-7.9394,-6.49523,5.53636,-3.58105,-1.30698,6.96
1c70,-12.0443,-9.98982,10.0681,-7.35414,-2.67597,10.3
1b3h,-11.9258,-31.0345,28.4664,-4.43877,-2.82644,6.21
1cnx,-5.4265,-7.5844,7.94197,-2.68157,-1.01,7.37
2dw7,-4.49626,-23.2583,21.2277,1.59386,-1.96706,4.7
1z1h,-9.76629,-5.86319,5.81692,-5.25672,-2.37078,8.4
1k1l,-7.12599,-16.1752,14.4196,-1.67852,-1.59935,6.9
1nf8,-7.53368,-22.7372,21.4127,-2.84288,-1.27379,7.82
1oif,-5.81689,-17.6115,15.7537,-0.917318,-0.949248,7.72
