name,affinitydG,hb,ion,mlig,hh_hp_aa,affinity
1o2s,-4.15539,3.36807,-0.4826,0,-1.44987,5.47
1gi9,-2.34067,1.37501,-0.40562,0,-1.02754,5.22
1axz,-3.99338,5.01456,0,0,-0.683766,3.2
1kll,-2.27596,0.669774,-0.411004,0,-1.4229,5.2
1yid,-7.93014,6.75198,-2.1776,0,-1.29623,5
2adu,-6.72949,4.46859,0.963571,1.77521,-2.96858,7.74
2dua,-1.47906,2.56677,0.235952,0,-0.0209433,4.77
2fkf,-3.08671,2.9753,-0.810888,0,-0.312118,2.92
1vj9,-7.00287,4.25531,-0.552753,0,-3.64161,7.55
1cim,-5.68317,4.84741,0.0556449,0.863592,-1.67593,8.82
1gzc,-4.14855,4.76425,0,0,-1.00415,3.49
1n1t,-2.76424,2.82419,-0.0411408,0,-0.859136,3.85
2ff1,-7.83891,7.20131,-0.915329,0,-2.17072,8.21
1qq9,-5.51411,4.20917,0.821051,2.06596,-1.49115,2.06
1obx,-3.57708,0.0839781,-0.342678,0,-3.17898,5.72
1ta2,-8.06988,1.68401,0,0,-6.95843,8.52
1me8,-3.65505,3.41879,-0.0358925,0,-1.36276,7.19
1xbb,-4.34577,0,0.180835,0,-4.5266,5.3
1qca,-10.2478,1.24646,-0.187501,0,-9.2376,5.27
1rgl,-3.27108,2.36604,-0.905682,0,-0.803809,4.43
2c3j,-3.3957,1.58672,0,0,-2.34846,6.18
1z3v,-4.15562,4.69971,0,0,-1.05381,4.11
1af6,-5.7958,7.68609,0,0,-0.722982,1.82
1vja,-5.67337,3.28774,-0.696699,0,-2.80677,7.7
2avv,-10.041,3.36847,-0.555632,0,-7.26219,9.26
1meu,-12.0821,5.9985,0,0,-8.12308,6.1
1cil,-4.91199,3.16409,0.0872203,0.765272,-2.14564,9.43
1xzx,-9.48225,1.6578,-0.599389,0,-7.78871,10.22
6tim,-2.5481,2.93205,-0.370998,0,-0.241948,3.21
2hh5,-7.19779,0.670143,-0.0493236,0,-6.70618,7.49
1rdi,-4.90989,7.04245,0,0,-0.261871,2.06
3pcb,-2.4909,1.25966,-0.128201,0,-1.53132,2.4
1w8l,-3.01654,0.31867,0,0,-2.80622,0.49
1qiw,-11.1672,0,-0.734668,0,-10.4326,7.74
1joc,-4.767,3.50533,-1.94461,0,-0.50887,4.62
1q66,-3.05173,0,-1.13395,0,-1.91778,5.77
1owd,-4.82835,2.65388,-0.799946,0,-2.27684,8.2
2bmz,-4.34721,5.49658,0,0,-0.719466,3.7
