name,TOTAL_SCORE,SCORE_RB_PEN,SCORE_NORM_HEVATOMS,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,SCORE_NORM_CRT_WEIGHT,SCORE_RB_PEN_NORM_CRT_HEVATOMS,SCORE_NORM_CONTACT,PLPtotal,PLPparthbond,PLPpartsteric,PLPpartmetal,PLPpartrepulsive,PLPpartburpolar,LIG_NUM_CLASH,LIG_NUM_CONTACT,LIG_NUM_NO_CONTACT,CHEMPLP_CLASH2,TRIPOS_TORS,affinity
1a08,-69.664,-31.664,-1.69912,-20.2029,-0.11560899999999999,-8.247760000000001,-9.1827,-2.11103,-61.9167,-13.8802,-50.2942,0.0,0.07690419999999999,-0.05,2,31,8,0.0,9.73576,5.62
1u2y,-36.1852,-32.1852,-2.78348,-15.3892,-0.18731,-6.259519999999999,-13.6881,-2.78348,-17.503,-4.70645,-10.5424,0.0,0.10054500000000001,0.0,0,13,0,0.0,0.743979,1.74
1b39,-70.2449,-54.2449,-2.2659599999999998,-22.3611,-0.13960799999999998,-8.83175,-17.2678,-2.2659599999999998,-56.2381,-12.9913,-36.6309,-12.0,3.73381,0.0,8,23,0,0.0,4.239730000000001,6.92
2i0d,-82.1672,-54.1672,-1.8259400000000001,-23.1008,-0.128843,-9.54595,-15.2288,-1.8259400000000001,-73.9631,-9.1007,-72.2975,0.0,0.399511,0.0,5,40,0,1.19712,8.160789999999999,12.1
2c02,-47.5734,-35.5734,-1.7619799999999999,-15.8578,-0.112152,-6.33157,-11.8578,-1.7619799999999999,-34.4453,-10.5998,-24.1131,0.0,0.461074,0.0,2,25,0,0.0,5.0464199999999995,4.04
1a1b,-65.2707,-27.2707,-1.6736099999999998,-19.247,-0.114798,-7.87873,-8.04157,-2.03971,-56.7344,-15.5843,-45.4728,0.0,0.174332,0.0,4,28,7,0.0,9.937669999999999,6.4
1n2v,-56.0687,-50.0687,-3.73791,-22.7347,-0.27057800000000004,-9.474969999999999,-20.3018,-3.73791,-39.0218,-5.51585,-33.2706,0.0,2.0466,0.0,2,13,0,0.0,2.0193,4.08
1xd1,-91.3176,-61.3176,-1.3836,-22.5964,-0.0940554,-9.22212,-15.173,-1.3836,-99.6152,-35.9113,-72.8758,0.0,1.9216400000000002,0.0,8,58,0,0.0,23.0748,7.92
1jq9,-59.2319,-19.2319,-1.26025,-16.4131,-0.0900479,-6.81075,-5.32913,-1.26025,-58.7273,-14,-73.9443,0,0.348997,0,8,39,0,0.0750961,15.9037,8.45
3pch,-48.7095,-46.7095,-4.87095,-22.609,-0.355259,-9.44621,-21.6806,-4.87095,-30.328000000000003,-2.8997,-30.4108,-4.0,0.0,-0.022878799999999998,5,5,0,0.0,0.00177426,5.4
2bzz,-59.7662,-27.7662,-1.04853,-15.5297,-0.0655804,-6.16446,-7.214810000000001,-1.06725,-53.1975,-12.6064,-40.1874,0.0,3.3510400000000002,-0.00172141,3,54,0,0.0,10.7918,6.43
1ha2,-78.6104,-70.6104,-3.41784,-27.6421,-0.255802,-11.649000000000001,-24.829,-3.41784,-62.3086,-2.0,-56.9325,0.0,0.07541,-0.05,0,23,0,0.0,2.5244,5.54
