name,TOTAL_SCORE,SCORE_RB_PEN,SCORE_NORM_HEVATOMS,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,SCORE_NORM_CRT_WEIGHT,SCORE_RB_PEN_NORM_CRT_HEVATOMS,SCORE_NORM_CONTACT,PLPparthbond,PLPpartSteric,PLPpartmetal,LIG_NUM_CLASH,LIG_NUM_CONTACT,LIG_NUM_NO_CONTACT,CHEMPLP_CLASH2,TRIPOS_TORS,affinity
1o2s,-113.59100000000001,-109.59100000000001,-5.97846,-42.5688,-0.444931,-17.9058,-41.0698,-5.97846,-12.6599,-82.1879,0.0,2,17,0,0.0,0.503328,5.47
1gi9,-104.713,-98.7133,-4.98635,-37.9544,-0.36699499999999996,-15.9058,-35.7796,-4.98635,-5.70726,-82.8691,0.0,3,18,0,0.945449,0.681871,5.22
1axz,-71.96600000000001,-69.96600000000001,-5.99716,-31.434,-0.399465,-12.7422,-30.5604,-5.99716,-12.0,-40.8628,0.0,0,12,0,0.0,0.07784719999999999,3.2
1kll,-70.9676,-64.9676,-3.08555,-24.9546,-0.220175,-10.3505,-22.8448,-3.08555,-4.0,-49.5257,0.0,1,22,0,0.0,0.651506,5.2
1yid,-93.19200000000001,-77.192,-3.00619,-29.6659,-0.18521500000000002,-11.7169,-24.5726,-3.00619,-19.1782,-52.4729,-10.0,7,24,0,0.0,6.730980000000001,5
2adu,-80.1601,-78.1601,-6.68,-35.0131,-0.5035430000000001,-14.7905,-34.1395,-6.68,-2.0,-47.2513,-12.0981,5,7,0,0.0,0.0112686,7.74
2dua,-55.2571,-53.2571,-9.20952,-30.4092,-0.627779,-12.4221,-29.3085,-9.20952,-12.1761,-15.4723,-10.0,3,3,0,0.0,0.347562,4.77
2fkf,-68.3845,-58.3845,-3.41923,-25.1931,-0.203477,-9.83581,-21.509,-3.5991800000000005,-21.4505,-29.6834,0.0,2,18,0,0.0,0.900028,2.92
1vj9,-158.563,-128.563,-3.9640800000000005,-46.3641,-0.27785,-19.1164,-37.5921,-3.9640800000000005,-21.8806,-128.632,0.0,6,34,0,0.0,9.20305,7.55
1cim,-71.7802,-69.7802,-4.22237,-27.9161,-0.242193,-10.7661,-27.1383,-4.22237,-11.8537,-42.2449,-2.27813,5,12,0,0.0,3.07904,8.82
1gzc,-80.4476,-72.4476,-3.4977199999999997,-28.2881,-0.23502399999999998,-11.5004,-25.475,-4.23409,-12.2146,-53.5024,0.0,1,18,4,0.0,3.66086,3.49
