name,covalent-B0,covalent-B1,covalent-B2,covalent-B3,covalent-B4,covalent-B5,vdw_clash-B0,vdw_clash-B1,vdw_clash-B2,vdw_clash-B3,vdw_clash-B4,vdw_clash-B5,vdw-B0,vdw-B1,vdw-B2,vdw-B3,vdw-B4,vdw-B5,proximal-B0,proximal-B1,proximal-B2,proximal-B3,proximal-B4,proximal-B5,hbond-B0,hbond-B1,hbond-B2,hbond-B3,hbond-B4,hbond-B5,weak_hbond-B0,weak_hbond-B1,weak_hbond-B2,weak_hbond-B3,weak_hbond-B4,weak_hbond-B5,xbond-B0,xbond-B1,xbond-B2,xbond-B3,xbond-B4,xbond-B5,ionic-B0,ionic-B1,ionic-B2,ionic-B3,ionic-B4,ionic-B5,metal_complex-B0,metal_complex-B1,metal_complex-B2,metal_complex-B3,metal_complex-B4,metal_complex-B5,aromatic-B0,aromatic-B1,aromatic-B2,aromatic-B3,aromatic-B4,aromatic-B5,hydrophobic-B0,hydrophobic-B1,hydrophobic-B2,hydrophobic-B3,hydrophobic-B4,hydrophobic-B5,carbonyl-B0,carbonyl-B1,carbonyl-B2,carbonyl-B3,carbonyl-B4,carbonyl-B5,affinity
1a08,0,0,0,0,0,0,8,0,0,4,4,0,35,0,0,0,35,0,236,0,0,0,30,206,6,0,0,2,4,0,4,0,0,0,4,0,0,0,0,0,0,0,7,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,8,12,0,0,0,0,0,0,5.62
1u2y,0,0,0,0,0,0,1,0,0,1,0,0,14,0,0,0,14,0,82,0,0,0,9,73,2,0,0,1,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74
1b39,0,0,0,0,0,0,20,0,0,10,10,0,45,0,0,0,45,0,268,0,0,0,37,231,6,0,0,4,2,0,7,0,0,0,7,0,0,0,0,0,0,0,4,0,0,2,2,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6.92
2i0d,0,0,0,0,0,0,9,0,0,5,4,0,51,0,0,0,51,0,332,0,0,0,35,297,4,0,0,2,2,0,16,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,16,21,1,0,0,1,0,0,12.1
2c02,0,0,0,0,0,0,6,0,0,3,3,0,28,0,0,0,28,0,163,0,0,0,23,140,6,0,0,1,5,0,2,0,0,0,2,0,0,0,0,0,0,0,7,0,0,2,5,0,0,0,0,0,0,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,4.04
1a1b,0,0,0,0,0,0,11,0,0,7,4,0,34,0,0,0,34,0,224,0,0,0,29,195,7,0,0,4,3,0,4,0,0,0,4,0,0,0,0,0,0,0,6,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,8,15,1,0,0,0,1,0,6.4
1n2v,0,0,0,0,0,0,4,0,0,3,1,0,26,0,0,0,26,0,169,0,0,0,22,147,4,0,0,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,8,0,0,0,8,0,10,0,0,0,4,6,1,0,0,0,1,0,4.08
1xd1,0,0,0,0,0,0,19,0,0,11,8,0,72,0,0,0,72,0,439,0,0,0,45,394,11,0,0,7,4,0,17,0,0,0,17,0,0,0,0,0,0,0,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,7.92
1jq9,0,0,0,0,0,0,44,0,0,19,25,0,59,0,0,0,59,0,357,0,0,0,38,319,9,0,0,6,3,0,25,0,0,10,15,0,0,0,0,0,0,0,15,0,0,4,11,0,0,0,0,0,0,0,1,0,0,0,1,0,27,0,0,0,7,20,1,0,0,0,1,0,8.45
3pch,0,0,0,0,0,0,8,0,1,4,3,0,31,0,0,0,30,1,132,0,0,0,11,121,1,0,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,18,0,0,0,7,11,0,0,0,0,0,0,5.4
2bzz,0,0,0,0,0,0,11,0,0,8,3,0,51,0,0,0,51,0,290,0,0,0,44,246,5,0,0,4,1,0,7,0,0,0,7,0,0,0,0,0,0,0,8,0,0,3,5,0,0,0,0,0,0,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,6.43
1ha2,0,0,0,0,0,0,2,0,0,1,1,0,25,0,0,0,25,0,197,0,0,0,15,182,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,44,0,0,0,19,25,0,0,0,0,0,0,5.54
1tyr,0,0,0,0,0,0,8,0,0,4,4,0,17,0,0,0,17,0,86,0,0,0,11,75,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,1,19,16,0,0,0,0,0,0,7
1re8,0,0,0,0,0,0,7,0,0,6,1,0,58,0,0,0,58,0,356,0,0,0,52,304,7,0,0,5,2,0,12,0,0,0,12,0,0,0,0,0,0,0,5,0,0,2,3,0,0,0,0,0,0,0,3,0,0,0,3,0,41,0,0,0,13,28,2,0,0,0,2,0,9.52
1l2s,0,0,0,0,0,0,10,0,0,6,4,0,26,0,0,0,26,0,168,0,0,0,20,148,4,0,0,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,1,0,19,0,0,0,2,17,0,0,0,0,0,0,4.59
2aou,0,0,0,0,0,0,8,0,0,1,7,0,55,0,0,0,55,0,273,0,0,0,23,250,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,35,0,70,0,0,0,27,43,0,0,0,0,0,0,7.73
1jqd,0,0,0,0,0,0,9,0,0,6,3,0,36,0,0,0,36,0,236,0,0,0,32,204,7,0,0,5,2,0,10,0,0,0,10,0,0,0,0,0,0,0,4,0,0,2,2,0,0,0,0,0,0,0,4,0,0,0,4,0,5,0,0,0,3,2,0,0,0,0,0,0,5.16
1apw,0,0,0,0,0,0,12,0,0,8,4,0,52,0,0,0,52,0,294,0,0,0,32,262,7,0,0,4,3,0,14,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,10,16,2,0,0,0,2,0,8
2b1v,0,0,0,0,0,0,3,0,0,2,1,0,15,0,0,0,15,0,159,0,0,0,18,141,2,0,0,1,1,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,34,0,0,0,12,22,0,0,0,0,0,0,5.74
