name,covalent-B0,covalent-B1,covalent-B2,covalent-B3,covalent-B4,covalent-B5,vdw_clash-B0,vdw_clash-B1,vdw_clash-B2,vdw_clash-B3,vdw_clash-B4,vdw_clash-B5,vdw-B0,vdw-B1,vdw-B2,vdw-B3,vdw-B4,vdw-B5,proximal-B0,proximal-B1,proximal-B2,proximal-B3,proximal-B4,proximal-B5,hbond-B0,hbond-B1,hbond-B2,hbond-B3,hbond-B4,hbond-B5,weak_hbond-B0,weak_hbond-B1,weak_hbond-B2,weak_hbond-B3,weak_hbond-B4,weak_hbond-B5,xbond-B0,xbond-B1,xbond-B2,xbond-B3,xbond-B4,xbond-B5,ionic-B0,ionic-B1,ionic-B2,ionic-B3,ionic-B4,ionic-B5,metal_complex-B0,metal_complex-B1,metal_complex-B2,metal_complex-B3,metal_complex-B4,metal_complex-B5,aromatic-B0,aromatic-B1,aromatic-B2,aromatic-B3,aromatic-B4,aromatic-B5,hydrophobic-B0,hydrophobic-B1,hydrophobic-B2,hydrophobic-B3,hydrophobic-B4,hydrophobic-B5,carbonyl-B0,carbonyl-B1,carbonyl-B2,carbonyl-B3,carbonyl-B4,carbonyl-B5,affinity
1o2s,0,0,0,0,0,0,9,0,0,7,2,0,23,0,0,0,23,0,207,0,0,0,32,175,5,0,0,3,2,0,2,0,0,0,2,0,0,0,0,0,0,0,15,0,0,3,12,0,0,0,0,0,0,0,1,0,0,0,1,0,5,0,0,0,4,1,0,0,0,0,0,0,5.47
1gi9,0,0,0,0,0,0,7,0,0,4,3,0,38,0,0,0,38,0,198,0,0,0,19,179,6,0,0,3,3,0,3,0,0,0,3,0,0,0,0,0,0,0,12,0,0,1,11,0,0,0,0,0,0,0,2,0,0,0,2,0,6,0,0,0,4,2,0,0,0,0,0,0,5.22
1axz,0,0,0,0,0,0,6,0,0,5,1,0,23,0,0,0,23,0,110,0,0,0,13,97,6,0,0,4,2,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2
1kll,0,0,0,0,0,0,2,0,0,2,0,0,31,0,0,0,31,0,120,0,0,0,14,106,2,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,23,0,0,0,23,0,3,0,0,0,2,1,0,0,0,0,0,0,5.2
1yid,0,0,0,0,0,0,20,0,0,10,10,0,29,0,0,0,29,0,226,0,0,0,21,205,5,0,0,0,5,0,4,0,0,3,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2adu,1,0,1,0,0,0,11,0,0,6,5,0,25,0,0,0,24,1,151,0,0,0,13,138,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,14,0,22,0,0,0,7,15,0,0,0,0,0,0,7.74
2dua,1,0,0,1,0,0,8,0,0,7,1,0,18,0,0,0,18,0,73,0,0,0,11,62,4,0,0,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,6,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.77
2fkf,0,0,0,0,0,0,9,0,0,6,3,0,14,0,0,0,14,0,108,0,0,0,25,83,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.92
1vj9,0,0,0,0,0,0,12,0,0,6,6,0,40,0,0,0,40,0,358,0,0,0,41,317,9,0,0,4,5,0,8,0,0,0,8,0,0,0,0,0,0,0,9,0,0,2,7,0,0,0,0,0,0,0,3,0,0,0,3,0,8,0,0,0,3,5,0,0,0,0,0,0,7.55
1cim,1,0,1,0,0,0,10,0,0,4,6,0,28,0,0,0,28,0,150,0,0,0,12,138,3,0,0,1,2,0,7,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,21,0,0,0,6,15,0,0,0,0,0,0,8.82
