Name,"gauss(o=0,_w=0.3,_c=8)","gauss(o=0.5,_w=0.3,_c=8)","gauss(o=1,_w=0.3,_c=8)","gauss(o=1.5,_w=0.3,_c=8)","gauss(o=2,_w=0.3,_c=8)","gauss(o=2.5,_w=0.3,_c=8)","gauss(o=0,_w=0.5,_c=8)","gauss(o=1,_w=0.5,_c=8)","gauss(o=2,_w=0.5,_c=8)","gauss(o=0,_w=0.7,_c=8)","gauss(o=1,_w=0.7,_c=8)","gauss(o=2,_w=0.7,_c=8)","gauss(o=0,_w=0.9,_c=8)","gauss(o=1,_w=0.9,_c=8)","gauss(o=2,_w=0.9,_c=8)","gauss(o=3,_w=0.9,_c=8)","gauss(o=0,_w=1.5,_c=8)","gauss(o=1,_w=1.5,_c=8)","gauss(o=2,_w=1.5,_c=8)","gauss(o=3,_w=1.5,_c=8)","gauss(o=4,_w=1.5,_c=8)","gauss(o=0,_w=2,_c=8)","gauss(o=1,_w=2,_c=8)","gauss(o=2,_w=2,_c=8)","gauss(o=3,_w=2,_c=8)","gauss(o=4,_w=2,_c=8)","gauss(o=0,_w=3,_c=8)","gauss(o=1,_w=3,_c=8)","gauss(o=2,_w=3,_c=8)","gauss(o=3,_w=3,_c=8)","gauss(o=4,_w=3,_c=8)","repulsion(o=0.4,_c=8)","repulsion(o=0.2,_c=8)","repulsion(o=0,_c=8)","repulsion(o=-0.2,_c=8)","repulsion(o=-0.4,_c=8)","repulsion(o=-0.6,_c=8)","repulsion(o=-0.8,_c=8)","repulsion(o=-1,_c=8)","hydrophobic(g=0.5,_b=1.5,_c=8)","hydrophobic(g=0.5,_b=1,_c=8)","hydrophobic(g=0.5,_b=2,_c=8)","hydrophobic(g=0.5,_b=3,_c=8)","non_hydrophobic(g=0.5,_b=1.5,_c=8)","vdw(i=4,_j=8,_s=0,_^=100,_c=8)","vdw(i=6,_j=12,_s=1,_^=100,_c=8)","non_dir_h_bond(g=-0.7,_b=0,_c=8)","non_dir_h_bond(g=-0.7,_b=0.2,_c=8)","non_dir_h_bond(g=-0.7,_b=0.5,_c=8)","non_dir_h_bond(g=-1,_b=0,_c=8)","non_dir_h_bond(g=-1,_b=0.2,_c=8)","non_dir_h_bond(g=-1,_b=0.5,_c=8)","non_dir_h_bond(g=-1.3,_b=0,_c=8)","non_dir_h_bond(g=-1.3,_b=0.2,_c=8)","non_dir_h_bond(g=-1.3,_b=0.5,_c=8)","non_dir_anti_h_bond_quadratic(o=0,_c=8)","non_dir_anti_h_bond_quadratic(o=0.5,_c=8)","non_dir_anti_h_bond_quadratic(o=1,_c=8)","donor_donor_quadratic(o=0,_c=8)","donor_donor_quadratic(o=0.5,_c=8)","donor_donor_quadratic(o=1,_c=8)","acceptor_acceptor_quadratic(o=0,_c=8)","acceptor_acceptor_quadratic(o=0.5,_c=8)","acceptor_acceptor_quadratic(o=1,_c=8)","non_dir_h_bond_lj(o=-0.7,_^=100,_c=8)","non_dir_h_bond_lj(o=-1,_^=100,_c=8)","non_dir_h_bond_lj(o=-1.3,_^=100,_c=8)","ad4_solvation(d-sigma=3.6,_s/q=0.01097,_c=8)","ad4_solvation(d-sigma=3.6,_s/q=0,_c=8)","electrostatic(i=1,_^=100,_c=8)","electrostatic(i=2,_^=100,_c=8)",num_tors_div,num_tors_div_simple,num_heavy_atoms_div,num_heavy_atoms,num_tors_add,num_tors_sqr,num_tors_sqrt,num_hydrophobic_atoms,ligand_length,num_ligands,affinity
1o2s,47.48397,83.25429,97.36500,130.63673,159.58867,166.84272,78.97517,169.58853,257.38299,110.85852,241.00984,357.91530,145.10548,309.98106,459.45097,589.54301,268.60315,510.51341,742.21879,848.37918,663.94923,393.74385,671.68611,913.67274,981.72588,793.34929,653.50290,917.57596,1103.33979,1131.21745,981.95438,17.86045,9.43138,4.95275,2.48967,1.13289,0.43926,0.14845,0.03244,8.06594,5.64339,10.81087,17.34573,99.63794,-376.33045,-477.32697,7.05038,7.70585,8.74963,5.45201,6.21001,7.34420,4.33239,5.08808,6.22022,0.00000,0.00119,0.55438,2.79818,7.03824,14.23842,2.33061,6.53373,13.68157,9.97517,-25.25471,-13.62218,23.75590,-48.23827,-0.32400,-0.06010,0.00000,0.00000,0.00000,0.95000,2.00000,0.08000,0.06325,0.45000,2.00000,1.00000,5.47
1gi9,51.46458,82.21663,106.45458,126.44257,147.62364,183.85609,80.56877,178.02560,250.06747,113.24538,246.04066,355.49062,148.77347,312.85987,461.32261,608.75605,273.08235,515.55752,754.10690,874.87151,695.47599,399.44771,681.57933,932.71782,1012.20788,827.21358,665.74132,937.35698,1131.76643,1166.28088,1018.14830,19.32761,10.16442,5.38268,2.95894,1.56545,0.74601,0.26948,0.07964,7.90560,5.58314,10.34696,16.71719,104.34527,-367.95672,-484.54554,4.78429,5.42833,6.42793,4.25811,4.82883,5.74842,3.49256,4.05121,4.94713,0.00000,0.01245,0.82588,3.32784,7.63532,14.96744,1.75508,4.58629,9.57422,80.57639,-12.23756,-13.73946,25.55897,-49.37753,-0.10600,-0.00546,0.00000,0.00000,0.00000,1.05000,3.00000,0.18000,0.07746,0.40000,4.00000,1.00000,5.22
1axz,27.96336,40.18859,51.67037,81.63961,97.51016,106.96659,44.57003,92.71092,160.52143,61.37893,133.73457,223.35226,80.00993,174.78794,286.43366,387.09880,152.47256,300.73948,464.08690,555.58055,451.33482,230.20862,405.84795,574.69331,640.10823,533.20212,397.99963,570.18087,700.09791,732.45343,647.90974,12.47346,6.22263,2.68918,0.99009,0.23116,0.01233,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,50.00447,-234.34956,-278.38846,5.00923,5.73857,6.55393,3.50646,4.30393,5.24314,2.69728,3.44314,4.36928,0.00000,0.00000,0.00000,1.10484,4.50868,10.43005,0.91547,3.13657,7.56477,-33.89532,-17.24257,-6.25388,21.17226,-37.24228,0.70316,0.15609,0.00000,0.00000,0.00000,0.60000,1.00000,0.02000,0.04472,0.00000,1.00000,1.00000,3.2
1kll,36.25173,44.47578,55.87852,59.21056,83.43180,98.55085,55.67984,90.51933,136.46381,73.58413,126.45888,190.81975,92.02360,163.82829,247.95475,365.04767,156.28906,280.66034,422.67011,532.30278,461.17210,225.20957,381.35072,538.07392,616.43871,533.77321,382.33034,544.94338,671.64625,710.37468,638.00197,12.02593,5.42712,2.03129,0.65001,0.24265,0.07004,0.00418,0.00000,3.96125,3.21216,5.18825,8.33986,67.81363,-235.75520,-271.96687,1.80511,1.84842,2.23891,1.42822,1.52352,1.90089,1.09863,1.21882,1.58408,0.00000,0.00000,0.00000,0.74761,1.93476,4.20258,0.00000,0.00441,0.66797,-11.69627,-8.20904,-3.37973,18.65965,-29.94814,0.59369,0.09712,0.00000,0.00000,0.00000,1.15000,3.00000,0.18000,0.07746,0.20000,3.00000,1.00000,5.2
1yid,38.19393,77.35305,119.89592,141.99123,210.59506,241.51557,68.01330,193.74703,339.81900,103.26225,269.60516,469.52832,142.70117,349.16672,603.22758,869.56536,291.86002,610.50174,995.60072,1260.45871,1077.90508,457.06950,842.93202,1248.25222,1449.47579,1252.01511,831.19476,1222.42650,1539.24953,1648.40186,1489.14154,27.00769,15.60282,8.39658,4.12736,1.76017,0.59592,0.13097,0.01293,0.00000,0.00000,0.00000,0.00000,164.54804,-457.61874,-562.94561,7.27724,8.58936,9.94202,5.39398,6.69195,8.15356,4.14922,5.35356,6.79463,0.16102,2.00204,7.12466,0.06480,0.56937,1.90714,2.20202,9.14947,22.93649,-52.08246,-28.70477,-10.67936,69.60018,-74.34118,2.70035,0.51749,0.00000,0.00000,0.00000,1.55000,8.00000,1.28000,0.12649,0.00000,14.00000,1.00000,5
2adu,33.91766,67.05191,77.52343,90.67495,109.16634,135.81317,60.24844,129.52798,183.50224,86.21041,180.26816,259.00110,112.81658,229.78159,335.15756,451.98710,203.54299,378.94797,553.88166,653.81349,530.10067,295.80630,502.54429,690.09206,756.67327,625.63119,493.26355,695.51439,842.42187,871.95982,765.00988,12.90117,6.37709,2.78536,1.03274,0.27810,0.06882,0.00389,0.00000,31.97997,23.73074,42.91180,67.02585,49.60968,-304.16957,-360.58394,0.51480,0.73591,1.12562,0.36036,0.55193,0.90050,0.27720,0.44154,0.75041,1.83471,7.67806,20.30815,0.25869,1.30174,3.34688,1.57602,6.37633,16.96127,-6.78407,-2.84722,-0.97871,10.39779,-32.13919,0.28930,0.08507,0.00000,0.00000,0.00000,0.60000,1.00000,0.02000,0.04472,0.35000,1.00000,1.00000,7.74
2dua,19.54312,25.79350,30.76892,42.71438,54.05496,62.24030,32.18749,52.19280,89.52145,43.50507,75.77221,124.40553,54.90656,99.90915,159.65662,223.47970,95.92421,174.26437,264.94077,330.40312,286.92611,139.82596,237.30332,335.46332,383.84168,332.82952,238.35313,339.50327,418.52119,442.95402,398.31992,11.41606,6.05112,2.80097,1.07868,0.33259,0.05694,0.00081,0.00000,0.00000,0.00000,0.00000,0.00000,53.16284,-138.02054,-166.78350,4.64590,5.16903,5.64742,3.38061,3.98384,4.60359,2.60047,3.18708,3.83632,0.32756,1.71897,4.64387,0.00000,0.00000,0.00000,1.08994,4.08550,9.61456,-28.01361,-15.92958,-6.03808,29.95580,-23.17037,2.18477,0.45398,0.00000,0.00000,0.00000,0.30000,1.00000,0.02000,0.04472,0.00000,1.00000,1.00000,4.77
2fkf,24.96417,39.81051,45.19118,56.94119,83.58131,109.12299,44.39913,76.23838,137.89958,61.34015,110.34630,197.72826,78.06239,146.36844,263.97116,477.08128,139.54956,273.56103,478.31849,681.21865,627.28205,215.08575,398.61095,624.17187,777.00558,708.63748,408.07092,613.43562,794.99108,877.83818,816.01445,14.36695,7.73233,3.67083,1.38492,0.36806,0.05770,0.00069,0.00000,0.00000,0.00000,0.00000,0.00000,90.46476,-234.01626,-263.37897,8.46623,9.60621,11.57490,6.05270,7.30994,9.34415,4.65592,5.84795,7.78679,0.00000,0.00000,0.09782,0.33892,1.54301,3.85165,1.48468,4.77325,11.67367,-61.03842,-30.64333,-11.05510,42.36117,-42.12746,1.90089,0.41877,0.00000,0.00000,0.00000,1.00000,5.00000,0.50000,0.10000,0.00000,6.00000,1.00000,2.92
1vj9,63.67265,125.17788,203.17054,222.46747,285.31799,317.55628,112.79541,318.52367,468.34034,168.24947,434.14432,646.51452,230.51530,549.86054,825.34319,1056.80820,453.65428,898.57376,1331.00867,1548.39283,1250.32622,678.75484,1186.60745,1643.63668,1796.72644,1481.12225,1151.38248,1638.06576,1993.67521,2067.60300,1814.93054,25.50857,12.83318,5.86125,2.19848,0.61292,0.11057,0.00478,0.00000,14.08292,8.85385,20.22660,37.64844,144.11712,-691.90481,-832.76144,8.58897,9.86383,11.23697,6.23374,7.58242,9.13722,4.79519,6.06594,7.61435,0.04785,1.08391,4.37699,0.40451,2.40148,7.37841,1.59279,5.32226,12.46140,-57.21525,-31.12385,-11.69756,39.18931,-91.19926,-0.17820,-0.04546,0.00000,0.00000,0.00000,2.00000,15.00000,4.50000,0.17321,0.90000,12.00000,1.00000,7.55
1cim,32.41985,57.65895,83.53678,103.32269,123.63530,141.17942,56.77238,136.70221,204.93775,82.28814,189.72160,289.24210,109.85150,242.46793,377.26223,553.91902,209.10606,409.46543,637.22091,797.57076,674.70733,314.48007,557.31206,802.38626,917.78520,784.00056,550.88684,796.72625,989.42677,1047.92067,938.05816,15.48364,7.74637,3.28548,1.03700,0.17848,0.01108,0.00000,0.00000,11.91002,10.00723,14.47747,19.98726,65.08016,-333.05287,-387.93387,5.89589,6.71653,7.60536,4.13240,5.04180,6.08781,3.17877,4.03344,5.07318,0.00000,0.03151,0.46408,1.24416,4.94135,11.85740,0.49742,1.62722,3.85509,-39.25904,-19.35847,-7.11957,6.30690,-48.58724,0.16693,0.03898,0.00000,0.00000,0.00000,0.85000,1.00000,0.02000,0.04472,0.20000,1.00000,1.00000,8.82
