name,vina_affinity,vina_gauss1,vina_gauss2,vina_repulsion,vina_hydrophobic,HB,rbond,affinity
1a08,-5.17202,85.72556,1251.32694,3.48581,32.67920,5.44945,19,5.62
1u2y,-4.00068,27.96343,679.53539,0.60858,0.00000,1.61576,6,1.74
1b39,-6.56287,100.05791,1796.55347,7.89965,0.00000,6.87705,11,6.92
2i0d,-8.41223,113.99362,2213.77124,5.08843,52.27174,4.27141,15,12.1
2c02,-6.09909,63.04491,1166.74185,3.19663,0.00000,5.13828,8,4.04
1a1b,-4.66475,85.06438,1159.93515,5.58783,30.13717,7.62792,19,6.4
1n2v,-5.80040,63.85331,909.97212,2.61809,15.01064,2.61054,3,4.08
1xd1,-7.78122,146.79480,2773.44257,10.53816,4.69447,13.79900,34,7.92
1jq9,-1.48682,146.61442,2121.38317,21.85489,41.89848,7.03487,24,8.45
3pch,-3.53475,48.84443,725.89169,5.13783,29.33457,2.80851,2,5.4
2bzz,-7.20663,118.59577,2069.46762,5.20713,0.00000,7.99432,22,6.43
1ha2,-8.60980,63.31054,1240.85169,1.16739,69.55461,0.87332,4,5.54
1tyr,0.08141,37.34113,661.08806,7.87641,50.21308,0.00000,8,7
1re8,-12.25150,143.01707,2076.26085,4.53028,58.92635,6.68571,9,9.52
1l2s,-6.38770,65.66396,963.13012,4.29639,13.38948,6.33232,4,4.59
2aou,-8.42052,117.58069,1456.75363,3.95283,86.05541,0.39957,7,7.73
1jqd,-6.74580,88.61091,1478.46009,4.80860,2.10584,5.92553,11,5.16
1apw,-7.84544,111.50979,1600.32231,4.68958,40.63019,8.16553,15,8
2b1v,-7.73525,49.02072,1221.70413,2.30125,51.53631,2.00000,4,5.74
1bra,-4.73241,54.90230,610.79329,2.27154,6.60867,3.16951,3,1.82
2hdq,-3.99800,44.67206,472.72932,2.31022,15.45669,2.73324,1,1.4
1gni,-6.17972,64.64537,1193.28791,0.90469,104.97165,0.38256,15,8.07
2aov,-7.65269,50.86129,1082.35405,2.09107,49.58632,2.00000,3,7.04
2flb,-7.06657,102.74051,1257.46416,6.17987,7.03394,5.66612,5,5.74
2f01,-8.52827,90.69442,1172.03684,3.63864,31.88815,6.29042,5,13
7cpa,-8.38539,117.31759,2000.06304,6.59402,53.22999,8.39651,15,13.96
1xgj,-5.10494,77.04442,1002.21538,6.09806,5.46612,6.41690,6,6
2er9,-7.86440,155.84787,2661.52900,7.80617,63.11103,7.94886,26,7.4
2fai,-8.01532,50.29281,1252.51617,1.95326,46.32269,2.02196,4,6.24
1slg,-6.42748,99.31277,1993.96207,2.95113,44.09687,4.68046,26,3.9
1is0,-5.32787,95.85925,1392.16032,6.18838,33.46087,7.97009,19,7
