name,total,qq_pl,desolv_pl,vdw_pl,hbond_pl,qq_l,desolv_l,vdw_l,DrugScore,HMscore,PLP_tor,affinity
1n2v,-9.469,0.162,6.142,-6.848,-1.325,0.000,0.071,-0.186,-10.929,1.988,5.000,4.08
2qmj,-17.924,-5.060,12.125,-11.778,-4.913,-2.981,3.657,-3.197,85.200,1.212,45.400,4.21
1qi0,-9.752,-2.396,6.458,-6.431,-3.781,-1.469,1.495,-1.125,41.414,0.168,32.000,2.35
1lor,-17.361,-6.437,13.725,-10.489,-6.700,-0.351,1.434,-1.077,42.014,-0.000,13.200,11.06
2jdy,-3.774,0.619,5.633,-5.488,-2.246,-0.220,0.415,-0.334,34.643,-0.000,15.300,4.37
1h23,-25.735,-2.152,6.375,-15.841,-1.294,0.107,0.353,-1.625,-28.086,6.390,32.300,8.35
1bcu,-7.937,-0.791,6.333,-7.439,-0.962,0.461,0.238,-0.071,-7.243,-0.000,0.000,3.28
3myg,-14.473,0.224,8.975,-11.017,-1.178,-0.924,1.198,-1.265,6.500,3.567,8.200,10.7
3coy,-20.206,-1.647,14.700,-15.127,-4.834,-2.012,2.367,-1.979,23.100,1.056,20.100,6.02
3g2z,-7.431,-1.588,3.800,-4.074,-1.846,-0.465,0.264,-0.175,-0.871,0.217,1.500,2.36
2yge,-10.756,-0.438,8.300,-11.161,-1.009,-0.916,0.747,0.262,30.100,1.419,10.500,5.06
2cet,-16.052,-3.949,8.342,-11.103,-4.414,0.084,0.831,-0.979,41.329,2.107,17.500,8.02
2ymd,-19.359,-3.431,5.800,-8.793,-3.104,-0.046,0.392,-0.300,-50.700,2.567,7.900,3.16
3f3a,-16.711,-1.978,5.975,-8.861,-2.448,-0.916,0.394,-0.504,-20.557,2.447,7.500,4.19
3nw9,-19.443,-1.139,14.142,-18.212,-3.867,-0.537,1.505,-1.346,52.100,2.149,9.900,9
2iwx,-7.703,-0.062,5.150,-8.546,-0.584,-0.185,0.134,-0.024,32.771,1.740,1.400,6.68
1vso,-14.305,-3.613,6.175,-7.820,-3.987,-1.519,1.079,-1.231,20.571,-0.000,22.200,4.72
4de2,-13.698,-2.106,7.408,-9.678,-2.673,-0.281,0.484,-0.659,-4.143,-0.000,4.200,4.12
1mq6,-17.849,-0.788,10.258,-17.115,-0.895,-0.004,1.398,-2.130,28.557,2.624,4.400,11.15
3gy4,-7.713,-1.635,8.600,-6.664,-2.126,0.467,0.519,-0.173,3.371,-0.000,0.000,5.1
3b68,-20.776,-0.738,7.308,-15.519,-1.342,-0.547,0.899,-0.736,7.571,5.421,10.800,8.4
3fcq,-2.831,2.672,4.217,-6.415,-0.609,0.210,0.360,-0.451,14.586,0.267,2.200,2.77
4gid,-32.117,-3.025,14.242,-23.159,-3.306,-0.893,2.565,-3.073,-27.743,2.509,22.700,10.77
3ebp,-16.062,-0.283,4.700,-10.253,-0.008,-0.451,0.896,-1.196,-42.171,2.867,5.800,5.91
3u9q,-11.201,-0.433,2.000,-6.540,-0.808,0.000,0.020,-0.270,-2.043,4.511,13.700,4.38
3e93,-23.269,-1.187,6.025,-16.029,-2.167,-0.336,0.499,-1.306,5.914,5.547,1.000,8.85
3k5v,-11.651,0.054,6.450,-9.442,-0.018,-0.665,1.255,-0.829,27.200,5.754,3.100,6.3
2wbg,-16.619,-3.780,7.925,-10.846,-2.760,-0.087,0.411,-0.410,26.443,3.598,29.500,4.45
1z95,-18.523,-0.709,6.775,-13.229,-1.028,-0.491,1.111,-1.499,21.714,6.498,8.100,7.12
2fvd,-13.511,-0.963,10.242,-11.872,-1.815,-0.187,1.748,-1.136,17.671,2.547,1.000,8.52
3pxf,-9.210,-1.211,1.633,-5.264,-0.614,0.743,0.773,-0.981,10.686,5.016,1.500,4.43
3cyx,-28.450,-1.505,11.525,-18.459,-2.268,-1.228,3.335,-4.723,-20.243,5.502,20.900,8
3gnw,-19.035,-1.039,8.417,-13.969,-2.102,0.148,1.324,-3.006,8.243,3.864,7.200,9.1
3f3c,-18.351,-2.462,5.800,-8.922,-3.169,-0.993,0.325,-0.210,-48.629,0.632,7.600,6.02
1oyt,-17.157,-2.137,9.708,-12.643,-2.238,0.433,0.923,-1.403,-5.771,2.220,0.300,7.24
3n86,-28.868,-1.751,10.783,-14.214,-4.504,-0.524,0.819,-0.522,-144.986,-0.000,10.500,5.64
3uex,-15.234,0.180,-0.550,-7.082,-0.145,0.000,-0.076,-0.356,-12.086,9.062,32.500,6.92
2brb,-10.578,-0.229,7.333,-9.443,-0.418,-0.403,1.221,-1.516,23.286,3.034,4.100,4.86
3kgp,-7.044,-1.319,5.217,-5.970,-0.549,-0.244,0.311,-0.158,1.514,-0.000,3.200,2.57
3ivg,-13.705,-0.648,8.992,-13.709,-0.949,-0.366,1.077,-0.932,22.086,1.307,3.600,4.3
3dxg,-6.630,-0.520,6.425,-5.755,-0.999,-1.150,1.311,-1.124,14.143,0.084,14.500,2.4
2y5h,-10.841,-0.490,6.275,-12.856,-0.406,-0.106,0.535,-1.295,44.014,0.595,10.300,5.79
3g0w,-14.917,-0.630,5.075,-11.726,-0.696,0.358,0.366,-0.749,25.771,5.917,5.700,9.52
1yc1,-11.641,-1.519,8.083,-10.696,-1.538,0.219,1.038,-1.754,28.214,1.373,2.900,6.17
