name,proximity_2_A_HD,proximity_2_C_HD,proximity_2_C_OA,proximity_2_C_SA,proximity_2_FE_HD,proximity_2_HD_HD,proximity_2_HD_MG,proximity_2_HD_N,proximity_2_HD_NA,proximity_2_HD_OA,proximity_2_HD_ZN,proximity_2_MG_OA,proximity_2_NA_ZN,proximity_2_OA_ZN,proximity_4_A_A,proximity_4_A_BR,proximity_4_A_C,proximity_4_A_CL,proximity_4_A_F,proximity_4_A_FE,proximity_4_A_HD,proximity_4_A_I,proximity_4_A_N,proximity_4_A_NA,proximity_4_A_OA,proximity_4_A_P,proximity_4_A_S,proximity_4_A_SA,proximity_4_A_ZN,proximity_4_BR_C,proximity_4_BR_HD,proximity_4_BR_N,proximity_4_BR_OA,proximity_4_C_C,proximity_4_C_CL,proximity_4_C_F,proximity_4_C_FE,proximity_4_C_HD,proximity_4_C_I,proximity_4_CL_HD,proximity_4_CL_N,proximity_4_CL_OA,proximity_4_CL_SA,proximity_4_C_MG,proximity_4_C_MN,proximity_4_C_N,proximity_4_C_NA,proximity_4_C_OA,proximity_4_C_P,proximity_4_C_S,proximity_4_C_SA,proximity_4_C_ZN,proximity_4_FE_HD,proximity_4_FE_N,proximity_4_FE_OA,proximity_4_F_HD,proximity_4_F_N,proximity_4_F_OA,proximity_4_F_SA,proximity_4_HD_HD,proximity_4_HD_I,proximity_4_HD_MG,proximity_4_HD_MN,proximity_4_HD_N,proximity_4_HD_NA,proximity_4_HD_OA,proximity_4_HD_P,proximity_4_HD_S,proximity_4_HD_SA,proximity_4_HD_ZN,proximity_4_I_N,proximity_4_I_OA,proximity_4_MG_NA,proximity_4_MG_OA,proximity_4_MG_P,proximity_4_MN_N,proximity_4_MN_OA,proximity_4_MN_P,proximity_4_NA_OA,proximity_4_NA_SA,proximity_4_NA_ZN,proximity_4_N_N,proximity_4_N_NA,proximity_4_N_OA,proximity_4_N_P,proximity_4_N_S,proximity_4_N_SA,proximity_4_N_ZN,proximity_4_OA_OA,proximity_4_OA_P,proximity_4_OA_S,proximity_4_OA_SA,proximity_4_OA_ZN,proximity_4_P_ZN,proximity_4_SA_SA,proximity_4_SA_ZN,proximity_4_S_ZN,charge_A_A,charge_A_BR,charge_A_C,charge_A_CL,charge_A_F,charge_A_FE,charge_A_HD,charge_A_I,charge_A_N,charge_A_NA,charge_A_OA,charge_A_P,charge_A_S,charge_A_SA,charge_A_ZN,charge_BR_C,charge_BR_HD,charge_BR_N,charge_BR_OA,charge_C_C,charge_C_CL,charge_C_F,charge_C_FE,charge_C_HD,charge_C_I,charge_CL_HD,charge_CL_N,charge_CL_OA,charge_CL_SA,charge_C_MG,charge_C_MN,charge_C_N,charge_C_NA,charge_C_OA,charge_C_P,charge_C_S,charge_C_SA,charge_C_ZN,charge_FE_HD,charge_FE_N,charge_FE_OA,charge_F_HD,charge_F_N,charge_F_OA,charge_F_SA,charge_HD_HD,charge_HD_I,charge_HD_MG,charge_HD_MN,charge_HD_N,charge_HD_NA,charge_HD_OA,charge_HD_P,charge_HD_S,charge_HD_SA,charge_HD_ZN,charge_I_N,charge_I_OA,charge_MG_NA,charge_MG_OA,charge_MG_P,charge_MN_N,charge_MN_OA,charge_MN_P,charge_NA_OA,charge_NA_SA,charge_NA_ZN,charge_N_N,charge_N_NA,charge_N_OA,charge_N_P,charge_N_S,charge_N_SA,charge_N_ZN,charge_OA_OA,charge_OA_P,charge_OA_S,charge_OA_SA,charge_OA_ZN,charge_P_ZN,charge_SA_SA,charge_SA_ZN,charge_S_ZN,lig_A,lig_BR,lig_C,lig_CL,lig_F,lig_HD,lig_I,lig_N,lig_NA,lig_OA,lig_P,lig_S,lig_SA,entropy_count,affinity
1n2v,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,10,0,0,0,7,0,4,2,1,0,0,2,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,4,3,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,4,0,0,0,0,1,0,0,1,0,0,0,0,0,-0.0009259570460870006,0,0.02037639476023451,0,0,0,0.0649876931408124,0,-0.05373065640190751,-0.0026942270487651807,-0.05377317051833056,0,0,-0.013438880858925693,0,0,0,0,0,0.009506158624852244,0,0,0,0.012297747410749576,0,0,0,0,0,0,0,-0.026049884929373275,-0.009631575981948953,-0.07950826377409469,0,0,0,0,0,0,0,0,0,0,0,0.037296033747221624,0,0,0,-0.013777564457821825,-0.021682559171062786,-0.22747974015816647,0,0,0,0,0,0,0,0,0,0,0,0,0.057006086326086614,0,0,0,0.012304006191581979,0.16535036221714586,0,0,0,0,0.026573737435878195,0,0,0.01299774560608033,0,0,0,0,0,5,0,4,0,0,2,0,2,2,2,0,0,0,3,4.08
2qmj,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,9,0,0,0,13,0,0,0,12,0,0,0,0,0,0,0,0,2,0,0,0,35,0,0,0,0,0,0,0,4,0,36,0,0,1,0,0,0,0,0,0,0,0,19,0,0,0,10,0,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,16,0,0,1,0,0,0,0,0,0,0,0.0035862854963926677,0,0,0,0.03227183303338932,0,0,0,-0.036998575688208975,0,0,0,0,0,0,0,0,0.016525293814207618,0,0,0,0.3568092212632659,0,0,0,0,0,0,0,-0.0484320178682486,0,-0.8717055596041255,0,0,-0.010450212783247268,0,0,0,0,0,0,0,0,0.255863710398231,0,0,0,-0.17275367777479697,0,-1.355992323808961,0,0,-0.009151294337938043,0,0,0,0,0,0,0,0,0,0,0,0,0.0035292257137419917,0,0.242572498415977,0,0,0,0,1.2209111036013165,0,0,0.019051918819635465,0,0,0,0,0,0,0,25,0,0,15,0,1,0,18,0,0,0,22,4.21
1qi0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,13,0,0,0,12,0,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,28,0,0,0,0,0,0,0,8,0,12,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,6,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0.009124589002524894,0,0,0,0.03320186516329446,0,0,0,-0.07695039160885989,0,0,0,0,0,0,0,0,0.00051493410986609,0,0,0,0.3725925069695972,0,0,0,0,0,0,0,-0.10847287071309719,0,-0.2575353147457593,0,0,0,0,0,0,0,0,0,0,0,0.2319399605773435,0,0,0,-0.11362737371220998,0,-1.0830520348451722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2539858329804757,0,0,0,0,0.4769727860528069,0,0,0,0,0,0,0,0,0,0,12,0,0,8,0,0,0,11,0,0,0,12,2.35
1lor,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,8,0,0,0,5,0,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,24,0,0,0,0,0,0,0,10,0,39,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,8,0,32,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0.03541251172129618,0,0,0,0.09060314238289162,0,-0.06075198588120783,0,-0.06512345882515977,0,0,0,0,0,0,0,0,0.0019754034211064263,0,0,0,0.2672490164509419,0,0,0,0,0,0,0,-0.0575395525803719,0,-0.9167416643924812,0.02421496984316171,0,0,0,0,0,0,0,0,0,0,0.17817535075030028,0,0,0,-0.10833766317053178,0,-1.5147267810164926,0.11995502435698688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023768548624090145,0,0.6696423596380643,-0.12860320062320982,0,0,0,0.5547927929430658,0,0,0,0,0,0,0,0,4,0,5,0,0,3,0,2,0,10,1,0,0,6,11.06
2jdy,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,24,0,0,0,0,0,0,0,2,0,27,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03676142627673162,0,0,0,0.28669316842966414,0,0,0,0,0,0,0,-0.04982005904530795,0,-0.6889292678733366,0,0,0,0,0,0,0,0,0,0,0,0.0648699705794198,0,0,0,-0.08026212456590713,0,-0.8163395573139084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1193239128734121,0,0,0,0,1.282522817767622,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,6,0,0,0,6,4.37
1h23,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,38,0,0,0,10,0,8,0,8,0,0,0,0,0,0,0,0,3,0,0,0,14,0,0,0,0,0,0,0,4,0,17,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,4.59983236324605e-05,0,0.06284219897161057,0,0,0,0.07095254462180528,0,-0.08699605435486114,0,-0.04809527587341775,0,0,0,0,0,0,0,0,0.0030657753490053933,0,0,0,0.07344815619603877,0,0,0,0,0,0,0,-0.05456085154928514,0,-0.13488560115991052,0,0,0,0,0,0,0,0,0,0,0,0.05747955934217133,0,0,0,-0.12044409038949716,0,-0.20518538862250044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03153664412890237,0,0.1520723304486276,0,0,0,0,0.036308665173639204,0,0,0,0,0,0,0,0,10,0,20,0,0,6,0,4,0,2,0,0,0,15,8.35
1bcu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,6,0,5,0,10,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0217434628488656,0,0,0,0.008023210870083331,0,-0.015905187461609682,0,-0.032565856758664836,0,0,-0.001414945838020691,0,0,0,0,0,0,0,0,0,0.06657735579125329,0,0,0,0,0,0,0,-0.04913640275608823,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03088824050827988,0,0,0,-0.06536919262962149,0,-0.19364548202587512,0,0,-0.005626494438472366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3134487400711274,0,0,0.009714854237679059,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,5,0,3,0,0,0,0,0,1,3.28
3myg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,19,0,0,0,9,0,7,1,8,0,0,0,0,0,0,0,0,5,0,0,0,19,0,0,0,0,0,0,0,11,10,5,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,7,5,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0015805087225325529,0,0.0227298166411345,0,0,0,0.03904824771238106,0,-0.044422842934942995,-0.0006064705094881452,-0.08142478971177228,0,0,0,0,0,0,0,0,0.01960788322043839,0,0,0,0.13617608147729027,0,0,0,0,0,0,0,-0.07356831369118902,-0.06441377814328997,-0.039511417171454385,0,0,0.001723525597520493,0,0,0,0,0,0,0,0,0.06766045540800028,0,0,0,-0.08977347439945998,-0.06739866651203683,-0.12081963744127239,0,0,0.0015724392690523706,0,0,0,0,0,0,0,0,0,0.06140239258876683,0,0,0,0.04229718987086302,0.08566439055568739,0,0,-0.0017088902222887868,0,0,0,0,0,0,0,0,0,0,12,0,8,0,0,4,0,4,4,1,0,0,1,9,10.7
3coy,0,0,0,0,0,2,0,0,1,5,0,0,0,0,0,0,12,0,0,0,6,0,2,1,9,0,0,0,0,0,0,0,0,10,0,0,0,42,0,0,0,0,0,0,0,15,13,24,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,16,3,23,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,11,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0.06236675875876525,0,0,0,0.03948981819413323,0,-0.0369068020790548,-0.01423111264187858,-0.09508838852255641,0,0,0,0,0,0,0,0,0.03211251302630145,0,0,0,0.3492156897869642,0,0,0,0,0,0,0,-0.18478747352704755,-0.07593361877314693,-0.29497345571796924,0,0,0,0,0,0,0,0,0,0,0,0.23167359658828804,0,0,0,-0.3271905749450371,-0.04496218044316177,-0.5773764358650404,0,0.04192521321124038,0,0,0,0,0,0,0,0,0,0,0.04992936033544845,0,0,0.07927577231861589,0.05797189605621074,0.3376276594254908,0,-0.07027194580757981,0,0,0.1766647032008054,0,0,0,0,0,0,0,0,5,0,11,0,0,7,0,3,4,7,0,1,0,11,6.02
3g2z,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,4,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,19,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.1395336871220086e-05,0,0,0,0.18845623075419238,0,-0.06592800852840451,0,-0.1614708387935767,0,0,0,0,0,0,0,0,0.0007531298575497194,0,0,0,0.020000779736787943,0,0,0,0,0,0,0,0,0.027413807596246013,-0.012279865290319106,0,0,0,0,0,0,0,0,0,0,0,0.03654377877313951,0,0,0,-0.0315311163534768,0.04932140704680711,-0.07752734825364868,0,0,0,0,0,0,0,0,0,0,0,0,-0.038024071819172015,0,0,0,-0.013761929073490798,0.018525296977345666,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,2,0,1,4,1,0,0,0,3,2.36
