name,cyscore,cyscore_hydrophobic,cyscore_Vdw,cyscore_HBond,cyscore_Ent,affinity
3q5u,-3.4635,91.000,43.257,9.536,6,4.31
1o2s,-2.6863,128.610,24.661,5.071,2,5.47
3bze,-9.4793,579.390,72.501,7.000,6,6
1axz,-1.7735,88.854,15.751,-0.000,1,3.2
2dua,-0.6948,42.415,4.893,3.393,0,4.77
1gzc,-1.9794,103.622,20.026,-0.000,6,3.49
1obx,-2.0884,108.793,21.599,-0.000,6,5.72
1z3v,-1.8583,4.378,30.062,-0.000,6,4.11
2avv,-6.9297,400.268,57.113,0.286,6,9.26
4e81,-3.9317,123.634,46.503,1.143,6,5.24
3lqj,-4.6375,218.427,45.471,1.036,6,5.37
2rfy,-1.5332,-26.768,29.054,-0.000,6,5.22
2wk2,-5.0395,206.793,52.688,0.821,6,6.82
2v86,-6.0215,343.341,50.632,2.357,6,4.46
3eks,-4.3547,220.341,40.580,-0.000,6,5.7
3nkx,-4.8309,278.622,40.658,12.429,6,5.12
4fbx,-2.8406,153.500,24.143,-0.000,2,7.66
220l,-2.0955,156.634,11.755,-0.000,0,3.4
3lqi,-5.4791,300.378,47.958,0.357,6,5.16
3dnj,-3.7415,210.049,33.490,0.786,6,6.82
1eix,-3.1483,198.024,25.223,12.857,6,11.06
3f9y,-6.6590,305.976,64.046,8.857,6,4.49
1ugw,-2.0849,104.207,18.441,-0.000,1,3.09
3m6p,-4.4062,276.512,35.258,-0.000,6,8.35
1z3t,-2.1579,51.707,28.781,-0.000,6,3.94
4e0w,-2.7960,169.195,22.397,11.143,4,7.48
1b6m,-6.6344,394.207,53.101,11.393,6,8.4
3bzi,-4.3333,169.659,46.832,1.714,6,5.74
3dcs,-3.1225,162.220,26.584,-0.000,1,7.94
2v7d,-2.3351,80.024,28.162,10.607,6,6.59
2yim,-6.9585,317.354,67.025,9.107,6,3.92
2wp1,-2.8297,141.390,28.436,0.786,6,3.6
1ws5,-1.9338,97.134,18.307,-0.000,3,3.03
4auy,-1.8157,69.000,22.377,-0.000,6,7.74
3iqj,-3.9779,196.902,38.401,2.714,6,4.93
4e3h,-1.4972,66.378,13.810,-0.000,0,7.05
3lzv,-6.5611,401.183,51.665,0.179,6,10.59
4e49,-1.5844,75.780,13.955,-0.000,0,5.11
1z1r,-6.4145,356.695,54.835,-0.000,6,9.22
1db1,-6.8801,509.976,42.149,-0.000,4,9.26
2wcg,-2.4617,140.780,18.891,1.357,0,6.38
1c2t,-4.5844,283.549,36.901,2.571,6,6.59
2y7k,-2.6463,178.744,17.110,-0.000,0,4.93
3kyg,-1.0776,2.524,18.796,4.286,6,7.46
2er6,-6.2014,263.085,62.600,6.679,6,7.22
3d1e,-4.5633,255.732,40.004,-0.000,6,5.77
1dqx,-2.4426,96.073,27.423,5.214,6,11.05
4b9w,-4.7461,233.683,44.752,12.821,6,4.17
1urg,-3.1714,163.561,30.177,-0.000,6,5.82
2ieo,-5.3673,307.049,45.555,0.071,6,8.49
3tg5,-6.2306,230.159,66.767,10.857,6,4.7
3ebb,-2.1901,134.415,20.029,-0.000,6,5.3
4av0,-2.3596,138.220,22.032,-0.000,6,6.98
3iqg,-2.2780,77.244,28.096,-0.000,6,4.6
2e7l,-11.3199,570.037,100.448,3.107,6,7.54
2rk7,-0.5521,24.354,5.336,9.357,1,4.05
3lil,-5.3847,228.195,55.181,-0.000,6,8.08
3omg,0.7872,79.841,-16.657,0.500,6,4.72
2jdn,-1.3620,51.024,15.500,-0.000,3,5.56
3lik,-5.4893,249.085,54.213,-0.000,6,8.72
1apw,-4.2762,189.256,43.743,-0.000,6,8
1ze8,-2.9875,165.768,26.009,0.571,4,7.68
3uvx,-3.7148,185.049,36.091,0.393,6,4.34
2h6q,-4.4878,204.439,44.761,6.036,6,5.11
2qt5,-2.7874,150.890,26.486,5.929,6,5.03
3eys,-5.1166,258.232,47.345,9.393,6,5.52
3lk1,-0.8958,43.329,7.833,-0.000,0,4.26
1icj,-3.6307,193.195,33.920,-0.000,6,2.22
3ds9,-5.1356,194.256,55.165,10.786,6,7.39
1i8i,-5.6193,285.780,51.635,2.571,6,7.66
1g3b,-2.3533,74.207,27.722,-0.000,4,5.74
2nn8,-1.4277,65.549,16.554,-0.000,6,3.59
2qo8,-3.0046,193.963,24.690,1.571,6,8.47
223l,-1.9642,126.902,13.386,-0.000,0,3.4
3d3x,-2.8775,123.756,30.857,9.857,6,4.16
2cia,-4.9969,213.146,50.926,10.393,6,6.43
1sts,-2.9028,53.951,39.919,-0.000,6,5
3ifo,-5.7515,339.012,46.507,20.179,6,7.26
3oys,-3.0751,176.732,25.988,0.286,4,8.05
2j9n,-2.3905,118.073,20.184,10.536,0,4.7
3d20,-6.5207,392.110,52.042,3.071,6,8.3
3o6m,-5.4298,271.646,50.043,15.464,6,7.48
1utc,-4.9393,253.341,45.275,11.393,6,4.55
1wei,-0.8914,21.646,10.293,1.321,0,9
3tei,-2.0795,65.049,26.701,-0.821,6,6.3
2z8e,-1.4042,37.561,16.975,3.179,2,8
3pb3,-3.4953,188.415,32.272,6.214,6,6.22
1udt,-4.4422,232.549,41.004,-0.000,6,9.3
1gz3,-3.5774,144.415,38.733,5.214,6,3.7
