name,dockingscore,gscore,evdw,ecoul,lipo,hbond,metal,rewards,erotb,esite,emodel,energy,eff_state_penalty,einternal,ligand_efficiency,ligand_efficiency_ln,ligand_efficiency_sa,affinity
1n2v,-8.08348035753215,-8.08348035753215,-23.4963836669922,-11.4967279434204,-1.51382419839449,-0.598441503183422,-0,-3.24130063636364,0.269414355272059,-0.1,0,-34.9931116104126,0,0,-0.538898690502144,-2.1799813700282,-1.32903845615756,4.08
2qmj,-5.67807498554795,-5.67807498554795,-9.56204795837402,-42.7497138977051,-0.575745252605901,-0.336137359609063,-0,-0.398074609817174,0.215551849008373,-0.105567214605485,0,-52.3117618560791,0,0,-0.129047158762453,-1.1868415384901,-0.455581421540917,4.21
1qi0,-5.00131209656737,-5.00131209656737,-0.583458602428436,-26.5753059387207,-0.125514638870089,-0.00405821835466044,-0,-1.28659331850458,0.453114749765845,-0.0227918496743498,0,-27.1587645411491,0,0,-0.217448352024668,-1.20936261434081,-0.618394187499769,2.35
1lor,-10.8956333000758,-10.8956333000758,-17.9245185852051,-52.3852272033691,-1.14919515376779,-1.7958964577228,-0,-3.3550600312273,0.349072857160162,-0.0483285852578152,0,-70.3097457885742,0,0,-0.495256059094354,-2.66329020641954,-1.38772695489793,11.06
2jdy,-6.03143685945747,-6.03143685945747,13.8287181854248,-33.838306427002,0,-0.26922872377932,-0.782660993956264,-2.08511959090909,0.428883472394887,-0.014746932478925,-48.7191019599079,-20.0095882415771,0,2.89534115791321,-0.463956681496729,-1.69187168026202,-1.09091743787035,4.37
1h23,-13.5523646719375,-13.5523646719375,-48.1300392150879,-23.2753105163574,-5.45423102641015,-0.625213837791549,-0,-2.64964207102682,1.07452080149901,0,0,-71.4053497314453,0,0,-0.376454574220487,-2.95675982883632,-1.24302561510485,8.35
1bcu,-7.19078385115686,-7.19078385115686,-29.3921318054199,-6.38165092468262,-2.5881564642334,-0.108285772131064,-0,-1.97553763636364,0,-0.0919497494553792,0,-35.7737827301025,0,0,-0.449423990697304,-1.9060608989171,-1.13247749136795,3.28
3myg,-7.43002365996638,-7.43002365996638,-40.6549949645996,-6.51017284393311,-2.42437989183022,-0.515173501669057,-0,-2.00227373093394,0.532250948997882,-0.011171809711095,0,-47.1651678085327,0,0,-0.247667455332213,-1.68818233213625,-0.769560367002651,10.7
3coy,-11.5870347940882,-11.5870347940882,-46.3695373535156,-22.512056350708,-2.33123576278276,-1.26105639164466,-0,-2.88109837422461,0.667138032903618,-0.0854969780578498,0,-68.8815937042236,0,0,-0.37377531593833,-2.61323144603744,-1.17417054448612,6.02
3g2z,-2.83664303182798,-2.83664303182798,0.229574173688889,-6.69746828079224,-0.407878849482422,0,-0,-2.19428645454546,0.9886576499177,-0.229993844283417,0,-6.46789410710335,0,0,-0.218203310140614,-0.795703598394971,-0.513069011670451,2.36
2yge,-6.39492996390514,-6.39492996390514,-40.7972450256348,-8.78686714172363,-1.96810470481214,-0.456,-0,-0.560658058293161,0.0661489583923203,-0.11842383665188,0,-49.5841121673584,0,0,-0.159873249097629,-1.36385036691322,-0.546758820275684,5.06
2cet,-7.58758459592842,-7.58758459592842,-17.3131351470947,-37.1689491271973,-1.05560183516712,-0.373561432537145,-0,-1.70398312083352,0.554241009892136,-0.143022459928037,0,-54.482084274292,0,0,-0.344890208905837,-1.85468243911764,-0.966395929116385,8.02
2ymd,-11.8312394948953,-11.8312394948953,-20.857442855835,-22.8658027648926,-2.93118067235138,-0.842852299734355,-0,-4.08313789139725,0.498673926113303,0,0,-43.7232456207275,0,0,-0.910095345761178,-3.31876790062451,-2.13993875379186,3.16
3f3a,-7.06570496151325,-7.06570496151325,-21.3999309539795,-13.0658588409424,-1.98697738181497,-0.144594568703175,-0,-2.20938538150265,0.394331653755414,-0.0892039094075301,0,-34.4657897949219,0,0,-0.471046997434216,-1.90550412705119,-1.16170179160073,4.19
2xys,-11.4092502796322,-11.4092502796322,-38.2008857727051,-8.70762538909912,-4.17120967915622,0,-0,-3.9838172582043,0,-0.038035245271586,0,-46.9085111618042,0,0,-0.456370011185289,-2.70433422391346,-1.3344340064624,7.42
3nw9,-8.02035741580694,-8.02035741580694,-20.5130443572998,-15.17369556427,-2.60206008889921,-0.562166385550753,-0,-1.79281998444383,0.370400203716321,-0.132004608123976,0,-35.6867399215698,0,0,-0.211062037258077,-1.72942499385933,-0.70958537771015,9
2iwx,-6.46296763558357,-6.46296763558357,-35.7321624755859,-5.35988426208496,-2.34298732470862,0,-0,-1.5293895477829,0,0,0,-41.0920467376709,0,0,-0.269290318149315,-1.54688472145543,-0.776767690454721,6.68
1vso,-7.70064333515275,-7.70064333515275,-16.5124111175537,-21.6362686157227,-0.6168276617758,-1.17274633441873,-0,-2.19192145454545,0.630184812740881,-0.27827184891757,0,-38.1486797332764,0,0,-0.366697301673941,-1.9039685040015,-1.01169004997525,4.72
4de2,-5.1767628212021,-5.1767628212021,-23.0569076538086,-9.70687961578369,-1.58061596588234,-0.449838866960456,-0,-1.21115168181818,0.899708162921001,-0.225987144404137,0,-32.7637872695923,0,0,-0.215698450883421,-1.23903688928081,-0.622181995546065,4.12
4tmn,-7.74539156530542,-7.74539156530542,-25.5867671966553,-18.4521255493164,-2.98941130562271,-1.07642725987573,-0,-0.225,0.913437389864685,-0.320833197441441,0,-44.0388927459717,0,0,-0.215149765702928,-1.68983518325209,-0.710408873119205,10.17
1mq6,-10.7662818025118,-10.7662818025118,-58.3092727661133,-9.02941131591797,-4.96944529150703,-0.281195925336308,-0,-1.71283191538479,0.487940544146873,-0.0208738787371802,0,-67.3386840820312,0,0,-0.299063383403105,-2.34891181798809,-0.987485533625777,11.15
3gy4,-8.5116403205179,-8.5116403205179,-20.8393096923828,-12.0949220657349,-1.75908550175037,-0.627651309664798,-0,-3.23,0,-0.0386997146233603,0,-32.9342317581177,0,0,-0.85116403205179,-2.57726601460598,-1.83377731615231,5.1
3b68,-11.4805963768075,-11.4805963768075,-47.3321380615234,-11.335298538208,-5.09035203454148,-0.182952620114572,-0,-2.75816563560606,0.717775597262031,-0.1,0,-58.6674365997314,0,0,-0.370341818606692,-2.58922632099488,-1.16338462241082,8.4
3fcq,-7.37651564805779,-7.37651564805779,-20.2424068450928,-8.28562927246094,-0.668536359418238,-0.312966719389091,-2.3,-2.09198140909091,0.432597769957231,-0.180664196993006,0,-28.5280361175537,0,0,-0.526893974861271,-2.02704024144563,-1.26988943643533,2.77
4gid,-15.0930353235015,-15.0930353235015,-70.23681640625,-28.5669593811035,-5.57354817422921,-1.52297774182328,-0,-0.694894538081418,0.558772211363391,-0.348546260418523,0,-98.8037757873535,0,0,-0.321128411138331,-3.11187134143713,-1.1588965837022,10.77
3ebp,-6.67989811495294,-6.67989811495294,-35.5349197387695,-3.8751757144928,-3.78143792300681,0,-0,-0.782328147035528,0.241890299201793,0,0,-39.4100954532623,0,0,-0.238567789819748,-1.54191661526219,-0.724432318806745,5.91
3u9q,-5.00980519653117,-5.00980519653117,-20.8783531188965,-12.5485124588013,-2.60425018326846,-0.599923970686224,-0,-3.30957692392192,4.43014040611045,0,0,-33.4268655776978,0,0,-0.417483766377598,-1.43757227954325,-0.955799226022797,4.38
3e93,-12.0383768826153,-12.0383768826153,-50.2216339111328,-12.6936531066895,-6.26358036132644,-0.456,-0,-1.35632200124757,0.494326105510196,-0.0416709639913971,0,-62.9152870178223,0,0,-0.32536153736798,-2.61084172624353,-1.08417682319775,8.85
3k5v,-7.28488852226714,-7.28488852226714,-42.0680313110352,-1.49426174163818,-3.07670087959586,0,-0,-2.43262079363202,0.551973977758225,0,0,-43.5622930526733,0,0,-0.269810686009894,-1.69580194721011,-0.80943205714043,6.3
2wbg,-6.22491974494495,-6.22491974494495,0.141602873802185,-37.7995338439941,-1.47272049883627,0,-0,-1.45915653436181,0.776699836000314,-0.0768226914372972,0,-37.657930970192,0,0,-0.282950897497498,-1.52159744512916,-0.79283954261533,4.45
1z95,-11.4759556716287,-11.4759556716287,-47.2491798400879,-10.796103477478,-4.65868332791355,-0.197347438228649,-0,-3.17472019090909,0.536669799048706,0,0,-58.0452833175659,0,0,-0.395722609366506,-2.62770284367574,-1.21578522969639,7.12
2fvd,-9.75782814143977,-9.75782814143977,-40.6484107971191,-14.1351842880249,-2.57256510259447,-0.536286438364032,-0,-2.74075642328468,0.409996736210045,-0.165518730346936,0,-54.783595085144,0,0,-0.325260938047992,-2.21708487378828,-1.01066135847395,8.52
3pxf,-6.5763286843583,-6.5763286843583,-22.4766082763672,-9.02183818817139,-2.28842379571528,-0.2,-0,-1.99997240909091,0.412322795855975,-0.0231491333640235,0,-31.4984464645386,0,0,-0.313158508778967,-1.62598397848424,-0.863980580032948,4.43
3cyx,-10.8745116981653,-10.8745116981653,-64.7738494873047,-13.2687854766846,-4.3889512466356,-0.769546667815837,-0,-0.809595551993813,0.404566203405046,-0.0819741392571373,0,-78.0426349639893,0,0,-0.221928810166638,-2.22299901375472,-0.81210536120786,8
3gnw,-11.0126337359426,-11.0126337359426,-53.6092834472656,-19.7448635101318,-4.40359037841306,-0.600423951100186,-0,-0.515390886730962,0.208419987391028,-0.0594548082063303,0,-73.3541469573975,0,0,-0.250287130362331,-2.30188069006855,-0.883600752913622,9.1
3f3c,-7.9005178380679,-7.9005178380679,-16.9546794891357,-17.9318351745605,-1.79504923929972,-0.32,-0,-2.57083135586274,0.472309849440705,-0.149437841705282,0,-34.8865146636963,0,0,-0.607732141389839,-2.21616551762002,-1.42898166367099,6.02
1oyt,-10.3991954699029,-10.3991954699029,-39.1512908935547,-16.0234661102295,-3.50548649366394,-0.704736960355494,-0,-1.98177448025085,0.353886925579533,-0.2,0,-55.1747570037842,0,0,-0.346639848996764,-2.36281051907187,-1.07709060544055,7.24
3n86,-10.182595639394,-10.182595639394,-23.7881126403809,-21.4653949737549,-3.63326198227732,-0.941906597407008,-0,-1.67510986363636,0.509526347363538,-0.0326286653546052,0,-45.2535076141357,0,0,-0.442721549538871,-2.46224395627797,-1.25904119468641,5.64
3uex,-1.44670002921103,-1.44670002921103,-26.5977458953857,0.504265606403351,-4.12396108503939,0,-0,-2.37634568181818,6.31084456571841,-0.00299037426308102,0,-26.0934802889824,0,0,-0.0723350014605513,-0.36206130195111,-0.196347402064871,6.92
2brb,-6.16421011966399,-6.16421011966399,-36.3106994628906,-4.96556377410889,-2.38462425538843,-0.141842398352518,-0,-1.93436811217973,0.856994185517548,0,0,-41.2762632369995,0,0,-0.24656840478656,-1.46110252483114,-0.720970388505179,4.86
3kgp,-5.8708932642164,-5.8708932642164,-12.6538753509521,-5.89135217666626,-1.9726035711398,0,-0,-2.38189309902905,0,0,0,-18.5452275276184,0,0,-0.533717569474218,-1.72780288763325,-1.18697724754896,2.57
3ivg,-9.60781950592584,-9.60781950592584,-43.0359992980957,-13.5558176040649,-4.42188578903424,-0.434052769164144,-0,-0.868919847675562,0.461692421715939,-0.159480916253312,0,-56.5918169021606,0,0,-0.331304120893995,-2.1999470335756,-1.01787122389919,4.3
3dxg,-4.57340224340216,-4.57340224340216,-18.9707279205322,-7.36275243759155,-0.169340138801377,-0.554862879573205,-0,-2.49543820010803,0.712666992489741,-0.0134787557439466,0,-26.3334803581238,0,0,-0.217781059209627,-1.13076446325179,-0.600841428801569,2.4
2y5h,-9.90943731706277,-9.90943731706277,-47.9216270446777,-9.54242134094238,-4.22732903669907,-0.156257006249037,-0,-2.16465662058571,0.466249899846294,0,0,-57.4640483856201,0,0,-0.319659268292347,-2.2348818027799,-1.00417143962173,5.79
