name,affinitydG,hb,ion,mlig,hh_hp_aa,affinity
1n2v,-1.3693,0,0,0,-1.3693,4.08
2qmj,-8.67207,7.68304,-0.899457,0,-2.70181,4.21
1qi0,-5.96423,8.03574,0,0,-0.660644,2.35
1lor,-4.99559,4.89263,-0.178062,0,-1.58839,11.06
2jdy,-5.70603,8.0691,0,0,-0.380423,4.37
1h23,-10.9951,2.52737,-0.101372,0,-9.22569,8.35
1bcu,-1.97105,0,-0.249134,0,-1.72192,3.28
3myg,-4.16004,0.867826,0.256047,0,-3.84332,10.7
3coy,-6.80785,4.24643,0.33044,0,-4.33564,6.02
3g2z,-1.99693,2.33666,-0.114691,0,-0.340046,2.36
2yge,-4.92567,1.36027,0,0,-4.0279,5.06
2cet,-11.2673,8.52145,-0.641389,0,-5.00176,8.02
2ymd,-6.49528,3.40884,-0.0369909,0,-4.20846,3.16
3f3a,-4.00654,1.45405,0.271807,0,-3.31868,4.19
2xys,-8.34018,0,-0.00592399,0,-8.33425,7.42
3nw9,-11.8684,7.47135,0,0,-6.93728,9
2iwx,-4.18175,0.995266,0.18622,0,-3.7111,6.68
1vso,-4.55408,2.33322,-0.373444,0,-2.64071,4.72
4de2,-3.74646,2.3767,-0.47858,0,-1.69925,4.12
4tmn,-9.63044,4.22173,-0.189214,1.47658,-5.1783,10.17
1mq6,-6.97402,0.882501,0,0,-6.39157,11.15
3gy4,-2.78334,1.29315,-0.643141,0,-1.28672,5.1
3b68,-10.7615,1.68001,-0.032364,0,-9.62036,8.4
3fcq,-5.63144,3.26461,0.29064,1.33307,-2.43437,2.77
4gid,-9.06082,0.87766,-0.646069,0,-7.83549,10.77
3ebp,-5.86672,0,-0.127017,0,-5.7397,5.91
3u9q,-5.66686,2.16564,-0.207327,0,-4.03021,4.38
3e93,-10.3113,0.563891,-0.0401344,0,-9.89895,8.85
3k5v,-6.15571,0,0,0,-6.15571,6.3
2wbg,-10.4791,7.56226,-1.12516,0,-4.36287,4.45
1z95,-9.27701,1.59386,0.150471,0,-8.37553,7.12
2fvd,-4.6496,0,-0.0863288,0,-4.56327,8.52
3pxf,-5.71383,0,-0.479303,0,-5.23453,4.43
3cyx,-10.389,3.21663,-0.560545,0,-7.70547,8
3gnw,-6.89664,1.6397,0,0,-5.81444,9.1
3f3c,-4.15575,1.84246,0.117005,0,-3.05673,6.02
1oyt,-6.77732,0.527859,-0.707801,0,-5.72113,7.24
3n86,-7.18494,5.73667,-0.222133,0,-3.1766,5.64
3uex,-9.22264,0.32986,-0.106414,0,-8.89852,6.92
2brb,-4.39848,0.402937,0,0,-4.13254,4.86
3kgp,-2.28022,0.813047,-0.460706,0,-1.2829,2.57
3ivg,-7.26443,3.09309,0.0678318,0,-5.29083,4.3
3dxg,-2.42218,1.36883,-0.0543196,0,-1.46443,2.4
2y5h,-5.42626,0,0,0,-5.42626,5.79
