name,TOTAL_SCORE,SCORE_RB_PEN,SCORE_NORM_HEVATOMS,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,SCORE_NORM_CRT_WEIGHT,SCORE_RB_PEN_NORM_CRT_HEVATOMS,SCORE_NORM_CONTACT,PLPtotal,PLPparthbond,PLPpartsteric,PLPpartmetal,PLPpartrepulsive,PLPpartburpolar,LIG_NUM_CLASH,LIG_NUM_CONTACT,LIG_NUM_NO_CONTACT,CHEMpartmetal,CHEMparthbond,CHEMparthbondCHO,DON,ACC,UNUSED_DON,UNUSED_ACC,CHEMPLP_CLASH2,TRIPOS_TORS,affinity
1n2v,-62.8682,-56.8682,-4.19121,-25.4918,-0.303392,-10.624,-23.0589,-3.9292599999999998,-38.3969,-2.75792,-33.2706,0.0,4.0932,0.0,2,13,0,0.0,-9.54365,0.0,2,4,1,3,0.0,2.0193,4.08
2qmj,-79.3266,-35.3266,-1.80288,-22.4699,-0.12268,-9.17355,-10.0065,-1.9348,-57.0074,-10.6765,-41.6987,0.0,0.0879965,-0.1,4,33,7,0.0,-26.3957,0.0,15,18,8,16,0.0,10.7589,4.21
1qi0,-63.1812,-39.1812,-2.74701,-22.2167,-0.184581,-9.03208,-13.7775,-2.52725,-34.7274,-11.0737,-22.2832,0.0,0.0,-0.0396656,1,22,0,0.0,-19.1931,0.0,8,11,4,8,0.0,3.91024,2.35
1lor,-109.637,-97.6369,-4.98349,-39.1275,-0.325178,-15.7523,-34.8449,-4.38547,-51.2967,-13.0605,-32.1169,0.0,0.6630189999999999,0.0,1,21,0,0.0,-44.1728,0.0,3,9,0,1,0.0,1.30765,11.06
2jdy,-66.1898,-54.1898,-5.09152,-28.1499,-0.34086500000000003,-11.4302,-23.0464,-4.41265,-27.308000000000003,-11.4514,-13.3574,-4.0,0.000117801,0.0,4,9,0,-17.7456,-4.8618,0.0,4,6,2,5,0.0,1.0329700000000002,4.37
1h23,-115.60700000000001,-85.6069,-3.2113,-35.0119,-0.23273899999999997,-14.5975,-25.9263,-3.2113,-111.096,-3.47252,-99.9395,0.0,0.28420300000000004,0.0,2,34,0,0.0,-6.19071,0.0,6,2,6,0,0.034843,9.63808,8.35
1bcu,-68.4284,-68.4284,-4.2767800000000005,-27.1558,-0.325453,-11.5077,-27.1558,-3.8015800000000004,-45.515,-1.6869299999999998,-35.2831,0.0,0.23858400000000002,0.0,0,16,0,0.0,-3.7744699999999995,0.0,5,0,3,0,0.0,0.0,3.28
3myg,-75.0145,-57.0145,-2.50048,-24.1419,-0.17545,-9.95744,-18.349,-2.3442,-60.2764,-2.25429,-56.2199,0.0,3.17674,-0.089371,3,27,0,0.0,-4.99595,-3.0,6,5,4,4,0.0,5.56447,10.7
3coy,-115.41,-93.4103,-3.7229099999999997,-36.7387,-0.251171,-14.9561,-29.7354,-3.29744,-81.5454,-9.31465,-57.9913,0.0,1.83467,-0.054925699999999994,2,29,0,0.0,-20.8263,0.0,9,10,5,7,0.0,2.2347,6.02
3g2z,-39.2964,-33.2964,-3.0228,-16.7124,-0.220538,-6.983339999999999,-14.1606,-3.0228,-17.2167,-3.25373,-11.4165,0.0,0.33331900000000003,0.0,0,13,0,0.0,-9.0,0.0,2,5,2,2,0.0,2.96627,2.36
2yge,-33.6573,-21.6573,-0.841433,-9.841460000000001,-0.060034800000000006,-4.08182,-6.3326400000000005,-0.82091,-52.4228,-2.98842,-45.8041,0.0,2.16053,-0.06516799999999999,2,38,0,0.0,-6.0,0.0,4,8,3,7,14.1662,14.6712,5.06
2cet,-95.743,-79.743,-4.35195,-34.169000000000004,-0.313554,-14.2181,-28.4589,-3.54604,-65.1453,-12.5289,-50.1942,0.0,0.020064099999999998,0.0,4,18,0,0.0,-20.6613,0.0,5,4,0,1,4.02124,1.04959,8.02
2ymd,-91.9421,-83.9421,-7.07247,-39.1021,-0.518791,-16.3684,-35.6998,-5.40836,-60.6691,-5.0,-48.6907,0.0,0.0659289,-0.014164700000000002,1,12,0,0.0,-14.1532,0.0,5,1,1,0,0.0,0.389937,3.16
3f3a,-71.7123,-63.7123,-4.780819999999999,-29.0779,-0.351142,-12.1775,-25.8341,-3.98401,-45.9299,-6.18781,-45.4383,0.0,0.687062,0.0,2,13,0,0.0,-11.5089,0.0,4,2,1,1,0.0,1.46665,4.19
2xys,-94.5727,-92.5727,-3.7829099999999998,-32.3434,-0.28027399999999997,-13.5843,-31.6594,-3.63741,-73.9523,-1.0,-68.7824,0.0,0.005848699999999999,-0.028972300000000003,1,24,0,0.0,-2.55856,0.0,2,2,1,2,0.0,0.0,7.42
3nw9,-126.02600000000001,-106.02600000000001,-3.3164800000000003,-37.4857,-0.24165999999999999,-15.657,-31.5369,-3.15065,-106.088,-10.5632,-95.5788,0.0,0.574192,-0.018894799999999996,6,32,0,0.0,-13.4784,0.0,7,9,4,6,0.0,4.3034300000000005,9
2iwx,-71.1019,-69.1019,-2.96258,-24.6496,-0.20211500000000002,-10.0721,-23.9563,-2.84407,-49.2537,-1.83624,-42.1355,0.0,0.178565,0.0,2,22,0,0.0,-3.0,0.0,1,5,0,5,0.0,0.0,6.68
1vso,-85.292,-65.292,-4.06152,-30.9149,-0.264675,-12.4406,-23.6657,-3.5538300000000005,-42.0316,-8.647039999999999,-28.3788,0.0,0.533392,-0.0165893,1,20,0,0.0,-30.3602,0.0,5,8,2,4,0.0,2.3882,4.72
4de2,-78.0212,-68.0212,-3.25088,-27.0484,-0.24202100000000001,-11.3787,-23.5816,-3.25088,-51.5914,-6.13025,-35.5887,0.0,0.57426,0.0,0,24,0,0.0,-13.2145,0.0,2,5,2,1,0.0,2.14737,4.12
4tmn,-98.2309,-68.2309,-2.72864,-29.7496,-0.195088,-12.3474,-20.664,-2.39588,-78.2417,-10.8077,-67.5251,-2.0,8.3797,0.0,3,33,0,0.0,-18.7299,0.0,5,5,0,2,0.0,8.00415,10.17
1mq6,-91.7716,-75.7716,-2.54921,-27.7933,-0.16104300000000002,-11.0693,-22.9477,-2.48031,-108.087,-1.74358,-99.2755,0.0,2.35348,-0.0692358,3,33,0,0.0,-2.63577,0.0,4,5,3,4,0.0,17.3256,11.15
3gy4,-69.3801,-67.3801,-6.938,-32.2034,-0.509473,-13.4854,-31.275,-4.9557199999999995,-36.0421,-5.11948,-24.8064,0.0,0.328138,-0.00192885,0,10,0,0.0,-15.1716,0.0,6,0,1,0,0.0,0.581957,5.1
3b68,-101.40700000000001,-83.4065,-3.2711799999999998,-32.2809,-0.22975700000000002,-13.3189,-26.5509,-3.07293,-99.7437,-5.03894,-97.9697,0.0,2.16113,0.0,7,24,0,0.0,-7.598730000000001,0.0,3,6,1,5,11.5394,5.616569999999999,8.4
3fcq,-27.4854,-21.4854,-1.96325,-11.4041,-0.142285,-4.7546800000000005,-8.914589999999999,-1.96325,-15.6005,-1.2441,-28.6007,-2.0,12.5316,0.0,5,9,0,0.0,-3.0,0.0,0,3,0,2,0.0,4.95021,2.77
4gid,-144.145,-110.145,-3.06692,-39.9424,-0.21616,-16.4991,-30.5211,-2.82638,-135.15200000000002,-9.83474,-124.868,0.0,0.44393,0.0,8,39,0,0.0,-21.5626,0.0,6,6,2,2,4.026619999999999,11.870999999999999,10.77
3ebp,-86.3265,-76.3265,-3.0830900000000003,-28.4288,-0.21429600000000001,-11.6887,-25.1356,-3.45306,-76.6052,0.0,-69.2508,0.0,0.049805300000000004,-0.1,0,25,3,0.0,0.0,0.0,4,5,4,5,2.0729900000000003,2.37831,5.91
3u9q,-61.7416,-45.7416,-5.14513,-26.9681,-0.360531,-11.1181,-19.9795,-5.14513,-50.8058,-3.94297,-43.2515,0.0,0.0109228,-0.1,0,12,0,0.0,-10.5115,0.0,0,2,0,0,0.0,8.921510000000001,4.38
3e93,-118.35799999999999,-108.35799999999999,-3.19885,-35.5191,-0.237855,-14.936,-32.5181,-3.1146700000000003,-108.022,-4.0,-96.0994,0.0,0.817621,0.0,1,36,0,0.0,-6.0,0.0,3,4,2,3,0.0,6.4844,8.85
