name,Orientation_Score,Affinity_Score(Heavy_Ligand_Atoms),Affinity_Score,Buried_Protein_Hydrophobic_Term,Hydrophobic_Complementarity_Term,Polar_Component_Term,Number_of_Protein-Ligand_Hydrophobic_Contacts,Number_of_Protein-Ligand_H-bonds,Number_of_Protein-Ligand_Salt-bridges,Number_of_Metal-Ligand_Bonds,Number_of_Interfacial_Unsatisfied_Polar_Atoms,Number_of_Interfacial_Unsatisfied_Charged_Atoms,Buried_Carbons,affinity
2qmj,-9.965,-0.080,-8.743,-3.237,-1.494,1.206,50,9,9,0,9,0,0.760,4.21
2jdy,-8.537,-0.173,-7.470,-1.345,-1.577,0.670,12,10,9,0,5,0,1.000,4.37
1n2v,-6.478,-0.058,-6.081,-2.088,-0.249,1.474,46,3,0,0,10,1,1.000,4.08
1qi0,-7.341,-0.086,-7.197,-2.304,-0.747,1.072,36,7,2,0,8,0,0.917,2.35
1lor,-9.294,-0.117,-7.783,-1.958,-1.411,0.804,33,10,7,0,5,1,1.000,11.06
3e93,-9.397,-0.167,-11.404,-6.607,-0.249,0.670,123,3,0,0,4,1,1.000,8.85
2qbp,-10.159,-0.116,-9.505,-5.250,-0.913,1.876,83,5,6,0,11,3,0.920,8.4
3fcq,-7.174,-0.140,-7.178,-2.234,-0.664,0.938,33,2,6,0,5,2,1.000,2.77
2xbv,-9.709,-0.059,-7.327,-5.025,-0.166,3.082,126,2,0,0,21,2,1.000,8.43
2x00,-8.395,-0.156,-11.003,-6.908,-0.083,1.206,110,1,0,0,8,1,0.938,11.33
3mss,-6.358,-0.130,-7.940,-2.990,-0.000,0.268,69,0,0,0,2,0,0.765,4.66
1o3f,-8.461,-0.147,-8.901,-4.276,-0.747,1.340,67,5,4,0,10,0,1.000,7.96
3kgp,-6.291,-0.087,-6.173,-1.829,-0.332,1.206,34,2,2,0,7,2,1.000,2.57
2yki,-9.871,-0.144,-10.111,-6.201,-0.166,1.474,150,2,0,0,11,0,1.000,9.46
2xdl,-6.769,-0.149,-7.601,-2.670,-0.249,0.536,53,3,0,0,3,1,1.000,3.1
2weg,-7.263,-0.202,-7.440,-1.609,-0.747,0.134,24,5,4,0,1,0,1.000,6.5
2cet,-9.678,-0.199,-9.593,-3.698,-1.079,0.402,74,9,4,0,2,1,1.000,8.02
3f3e,-7.193,-0.212,-7.128,-1.412,-0.498,0.000,31,6,0,0,0,0,1.000,7.7
3dd0,-7.040,-0.145,-7.542,-2.279,-0.581,0.536,30,3,4,0,4,0,0.889,9
3pww,-9.926,-0.136,-11.889,-7.532,-0.747,1.608,96,7,2,0,7,5,1.000,7.32
2iwx,-6.731,-0.092,-7.432,-3.388,-0.166,1.340,51,2,0,0,8,2,0.889,6.68
3g2n,-8.125,-0.111,-7.439,-2.897,-0.664,1.340,44,6,2,0,9,1,1.000,4.09
1sqa,-8.319,-0.096,-8.189,-4.719,-0.664,2.412,67,3,5,0,15,3,0.957,9.21
3g2z,-5.923,-0.067,-6.089,-0.909,-0.498,0.536,12,5,1,0,3,1,1.000,2.36
1q8u,-7.129,-0.116,-7.769,-3.591,-0.166,1.206,65,1,1,0,7,2,1.000,5.96
3myg,-7.358,-0.076,-7.485,-4.111,-0.166,2.010,70,2,0,0,10,5,0.950,10.7
3nw9,-11.418,-0.132,-10.252,-5.997,-0.913,1.876,128,9,2,0,11,3,1.000,9
1oyt,-8.706,-0.142,-9.464,-4.871,-0.581,1.206,72,3,4,0,8,1,0.957,7.24
3ejr,-10.303,-0.186,-9.867,-3.908,-1.411,0.670,79,5,12,0,5,0,0.950,8.57
1uto,-6.085,-0.178,-6.820,-1.806,-0.332,0.536,29,2,2,0,4,0,1.000,2.27
3jvs,-7.991,-0.131,-9.146,-5.019,-0.249,1.340,83,2,1,0,8,2,1.000,6.54
1r5y,-7.693,-0.128,-6.881,-1.886,-0.581,0.804,62,7,0,0,5,1,1.000,6.46
2j78,-8.015,-0.151,-7.185,-1.405,-0.830,0.268,38,6,4,0,2,0,1.000,6.42
3zsx,-8.207,-0.134,-9.775,-4.646,-0.581,0.670,69,5,2,0,5,0,0.852,3.28
2v7a,-8.131,-0.115,-9.228,-4.801,-0.415,1.206,76,5,0,0,7,2,0.885,8.3
3cyx,-10.210,-0.126,-11.412,-8.108,-0.498,2.412,114,5,1,0,16,2,0.974,8
2ymd,-7.764,-0.212,-7.971,-2.338,-0.415,0.000,62,5,0,0,0,0,1.000,3.16
3fv1,-9.518,-0.164,-8.653,-2.758,-1.079,0.402,60,10,3,0,3,0,1.000,9.3
3zso,-8.606,-0.114,-10.226,-6.016,-0.332,1.340,95,4,0,0,10,0,0.914,5.12
3ebp,-7.377,-0.088,-7.687,-3.943,-0.000,1.474,106,0,0,0,10,1,0.810,5.91
1bcu,-6.259,-0.139,-7.442,-2.996,-0.166,0.938,46,2,0,0,6,1,1.000,3.28
3g0w,-7.728,-0.103,-7.688,-3.459,-0.083,1.072,71,1,0,0,8,0,1.000,9.52
3kwa,-6.421,-0.121,-6.918,-2.255,-0.249,0.804,37,3,0,0,5,1,1.000,4.08
2hb1,-8.333,-0.153,-7.366,-1.854,-0.830,0.536,46,4,6,0,4,0,1.000,3.8
3ivg,-8.880,-0.113,-8.503,-4.178,-0.581,1.474,85,4,3,0,11,0,1.000,4.3
2xys,-7.732,-0.155,-9.093,-4.596,-0.083,0.804,94,1,0,0,6,0,0.952,7.42
2wtv,-8.104,-0.111,-8.975,-5.384,-0.249,1.876,85,2,1,0,14,0,0.960,8.74
2zcq,-8.353,-0.150,-8.980,-3.902,-0.664,0.804,69,7,1,0,4,2,1.000,8.82
1w4o,-7.480,-0.111,-7.543,-2.031,-0.830,0.536,23,8,2,0,4,0,1.000,5.22
1gpk,-7.580,-0.155,-8.011,-3.482,-0.249,0.938,66,3,0,0,6,1,1.000,5.37
3pxf,-6.224,-0.168,-8.743,-3.410,-0.249,0.134,49,0,3,0,1,0,1.000,4.43
1p1q,-8.337,-0.185,-7.619,-1.622,-0.913,0.134,41,5,6,0,1,0,1.000,4.89
4djv,-7.863,-0.147,-9.324,-4.846,-0.332,1.072,74,2,2,0,8,0,1.000,6.72
3gnw,-8.954,-0.108,-9.962,-6.288,-0.332,1.876,102,4,0,0,11,3,0.853,9.1
3ozt,-11.212,-0.131,-9.264,-4.358,-1.162,1.474,107,10,4,0,9,2,1.000,4.13
3lka,-6.428,-0.045,-5.758,-1.848,-0.166,1.474,44,2,0,0,10,1,1.000,2.82
1nvq,-8.727,-0.148,-10.553,-5.992,-0.415,1.072,93,3,2,0,7,1,1.000,8.25
3d4z,-9.577,-0.241,-8.587,-1.875,-1.494,0.000,50,5,13,0,0,0,1.000,4.89
2wbg,-9.778,-0.154,-8.603,-3.461,-0.996,1.072,83,5,7,0,5,3,1.000,4.45
3acw,-7.318,-0.167,-8.732,-4.101,-0.083,0.670,77,1,0,0,4,1,0.947,4.76
3gy4,-7.117,-0.144,-6.661,-1.583,-0.664,0.804,34,4,4,0,6,0,1.000,5.1
3ao4,-7.338,-0.120,-7.135,-2.555,-0.166,0.804,78,2,0,0,4,2,1.000,2.07
3ueu,-6.062,-0.175,-7.674,-2.590,-0.000,0.134,57,0,0,0,0,1,0.917,5.24
2fvd,-7.865,-0.092,-7.985,-4.311,-0.332,1.876,59,4,0,0,13,1,1.000,8.52
3l7b,-7.920,-0.066,-6.463,-1.838,-0.747,1.340,32,8,1,0,8,2,1.000,2.4
2wca,-8.177,-0.108,-8.135,-3.491,-0.498,1.072,68,6,0,0,7,1,0.882,5.6
1h23,-10.213,-0.137,-10.141,-6.282,-0.249,1.608,132,3,0,0,10,2,0.900,8.35
3ag9,-11.129,-0.064,-9.520,-5.035,-1.411,2.144,69,4,13,0,16,0,0.625,8.05
3coy,-9.970,-0.096,-8.196,-3.673,-0.913,1.608,73,8,3,0,9,3,1.000,6.02
1q8t,-6.457,-0.098,-6.986,-2.540,-0.166,0.938,45,2,0,0,7,0,1.000,4.76
3n7a,-8.122,-0.208,-7.711,-1.631,-0.996,0.134,28,9,3,0,1,0,1.000,3.7
2yge,-7.008,-0.058,-7.525,-4.285,-0.166,2.144,48,2,0,0,16,0,0.759,5.06
1z95,-8.684,-0.105,-8.259,-4.183,-0.332,1.474,81,4,0,0,10,1,1.000,7.12
3utu,-10.938,-0.098,-9.843,-5.939,-0.830,2.144,114,6,4,0,15,1,0.938,10.92
4de1,-7.730,-0.130,-8.202,-2.990,-0.664,0.670,43,7,1,0,4,1,1.000,5.96
3ehy,-8.055,-0.078,-6.548,-2.057,-0.747,1.474,46,3,6,0,9,2,1.000,5.85
2xnb,-7.733,-0.117,-8.376,-4.115,-0.249,1.206,75,3,0,0,7,2,0.947,6.83
3f3c,-7.848,-0.189,-7.678,-2.096,-0.498,0.134,54,6,0,0,1,0,1.000,6.02
3uo4,-9.109,-0.140,-9.274,-4.700,-0.830,1.474,77,2,8,0,8,3,0.957,6.52
2zcr,-8.116,-0.162,-9.763,-4.800,-0.415,0.670,78,5,0,0,4,1,1.000,6.87
3uex,-7.028,-0.207,-9.362,-4.195,-0.083,0.134,73,0,1,0,1,0,1.000,6.92
3n86,-10.475,-0.174,-9.222,-3.729,-1.079,0.804,85,10,3,0,6,0,1.000,5.64
3udh,-6.922,-0.172,-7.632,-2.535,-0.415,0.536,47,1,4,0,4,0,1.000,2.85
3dxg,-5.868,-0.042,-6.099,-1.621,-0.332,1.072,19,2,2,0,7,1,0.778,2.4
2qbr,-9.285,-0.126,-8.749,-3.907,-0.830,1.206,72,4,6,0,8,1,0.900,6.33
3ge7,-9.518,-0.147,-9.036,-4.194,-0.830,1.206,96,7,3,0,8,1,1.000,8.7
2p4y,-9.070,-0.116,-9.848,-6.340,-0.166,1.876,109,1,1,0,10,4,1.000,9
1ps3,-9.104,-0.174,-8.009,-1.865,-1.328,0.402,45,6,10,0,3,0,1.000,2.28
1a30,-8.078,-0.099,-7.791,-3.166,-0.747,1.340,38,4,5,0,4,6,1.000,4.3
1e66,-8.886,-0.148,-8.332,-4.237,-0.083,1.206,130,1,0,0,8,1,1.000,9.89
1vso,-8.136,-0.112,-7.565,-2.021,-0.996,0.670,30,6,6,0,4,1,1.000,4.72
