Name,"gauss(o=0,_w=0.3,_c=8)","gauss(o=0.5,_w=0.3,_c=8)","gauss(o=1,_w=0.3,_c=8)","gauss(o=1.5,_w=0.3,_c=8)","gauss(o=2,_w=0.3,_c=8)","gauss(o=2.5,_w=0.3,_c=8)","gauss(o=0,_w=0.5,_c=8)","gauss(o=1,_w=0.5,_c=8)","gauss(o=2,_w=0.5,_c=8)","gauss(o=0,_w=0.7,_c=8)","gauss(o=1,_w=0.7,_c=8)","gauss(o=2,_w=0.7,_c=8)","gauss(o=0,_w=0.9,_c=8)","gauss(o=1,_w=0.9,_c=8)","gauss(o=2,_w=0.9,_c=8)","gauss(o=3,_w=0.9,_c=8)","gauss(o=0,_w=1.5,_c=8)","gauss(o=1,_w=1.5,_c=8)","gauss(o=2,_w=1.5,_c=8)","gauss(o=3,_w=1.5,_c=8)","gauss(o=4,_w=1.5,_c=8)","gauss(o=0,_w=2,_c=8)","gauss(o=1,_w=2,_c=8)","gauss(o=2,_w=2,_c=8)","gauss(o=3,_w=2,_c=8)","gauss(o=4,_w=2,_c=8)","gauss(o=0,_w=3,_c=8)","gauss(o=1,_w=3,_c=8)","gauss(o=2,_w=3,_c=8)","gauss(o=3,_w=3,_c=8)","gauss(o=4,_w=3,_c=8)","repulsion(o=0.4,_c=8)","repulsion(o=0.2,_c=8)","repulsion(o=0,_c=8)","repulsion(o=-0.2,_c=8)","repulsion(o=-0.4,_c=8)","repulsion(o=-0.6,_c=8)","repulsion(o=-0.8,_c=8)","repulsion(o=-1,_c=8)","hydrophobic(g=0.5,_b=1.5,_c=8)","hydrophobic(g=0.5,_b=1,_c=8)","hydrophobic(g=0.5,_b=2,_c=8)","hydrophobic(g=0.5,_b=3,_c=8)","non_hydrophobic(g=0.5,_b=1.5,_c=8)","vdw(i=4,_j=8,_s=0,_^=100,_c=8)","vdw(i=6,_j=12,_s=1,_^=100,_c=8)","non_dir_h_bond(g=-0.7,_b=0,_c=8)","non_dir_h_bond(g=-0.7,_b=0.2,_c=8)","non_dir_h_bond(g=-0.7,_b=0.5,_c=8)","non_dir_h_bond(g=-1,_b=0,_c=8)","non_dir_h_bond(g=-1,_b=0.2,_c=8)","non_dir_h_bond(g=-1,_b=0.5,_c=8)","non_dir_h_bond(g=-1.3,_b=0,_c=8)","non_dir_h_bond(g=-1.3,_b=0.2,_c=8)","non_dir_h_bond(g=-1.3,_b=0.5,_c=8)","non_dir_anti_h_bond_quadratic(o=0,_c=8)","non_dir_anti_h_bond_quadratic(o=0.5,_c=8)","non_dir_anti_h_bond_quadratic(o=1,_c=8)","donor_donor_quadratic(o=0,_c=8)","donor_donor_quadratic(o=0.5,_c=8)","donor_donor_quadratic(o=1,_c=8)","acceptor_acceptor_quadratic(o=0,_c=8)","acceptor_acceptor_quadratic(o=0.5,_c=8)","acceptor_acceptor_quadratic(o=1,_c=8)","non_dir_h_bond_lj(o=-0.7,_^=100,_c=8)","non_dir_h_bond_lj(o=-1,_^=100,_c=8)","non_dir_h_bond_lj(o=-1.3,_^=100,_c=8)","ad4_solvation(d-sigma=3.6,_s/q=0.01097,_c=8)","ad4_solvation(d-sigma=3.6,_s/q=0,_c=8)","electrostatic(i=1,_^=100,_c=8)","electrostatic(i=2,_^=100,_c=8)",num_tors_div,num_tors_div_simple,num_heavy_atoms_div,num_heavy_atoms,num_tors_add,num_tors_sqr,num_tors_sqrt,num_hydrophobic_atoms,ligand_length,num_ligands,affinity
1n2v,42.06761,56.80742,92.10198,95.26642,129.19509,136.54113,63.85331,141.39138,208.54109,88.39688,194.44612,288.55357,116.01017,248.42028,372.82685,534.48340,215.26601,413.81767,629.10416,785.64996,677.22502,319.24277,558.54925,795.87088,909.97212,783.96866,552.42313,795.92067,986.34407,1044.78190,937.35233,12.72088,5.90782,2.61809,1.11159,0.41924,0.09307,0.00050,0.00000,15.01064,10.99777,18.06481,22.52943,70.46611,-332.81776,-390.59459,2.61054,2.91931,3.42358,1.91989,2.26658,2.80054,1.47684,1.81326,2.33379,0.81126,2.50114,5.32105,0.00000,0.00000,0.00528,0.81126,2.50114,5.51998,-18.31539,-10.55298,-4.09303,23.70954,-45.58128,0.46238,0.09720,0.00000,0.00000,0.00000,0.75000,3.00000,0.18000,0.07746,0.20000,3.00000,1.00000,4.08
2qmj,61.67124,90.11180,114.02010,164.29049,234.04854,285.29583,99.32601,196.78476,385.20038,136.75059,286.47831,533.97657,177.19841,381.04194,686.20363,1024.12128,337.73658,689.92841,1142.99778,1480.35838,1283.19289,524.61302,964.74957,1443.12614,1698.58223,1482.76652,959.41463,1415.36123,1791.01276,1928.96267,1752.26577,26.81733,13.69210,6.30797,2.63779,0.95110,0.27183,0.03022,0.00000,12.26367,8.52791,18.42821,33.46035,119.64105,-554.16537,-642.87696,9.36240,11.03824,13.54430,7.12126,8.75166,11.21382,5.47789,7.00133,9.34485,0.00000,0.13774,0.75888,1.09876,4.95627,13.88802,2.98772,9.76143,23.89441,-58.38868,-38.13666,-14.92819,48.50168,-90.04278,1.43130,0.35616,0.00000,0.00000,0.00000,2.20000,9.00000,1.62000,0.13416,0.15000,8.00000,1.00000,4.21
1qi0,37.98691,53.70293,56.68276,90.64783,94.79065,125.48931,65.07444,102.14255,166.26753,87.97696,149.89255,238.00111,110.58939,197.08706,310.10867,454.63444,191.18052,343.55512,525.12379,665.53452,582.01980,277.67052,470.37890,668.59266,771.38425,672.71945,474.68513,677.25412,837.22131,888.94244,801.74236,23.44487,12.55176,5.83319,2.18927,0.63154,0.09353,0.00071,0.00000,0.00000,0.00000,0.00000,0.00000,84.06804,-279.97218,-334.53449,8.87687,9.75473,11.09046,6.39731,7.46896,8.99470,4.92101,5.97517,7.49559,0.00000,0.00000,0.00000,2.53365,8.34508,18.69342,1.50831,5.82535,13.91333,-54.37248,-30.87208,-11.70789,24.89952,-42.68291,0.90031,0.21893,0.00000,0.00000,0.00000,1.15000,4.00000,0.32000,0.08944,0.00000,4.00000,1.00000,2.35
1lor,60.18036,72.82266,102.09489,186.05399,192.15870,273.98177,92.19752,187.76697,342.83402,124.94879,274.10749,492.76244,162.77823,361.51150,638.35810,907.06041,316.95209,644.34967,1044.20407,1300.89753,1088.39258,490.40093,889.13445,1301.84860,1493.34795,1273.09238,878.41611,1279.79525,1598.38013,1699.09326,1524.44523,31.93168,17.14662,8.43042,3.77700,1.41107,0.27345,0.00698,0.00000,5.52876,3.94063,6.73405,9.39637,129.06413,-496.77509,-598.22268,12.55377,13.42104,15.45594,9.35922,10.54210,12.74580,7.19940,8.43368,10.62150,0.04977,0.54819,2.53725,1.27788,4.00745,9.14493,1.68103,5.89735,14.87945,-75.83038,-49.44175,-19.71696,60.27613,-82.06072,1.73464,0.38331,0.00000,0.00000,0.00000,1.10000,4.00000,0.32000,0.08944,0.05000,6.00000,1.00000,11.06
2jdy,29.44693,43.22059,66.85075,78.73980,100.49385,107.72974,49.90987,108.48825,162.68016,70.90517,149.78390,225.83823,93.44559,191.74822,289.51706,373.26180,172.53148,319.89165,467.89005,542.41079,435.39013,251.88228,424.26794,579.02494,629.39334,517.29958,417.87705,585.31844,705.38276,727.24347,636.26818,20.13400,11.04685,5.44206,2.22785,0.75875,0.20234,0.01119,0.00000,0.00000,0.00000,0.00000,0.00000,115.73008,-235.93123,-301.71895,8.63276,10.36593,12.54555,6.50668,8.16090,10.34560,5.00514,6.52872,8.62134,0.00000,0.00000,0.00000,0.48998,1.86986,4.98702,3.62305,13.17095,31.47224,-56.94455,-33.61927,-12.62707,31.23577,-40.40203,1.69334,0.43088,0.00000,0.00000,0.00000,0.65000,2.00000,0.08000,0.06325,0.00000,2.00000,1.00000,4.37
1h23,83.49350,135.24790,189.70506,243.91522,269.85027,351.11216,132.40836,316.64803,470.86708,186.62635,440.28702,670.23523,247.71319,562.24890,869.49401,1203.03611,473.52169,939.78512,1436.26962,1738.66413,1433.27838,712.07859,1262.21219,1789.87380,2005.02275,1681.55224,1233.28707,1774.74024,2186.28872,2293.79626,2033.96468,20.18239,8.33320,3.05264,1.02281,0.28800,0.04509,0.00000,0.00000,112.52649,80.17542,146.76050,217.47583,65.92432,-756.77109,-877.70110,2.91680,3.46362,4.09772,2.14073,2.68019,3.34415,1.64671,2.14415,2.78679,0.00000,0.21373,1.48002,0.14422,0.98771,3.38376,0.54082,1.52622,3.01163,-20.45626,-11.53407,-4.37050,10.97081,-93.86946,-0.14656,-0.01164,0.00000,0.00000,0.00000,1.80000,15.00000,4.50000,0.17321,1.10000,16.00000,1.00000,8.35
1bcu,37.08599,68.85192,88.53793,114.80467,133.53590,146.77023,61.69003,149.80998,218.96077,87.78287,210.06683,307.73011,116.72066,267.91150,398.27644,530.66443,222.59998,438.90065,650.55782,752.73625,585.31889,331.45757,579.65503,800.42093,865.90887,698.35484,560.05323,795.00421,962.90334,991.11948,861.19398,6.16942,2.09997,0.63544,0.13274,0.01520,0.00000,0.00000,0.00000,11.15260,9.05120,15.00135,24.34088,62.73403,-346.62197,-405.66283,1.18484,1.40234,2.35279,0.82939,1.05176,1.88223,0.63799,0.84140,1.56852,0.00000,0.00000,0.58602,0.00000,0.00000,0.58602,0.00000,0.00000,0.00000,-11.43292,-5.01788,-1.72763,21.16580,-38.96097,0.58539,0.12249,0.00000,0.00000,0.00000,0.80000,0.00000,0.00000,0.00000,0.45000,0.00000,1.00000,3.28
3myg,61.03302,87.23751,145.36790,154.76113,208.00863,241.38476,96.33326,226.02967,337.47212,135.28501,309.28166,473.10472,179.28101,394.80324,613.21909,869.97886,339.31992,664.52719,1022.77590,1260.71465,1058.18242,508.79867,898.60234,1282.71951,1453.82619,1234.02258,884.57884,1274.98848,1576.83729,1663.13598,1483.29746,21.16093,10.03253,4.24984,1.61128,0.55862,0.10648,0.00028,0.00000,12.06081,7.82376,17.32091,29.86101,85.09170,-536.72684,-626.92328,2.24775,2.57739,2.93304,1.65255,1.99898,2.39918,1.27119,1.59918,1.99932,0.54157,1.64516,4.39684,0.00000,0.00000,0.35511,0.54157,1.64516,4.05027,-16.27244,-9.24346,-3.62121,27.96145,-69.44384,0.15933,0.03181,0.00000,0.00000,0.00000,1.50000,8.00000,1.28000,0.12649,0.30000,10.00000,1.00000,10.7
3coy,85.97669,132.88551,162.45812,234.77336,280.44158,336.21583,137.68109,284.25743,472.30640,188.91260,407.76951,659.09543,245.16769,530.51992,844.22654,1129.99877,459.58489,901.10941,1371.00125,1637.98748,1338.75009,688.27263,1208.75350,1701.60161,1891.80346,1578.13496,1182.46752,1692.22894,2075.06554,2168.90436,1917.71635,25.89889,11.84366,4.96794,1.83897,0.57353,0.08900,0.00000,0.00000,12.23910,8.87433,17.10295,31.56556,201.86404,-713.79894,-836.90802,7.63962,8.61909,10.26916,5.54410,6.62795,8.34623,4.26469,5.30236,6.95520,0.30646,1.89149,7.28282,0.64844,3.16630,9.47772,0.47203,2.24061,7.46419,-54.85444,-29.87248,-11.36043,45.90519,-102.00559,0.36814,0.09531,0.00000,0.00000,0.00000,1.55000,7.00000,0.98000,0.11832,0.20000,12.00000,1.00000,6.02
3g2z,23.57614,33.79438,44.24394,71.42239,78.32115,82.81401,38.30907,78.41226,129.72502,52.74264,113.91882,181.89863,68.70707,148.47955,235.96822,346.60998,129.87758,253.95629,398.09187,504.68098,435.85712,195.79993,347.35144,503.56594,582.16735,503.74923,345.10848,500.62931,624.64104,665.39779,599.42769,11.41053,5.98220,2.84756,1.22334,0.51371,0.13936,0.00396,0.00000,12.34573,9.85921,15.13722,19.43819,63.39251,-200.41943,-239.61879,3.86562,5.04178,6.44271,3.04181,4.06124,5.37809,2.33985,3.24899,4.48174,0.00107,0.30891,1.66736,0.00000,0.00002,0.52476,1.98387,6.13616,15.01100,-31.73868,-19.88737,-7.97265,7.66268,-30.00751,-0.62500,-0.11505,0.00000,0.00000,0.00000,0.65000,2.00000,0.08000,0.06325,0.20000,2.00000,1.00000,2.36
