name,total,qq_pl,desolv_pl,vdw_pl,hbond_pl,qq_l,desolv_l,vdw_l,DrugScore,HMscore,PLP_tor,affinity
2z1w,-9.498,-0.065,4.625,-6.715,-0.681,0.000,0.086,-0.200,-13.257,2.195,6.000,4.08
1xh5,-25.533,-3.605,11.700,-17.389,-3.235,0.207,1.498,-2.360,0.943,4.260,1.700,5.47
3s6t,-16.606,-2.149,7.467,-10.027,-3.322,-0.672,1.120,-1.009,4.057,2.981,11.300,7.35
3b67,-17.162,-0.727,6.283,-13.904,-1.393,-0.439,1.013,-1.349,51.729,6.296,9.200,8.85
3fas,-14.208,-3.962,6.658,-6.956,-4.696,-1.141,0.437,-0.357,14.171,-0.000,17.000,6.77
3m3z,-10.913,-1.841,12.650,-10.546,0.345,-0.991,1.958,-1.767,10.200,-0.000,11.400,5.73
2uyq,-8.684,-1.027,7.217,-6.719,-2.226,-0.706,0.745,-0.544,12.871,0.132,7.000,5.68
1xd0,-25.164,-5.583,18.175,-19.215,-7.281,-3.349,5.012,-4.549,108.686,0.504,57.700,7.12
3djo,-9.033,-1.224,6.975,-6.533,-2.313,-1.437,1.416,-1.224,19.629,-0.000,14.100,4.39
1b05,-25.760,-6.569,12.525,-13.874,-5.561,-0.587,1.640,-1.555,-17.771,1.432,41.400,7.12
4lps,-15.765,-6.325,14.533,-10.392,-5.907,0.612,2.201,-1.497,28.157,-0.000,18.000,5.74
3iph,-17.111,-0.704,6.267,-12.356,-1.711,-0.398,0.796,-1.025,0.029,3.589,4.200,7.6
4mjp,-13.112,-1.920,3.083,-7.168,-1.564,0.099,0.193,-0.652,1.557,3.920,2.400,3.88
4jfk,-19.212,-0.403,5.750,-14.330,-0.902,-0.410,0.452,-1.141,-6.514,3.827,10.300,6.44
3wz7,-20.530,-3.372,7.000,-13.037,-2.341,-0.350,1.235,-1.787,-2.329,2.930,11.200,5.74
2iuz,-19.116,-0.234,7.017,-12.371,-0.616,-0.016,0.552,-0.674,-18.800,6.944,3.400,5.55
4g0q,-16.178,-8.143,8.192,-6.417,-2.939,-0.777,1.328,-0.851,17.686,1.975,12.800,2.52
2wzs,-9.279,-3.461,6.117,-6.679,-3.269,0.083,0.467,-0.261,32.914,-0.000,11.300,3.85
4jyb,-19.494,-9.273,17.350,-12.245,-5.054,0.101,3.026,-1.802,27.200,-0.000,19.800,6.96
2zxg,-12.568,2.668,9.850,-12.105,-2.407,-0.093,1.950,-2.630,-3.686,1.981,18.700,8.82
4owv,-5.014,-0.948,3.533,-4.732,-0.555,0.461,0.288,-0.122,-0.086,-0.000,0.000,4.35
4m13,-23.226,-1.171,9.058,-15.185,-3.401,-0.855,1.178,-1.039,1.043,5.246,7.400,6.7
1usn,-13.348,0.824,5.075,-8.262,-2.134,-0.954,1.229,-1.507,-14.543,2.791,3.800,7.74
2psu,-20.467,-1.244,7.933,-14.479,-2.016,-0.582,1.549,-3.045,-2.414,2.993,20.300,7.62
1odj,-15.441,-1.044,11.617,-10.388,-2.231,-0.291,1.248,-0.956,-39.086,0.911,11.100,4.1
4lm2,-6.776,-0.140,1.975,-5.289,-0.648,-0.026,0.130,-0.061,8.900,2.177,3.000,3.03
3daz,-5.795,0.485,5.175,-5.928,-0.732,-0.450,0.428,0.471,2.571,0.654,1.500,7.93
3rz1,-9.959,0.908,5.425,-7.350,-0.584,-0.354,0.729,-0.814,15.314,5.462,10.200,8.74
2qx0,-11.690,-0.731,7.550,-7.382,-2.279,-0.073,0.177,-0.114,-15.014,1.790,1.500,6.11
4zb6,-30.672,-5.894,15.042,-14.717,-6.211,-4.251,3.924,-4.185,-3.057,1.226,31.200,6.28
3fvn,-16.984,-3.778,10.442,-10.936,-5.249,-1.026,1.315,-1.001,28.700,-0.000,14.800,6.77
3f70,-9.181,-2.931,1.867,-3.725,-1.447,-0.845,0.252,-0.287,-5.629,0.357,14.400,4.85
