name,total,SMoG2016_KBP2016,SMoG2016_LJP,SMoG2016_Rotor,SMoG2016_lnMass,affinity
2z1w,-6.788,-115.886,28.219,3,5.328,4.08
1xh5,-12.110,-332.354,143.546,9,6.379,5.47
3s6t,-8.333,-190.157,84.547,7,5.867,7.35
3b67,-10.615,-279.188,126.234,8,6.163,8.85
3fas,-5.744,-103.305,49.029,4,5.011,6.77
3m3z,-6.745,-153.660,112.669,6,5.867,5.73
2uyq,-7.012,-122.919,41.158,1,5.468,5.68
1xd0,-12.963,-392.443,208.361,12,6.697,7.12
3djo,-5.996,-109.515,77.517,4,5.781,4.39
1b05,-8.702,-219.937,89.519,16,5.941,7.12
4lps,-7.119,-153.308,100.034,6,6.107,5.74
3iph,-10.444,-252.355,73.209,8,5.850,7.6
4mjp,-6.990,-132.322,59.979,3,5.642,3.88
4jfk,-8.955,-242.466,160.358,8,6.305,6.44
3wz7,-10.715,-268.668,91.074,11,6.189,5.74
2iuz,-9.060,-209.267,96.629,3,5.977,5.55
4g0q,-5.793,-95.590,63.245,4,5.778,2.52
3p9m,-11.460,-387.500,198.568,38,6.811,5
2wzs,-7.016,-140.690,67.957,1,5.319,3.85
4jyb,-7.568,-167.586,99.988,8,6.269,6.96
2zxg,-8.203,-192.032,88.262,11,6.036,8.82
4owv,-5.574,-83.853,29.665,1,4.920,4.35
4m13,-11.476,-281.465,71.634,7,5.867,6.7
1usn,-6.907,-132.862,64.980,8,6.057,7.74
2psu,-10.948,-289.034,100.074,16,6.248,7.62
1odj,-7.866,-162.828,70.448,2,5.667,4.1
4lm2,-6.419,-109.477,36.038,1,5.112,3.03
3daz,-5.453,-73.601,36.455,2,5.468,7.93
3rz1,-6.548,-144.142,107.476,8,6.068,8.74
2qx0,-5.724,-92.165,50.910,1,5.273,6.11
4zb6,-8.011,-228.421,133.168,25,6.420,6.28
3fvn,-7.977,-187.388,101.092,4,5.628,6.77
3f70,-5.389,-78.337,19.158,6,5.088,4.85
2gj5,-8.396,-170.411,44.301,8,5.962,8.32
1szd,-10.103,-242.015,89.813,9,6.326,4.54
1d4y,-10.846,-289.046,126.616,12,6.401,11.1
4xu3,-10.432,-281.847,127.177,13,6.241,9.5
3rm4,-9.623,-212.576,59.851,5,5.906,5.77
1wm1,-8.010,-159.783,42.334,3,5.412,6.3
2y7x,-10.888,-261.226,90.994,4,6.161,8.89
2ans,-7.575,-143.905,49.912,3,5.701,5.92
1td7,-7.084,-130.693,47.913,4,5.642,4.37
2wc4,-9.766,-236.163,84.480,7,5.809,5.29
2xde,-8.145,-183.162,82.922,9,6.053,5.47
4pzv,-9.526,-251.499,139.212,11,6.452,5.7
1d09,-7.113,-174.143,112.476,7,5.541,7.57
4j74,-8.171,-160.347,50.199,2,5.721,4.59
3q6z,-9.093,-216.490,101.093,9,6.326,3.72
3ozj,-7.807,-199.333,144.125,2,5.717,5.11
3ml5,-5.312,-64.904,22.164,3,5.403,8.52
3a2o,-11.490,-309.934,118.521,14,6.343,9.08
4a6l,-10.465,-235.664,61.255,4,5.999,8
3jyr,-13.016,-367.922,160.884,9,6.471,5.54
4u5o,-6.199,-121.510,68.802,9,5.747,2.42
2pqz,-13.220,-349.162,104.645,10,6.332,5.67
1yda,-4.989,-65.933,42.939,3,5.403,6.55
1mfi,-7.095,-146.330,65.637,2,5.204,5.59
2qtt,-8.444,-180.483,66.414,2,5.588,4.32
2ha2,-8.932,-206.210,57.235,11,5.671,4.66
4b34,-5.735,-89.251,37.595,0,5.011,3.14
1nw5,-9.505,-223.280,83.169,7,5.992,5.21
2exm,-7.610,-138.822,22.488,3,5.314,4.11
4k4j,-12.242,-291.299,48.547,4,5.684,6.12
3p58,-5.983,-93.345,31.231,3,5.283,7.6
1ec3,-13.358,-395.012,141.455,25,6.644,9.04
4ayu,-4.621,-50.421,24.843,2,5.057,4.73
3r16,-6.764,-114.775,35.251,5,5.690,7.3
4k5p,-5.531,-103.195,82.591,3,5.443,3.46
3nb5,-6.988,-129.560,51.606,7,5.908,7.74
