name,average_score,HPSCORE,HMSCORE,HSSCORE,xscore_VDW,xscore_HB,xscore_HP,score_HM,xscore_HS,xscore_RT,affinity
2z1w,5.32,5.18,5.56,5.22,370.1,3.2,30.0,1.24,111.6,3.0,4.08
1xh5,8.59,8.47,9.04,8.27,946.5,4.2,133.1,4.01,280.0,3.0,5.47
3s6t,6.14,5.87,6.60,5.94,497.1,6.7,36.1,1.95,124.0,4.0,7.35
3b67,7.18,7.17,7.45,6.93,828.2,2.5,58.3,1.84,115.8,4.0,8.85
3fas,5.24,5.15,5.46,5.10,328.7,8.2,21.4,0.36,53.0,4.0,6.77
3m3z,5.38,5.42,5.50,5.21,533.5,2.8,0.0,0.00,0.0,5.0,5.73
2uyq,5.10,5.04,5.30,4.97,368.7,3.5,0.0,0.00,0.0,1.0,5.68
1xd0,7.89,7.83,8.27,7.59,1059.5,13.6,16.3,0.65,27.1,12.0,7.12
3djo,4.86,4.84,4.99,4.75,335.8,4.6,5.5,0.00,26.1,4.0,4.39
1b05,6.48,6.44,6.59,6.41,700.8,8.0,54.7,1.49,194.5,12.0,7.12
4lps,5.76,5.64,6.06,5.57,488.9,10.1,0.0,0.00,0.0,5.0,5.74
3iph,7.55,7.45,7.82,7.38,686.5,3.0,143.2,3.85,340.4,3.0,7.6
4mjp,6.26,5.82,7.04,5.94,404.6,2.5,89.8,4.89,270.6,3.0,3.88
4jfk,6.91,7.03,7.06,6.64,746.3,1.4,105.3,2.70,212.6,7.0,6.44
3wz7,7.29,7.27,7.58,7.03,713.8,1.9,144.1,4.24,334.7,7.0,5.74
2iuz,5.73,5.77,5.83,5.59,617.0,0.9,0.0,0.00,0.0,3.0,5.55
4g0q,4.93,4.86,5.19,4.74,318.9,5.0,6.0,0.34,10.1,3.0,2.52
3p9m,8.81,8.60,9.31,8.51,1133.1,11.2,171.8,6.48,519.6,25.0,5
2wzs,5.31,5.17,5.59,5.16,356.0,6.8,0.0,0.00,0.0,1.0,3.85
