name,AutoDock4.1Score,estat,hb,vdw,dsolv,tors,affinity
1h23,-11.5108,-1.5740,-1.2947,-15.8414,2.7248,4.4745,8.35
3b1m,-9.5493,-0.0922,-0.1282,-13.6795,1.9643,2.3864,8.48
4jxs,-8.3209,-1.5393,-3.1631,-8.8614,3.4531,1.7898,4.74
2pog,-9.3289,-0.4040,-1.5182,-9.1328,0.8313,0.8949,9.54
1bcu,-5.3435,-0.1496,-0.8056,-7.4393,2.7527,0.2983,3.28
3d6q,-2.8584,0.0635,-1.6051,-5.8265,3.0181,1.4915,3.76
3twp,-3.8170,-0.5297,-1.0131,-4.5227,1.6520,0.5966,3.92
3myg,-4.8145,0.3881,-1.1214,-11.0303,4.2644,2.6847,10.7
3coy,-3.1380,-0.2526,-4.4496,-8.3393,6.9204,2.9830,6.02
4qac,-11.7343,-1.2691,-1.7737,-12.9339,3.0493,1.1932,9.4
4crc,-2.6431,0.1149,-0.6056,-8.8324,3.9953,2.6847,8.72
3u8k,-7.6667,-1.0798,-1.0903,-8.7099,2.6167,0.5966,8.66
4k18,-5.8867,0.3231,-0.0741,-10.4163,2.7891,1.4915,8.96
3g2z,-4.082,0.0655,-1.9795,-5.4466,2.3837,0.8949,2.36
2yge,-6.9577,-0.1551,-1.0095,-11.1613,3.5785,1.7898,5.06
4w9l,-10.5190,-0.4026,-2.6944,-13.8154,3.1121,3.2813,5.02
2cet,-9.9189,-1.2338,-4.3972,-11.1500,4.4757,2.3864,8.02
2ymd,-10.1137,-2.2569,-2.9982,-8.7929,2.7411,1.1932,3.16
3f3a,-7.1197,-0.9944,-2.1541,-8.8612,3.6969,1.1932,4.19
4lzs,-5.2864,-0.1130,-1.1337,-5.9151,0.9806,0.8949,4.8
3ozs,-9.2070,-0.3719,-2.7958,-16.0006,6.6799,3.2813,5.33
2xys,-10.0450,-1.2640,-0.5046,-9.9461,1.3714,0.2983,7.42
1c5z,-5.5841,-0.2774,-2.2341,-6.1173,2.4482,0.5966,4.01
3nw9,-10.4640,-0.2590,-2.8089,-17.6829,7.3038,2.9830,9
1z9g,-4.7089,0.6008,-1.7496,-7.4712,2.1213,1.7898,5.64
5c1w,-5.0734,-0.0169,-0.3890,-5.7219,0.7562,0.2983,5.06
2iwx,-6.8151,-0.3341,-0.6195,-8.6166,2.1584,0.5966,6.68
1vso,-7.8836,-2.9598,-3.8948,-7.8449,3.8329,2.9830,4.72
4de2,-7.4835,-0.1713,-2.0313,-10.6509,3.8785,1.4915,4.12
3oe4,-5.4699,-0.2904,-3.4315,-12.0988,7.3679,2.9830,7.47
4llx,-2.7739,-0.2841,-0.6062,-3.7229,1.5411,0.2983,2.89
4pcs,-8.1785,-2.3460,-2.6851,-7.2707,2.9300,1.1932,7.85
4tmn,-8.6212,0.4816,-4.0934,-14.6767,5.1928,4.4745,10.17
5a7b,-6.8673,-0.4706,-0.0087,-11.3701,1.9990,2.9830,3.57
2vkm,-16.4948,-1.9631,-2.8228,-22.3827,5.9010,4.7728,8.74
4kzu,-11.0479,-0.1536,-0.7678,-11.6594,1.5329,0.0000,6.5
4f3c,-10.4846,-1.9400,-2.4019,-13.4166,4.8875,2.3864,11.82
1owh,-8.0623,-1.0737,-2.7610,-9.7646,3.7472,1.7898,7.4
4f9w,-5.6842,0.3114,-0.1018,-8.7808,1.9920,0.8949,6.94
1qkt,-9.0946,-0.4122,-1.2040,-8.4865,0.4114,0.5966,9.04
1mq6,-11.0033,-0.1430,-0.9049,-17.1813,4.8396,2.3864,11.15
4owm,-3.5988,-0.8599,-0.2992,-4.8760,1.8396,0.5966,2.96
1o0h,-8.2972,-3.7745,-3.9054,-8.6727,5.6690,2.3864,5.92
3dx2,-8.8794,-3.2606,-3.3112,-7.6018,3.8027,1.4915,6.82
4m0z,-12.1146,-0.2741,-3.3204,-13.5483,3.8350,1.1932,5.19
3gy4,-5.0228,-0.2807,-2.0855,-6.6651,3.1136,0.8949,5.1
4cra,-10.3486,-0.4479,-2.7418,-14.6618,4.8182,2.6847,7.22
3n76,-10.9076,-0.4199,-4.4596,-13.4823,4.7695,2.6847,6.85
4j21,-9.9325,-0.1908,-1.3491,-11.2809,2.2918,0.5966,7.41
2zb1,-8.6777,0.0892,-0.3712,-12.2215,2.3343,1.4915,6.32
3b68,-11.2798,-0.8044,-1.3513,-15.5195,3.7107,2.6847,8.4
4bkt,-6.5525,-0.2800,-2.1825,-7.4867,2.2035,1.1932,3.62
3b27,-5.3524,-0.8462,-0.6749,-6.9975,2.5696,0.5966,5.16
4mme,-8.8115,-0.1656,-1.1084,-10.8105,2.6764,0.5966,6.5
3arp,-6.4280,-0.0225,-0.0014,-12.3237,2.0417,3.8779,7.15
4e5w,-8.8644,-0.1519,-0.9415,-12.7053,4.0395,0.8949,7.66
3fcq,-1.9565,2.4830,-1.1466,-6.4577,2.2699,0.8949,2.77
3b5r,-10.3220,-0.2268,-1.1701,-13.6631,2.6498,2.0881,8.77
4gid,-17.7599,-2.3585,-3.2860,-23.1504,5.9640,5.0711,10.77
3ebp,-6.7271,-0.2444,-0.0078,-10.2556,2.2891,1.4915,5.91
3u9q,-5.9008,-0.7748,-1.4828,-6.5958,0.5662,2.3864,4.38
3e93,-14.4062,-0.5714,-1.8627,-16.0343,2.5707,1.4915,8.85
4w9c,-8.0292,-0.2846,-2.1681,-10.1077,2.4431,2.0881,4.65
4jia,-6.0680,0.2352,-0.4414,-10.2276,2.8743,1.4915,9.22
1nc1,-8.4109,-0.6134,-2.6881,-12.0200,5.1209,1.7898,6.12
3k5v,-5.3808,0.0097,-0.0256,-9.5318,2.3771,1.7898,6.3
2wer,-7.6652,-0.5532,-0.8944,-9.5865,2.7723,0.5966,7.05
2wbg,-7.5581,-1.3192,-2.7433,-10.8688,4.0918,3.2813,4.45
4w9i,-9.4483,-0.3347,-2.2285,-11.5756,2.6025,2.0881,5.96
1gpn,-9.2754,-0.9059,-0.5296,-9.8984,2.0585,0.0000,6.48
3aru,-4.1711,-0.0874,-0.4101,-7.0823,1.9173,1.4915,3.22
3dx1,-7.4029,-2.8365,-3.2031,-6.0752,3.5188,1.1932,3.58
1z95,-10.0407,-0.2329,-1.0289,-13.2445,2.3776,2.0881,7.12
4mgd,-8.3045,-0.4763,-1.4471,-8.8936,1.0209,1.4915,4.69
2fvd,-8.4543,-0.2811,-1.7302,-12.0061,3.7733,1.7898,8.52
3pxf,-6.3557,-1.5739,-0.7761,-5.3363,0.4356,0.8949,4.43
4cr9,-4.9485,-0.1380,-0.9808,-7.0360,2.6097,0.5966,4.1
5c28,-4.2396,-0.0452,-0.4926,-5.5019,1.2036,0.5966,5.66
3cyx,-13.2402,-1.0599,-2.6146,-18.5033,4.7614,4.1762,8
3gnw,-10.5247,-0.3256,-1.6270,-14.0048,3.6428,1.7898,9.1
3f3c,-8.1416,-1.2657,-2.8610,-8.9215,3.7135,1.1932,6.02
1k1i,-8.7952,-0.6215,-3.9095,-11.1550,4.2061,2.6847,6.58
1oyt,-9.9630,-0.4775,-2.1382,-12.6471,3.8083,1.4915,7.24
2al5,-11.1473,-3.0534,-5.0994,-9.4965,5.3088,1.1932,8.4
3n86,-11.3983,-0.3446,-4.4989,-14.2228,5.2815,2.3864,5.64
3uev,-3.7692,-0.4979,-0.0359,-5.8969,-0.9180,3.5796,5.89
2r9w,-6.2503,-0.5146,-2.1818,-9.0672,3.4252,2.0881,5.1
4ih7,-6.6546,-0.1199,-1.1079,-7.2281,1.2046,0.5966,5.24
3uex,-3.6768,0.0790,-0.1441,-7.0818,-1.3027,4.7728,6.92
2brb,-6.0290,0.0126,-0.2068,-9.5993,2.5712,1.1932,4.86
3kgp,-3.7226,-1.1410,-0.3209,-5.9701,2.8144,0.8949,2.57
1y6r,-10.5965,-2.0326,-3.4451,-12.7754,5.8668,1.7898,10.11
