name,AutoDock4.1Score,estat,hb,vdw,dsolv,tors,affinity
2z1w,-5.3087,-0.5702,-1.8014,-7.0042,3.1723,0.8949,4.08
1xh5,-14.5161,-2.3244,-2.6450,-17.0529,5.1198,2.3864,5.47
3s6t,-7.9348,-0.8978,-3.3254,-10.0663,3.9684,2.3864,7.35
3b67,-9.5679,-0.8329,-1.3943,-13.9172,4.1901,2.3864,8.85
3fas,-8.1505,-2.9562,-4.5024,-6.9560,4.1760,2.0881,6.77
2uyq,1.4562,-0.3812,-1.7462,-1.2494,3.9381,0.8949,5.68
1xd0,-13.0506,-4.3230,-7.3029,-19.2529,9.4758,8.3524,7.12
3djo,-4.3549,-1.2784,-2.3086,-6.5380,3.3837,2.3864,4.39
1b05,-12.0887,-5.0343,-5.2360,-13.9085,6.7207,5.3694,7.12
4lps,-9.4918,-2.5815,-5.9171,-10.4735,6.7956,2.6847,5.74
3iph,-10.1296,-0.2163,-1.7019,-12.3820,2.3807,1.7898,7.6
4mjp,-7.8827,-1.3003,-1.5638,-7.1683,1.2549,0.8949,3.88
4jfk,-10.8468,-0.1886,-0.9033,-14.3302,2.1888,2.3864,6.44
3wz7,-12.8610,-3.2647,-2.4707,-13.0374,3.5254,2.3864,5.74
2iuz,-8.2169,-0.0862,-0.6333,-12.4743,4.0820,0.8949,5.55
4g0q,-9.0931,-5.0271,-2.9362,-6.4721,3.2541,2.0881,2.52
3p9m,-14.0501,-3.7631,-7.1935,-21.3207,8.0849,10.1422,5
2wzs,-5.2198,-0.4490,-3.2865,-6.7170,3.7412,1.4915,3.85
4jyb,-12.0469,-5.2460,-5.1201,-12.3879,7.4258,3.2813,6.96
2zxg,-7.3457,-0.3422,-2.8794,-12.2089,4.8035,3.2813,8.82
4owv,-4.2516,-0.8868,-0.5558,-4.7326,1.6254,0.2983,4.35
4m13,-13.2925,-0.2830,-3.4069,-15.2438,3.8513,1.7898,6.7
1usn,-5.5444,-0.2101,-2.3062,-8.2629,3.1466,2.0881,7.74
2psu,-8.9798,-0.4741,-2.0142,-14.4762,3.5102,4.4745,7.62
1odj,-6.8727,-1.4102,-2.7675,-10.5533,6.0686,1.7898,4.1
4lm2,-4.3550,-0.0294,-0.6476,-5.2898,1.0152,0.5966,3.03
3daz,-3.6268,-0.1038,-0.9514,-6.1438,2.0807,1.4915,7.93
3rz1,-3.9272,-0.1238,-1.0116,-7.4579,2.2797,2.3864,8.74
2qx0,-4.8662,-0.4947,-2.0248,-7.5192,4.2776,0.8949,6.11
4zb6,-9.1238,-4.1586,-5.9410,-14.7454,8.8603,6.8609,6.28
3fvn,-9.5291,-2.1493,-4.5209,-10.9364,5.6911,2.3864,6.77
3f70,-4.0417,-2.5994,-1.4372,-3.7266,1.6334,2.0881,4.85
2gj5,-5.0399,-0.1319,-0.0089,-6.6188,-0.6666,2.3864,8.32
1szd,-4.8089,-1.0082,-4.1886,-12.4234,8.3368,4.4745,4.54
1d4y,-11.0218,-0.2584,-2.4575,-14.9245,2.7408,3.8779,11.1
4xu3,-12.5321,-0.7724,-3.4790,-19.7262,7.8658,3.5796,9.5
