name,cyscore,cyscore_hydrophobic,cyscore_Vdw,cyscore_HBond,cyscore_Ent,affinity
1h23,-5.2435,257.366,49.657,0.321,6,8.35
3b1m,-5.5538,298.451,48.674,-0.000,6,8.48
4jxs,-2.8032,138.049,26.597,1.429,4,4.74
2pog,-4.3312,286.073,29.383,-0.000,1,9.54
1bcu,-2.1478,52.476,24.610,6.929,0,3.28
3d6q,-1.1483,11.049,17.143,0.321,3,3.76
3twp,-1.6000,79.573,13.732,-0.000,0,3.92
3myg,-3.5410,175.976,34.597,1.714,6,10.7
3coy,-5.1584,268.280,47.136,0.036,6,6.02
4qac,-4.4222,248.988,36.304,0.536,3,9.4
4crc,-5.7850,252.537,58.090,-0.000,6,8.72
3u8k,-3.7482,261.841,26.242,0.107,4,8.66
4k18,-4.2521,241.159,35.951,1.429,4,8.96
3g2z,-0.8486,32.378,9.057,0.036,1,2.36
2yge,-3.5768,141.939,39.232,-0.000,6,5.06
4w9l,-5.0926,268.244,46.188,-0.000,6,5.02
2cet,-3.6525,190.463,32.471,6.500,4,8.02
2ymd,-3.3217,204.878,24.996,0.393,2,3.16
3f3a,-1.6767,42.659,21.057,0.000,3,4.19
4lzs,-2.0132,98.610,19.284,-0.000,3,4.8
3ozs,-5.4566,273.610,50.816,0.250,6,5.33
2xys,-3.7449,174.720,33.507,0.071,0,7.42
1c5z,-1.8873,88.439,16.413,10.571,0,4.01
3nw9,-6.3859,333.915,56.519,-0.000,6,9
1z9g,-3.2214,197.720,26.697,3.571,6,5.64
5c1w,-2.1459,130.866,16.157,-0.000,1,5.06
2iwx,-3.5783,206.134,27.362,-0.000,0,6.68
1vso,-2.0408,114.939,19.768,10.107,6,4.72
4de2,-3.0928,151.244,29.871,0.536,4,4.12
3oe4,-5.0769,266.622,45.545,-0.000,6,7.47
4llx,-1.0698,47.683,9.838,-0.000,0,2.89
4pcs,-2.3583,111.220,21.872,7.536,2,7.85
4tmn,-5.6381,318.305,47.904,5.929,6,10.17
5a7b,-3.8136,161.598,40.326,-0.000,6,3.57
2vkm,-8.0292,391.341,74.019,2.464,6,8.74
4kzu,-4.3323,211.585,38.251,-0.000,1,6.5
4f3c,-5.2087,303.756,43.171,11.821,6,11.82
1owh,-2.7615,86.524,31.077,12.036,3,7.4
4f9w,-4.0327,241.427,31.545,0.821,3,6.94
1qkt,-4.1212,262.110,28.578,-0.000,0,9.04
1mq6,-6.1264,297.841,57.654,0.000,6,11.15
4owm,-1.6970,75.415,15.470,4.000,0,2.96
1o0h,-2.1920,88.268,25.394,3.571,6,5.92
3dx2,-2.5958,135.476,22.216,12.857,2,6.82
4m0z,-5.3136,286.012,46.061,-0.000,4,5.19
3gy4,-2.1094,81.122,20.500,10.607,0,5.1
4cra,-4.9378,247.171,46.268,4.464,6,7.22
3n76,-4.7839,295.232,37.899,-0.000,6,6.85
4j21,-3.7082,162.061,35.091,-0.000,1,7.41
2zb1,-5.1376,310.207,40.636,-0.000,4,6.32
3b68,-6.6938,410.037,52.474,1.714,6,8.4
4bkt,-2.3304,94.488,24.371,-0.000,3,3.62
