name,dockingscore,gscore,evdw,ecoul,lipo,hbond,metal,rewards,erotb,esite,emodel,energy,eff_state_penalty,einternal,ligand_efficiency,ligand_efficiency_ln,ligand_efficiency_sa,affinity
2z1w,-6.78836130878834,-6.78836130878834,-18.497838973999,-6.72341012954712,-1.50232894046953,-0.55684445531678,-0,-2.96024516838143,0.391225992311749,-0.226765268800333,0,-25.2212491035461,0,0,-0.452557420585889,-1.83070911682116,-1.11610257396929,4.08
1xh5,-12.8457657203601,-12.8457657203601,-65.0670852661133,-21.6846332550049,-3.91621797755365,-0.918944735844197,-0,-1.78019446774172,0.436676488769608,-0.161035776433727,0,-86.7517185211182,0,0,-0.298738737682793,-2.69801004121181,-1.04660071284812,5.47
3s6t,-7.2041697942647,-7.2041697942647,-24.7921524047852,-29.0083236694336,-0.636993528681614,-0.453561920171124,-0,-1.25279737241371,0.535359049034136,-0.156568401793128,0,-53.8004760742188,0,0,-0.288166791770588,-1.70760413278809,-0.842604809797012,7.35
3b67,-11.1097092781496,-11.1097092781496,-46.4776191711426,-11.5051097869873,-4.34423906359856,-0.199726554651256,-0,-2.87550733636364,0.449793136548668,-0.090382033479569,0,-57.9827289581299,0,0,-0.347178414942174,-2.48776674661493,-1.10222276092638,8.85
3fas,-6.81254482941089,-6.81254482941089,-9.53650760650635,-21.2314968109131,-0.0618560007242672,-0.902601611362028,-0,-3.31,1.38459848801929,-0.261135803381603,0,-30.7680044174194,0,0,-0.681254482941089,-2.06279161250461,-1.4677182896615,6.77
3m3z,-5.739991806067,-5.739991806067,16.0403575897217,-18.9905643463135,-1.2012472015469,-0.304,-0,-2.79999640909091,0.611818577031743,0,0,-2.9502067565918,0,0,-0.22959967224268,-1.36055007171166,-0.671353513605122,5.73
2uyq,-6.0332949367103,-6.0332949367103,-20.2241458892822,-12.8076610565186,-0.443486947865347,-0.48,-0,-2.44256839244729,0.306278133440904,-0.0411612768966675,0,-33.0318069458008,0,0,-0.354899702159429,-1.5739522941152,-0.912547069830818,5.68
1xd0,-7.87535488995139,-7.87535488995139,-23.9772396087646,-54.6698417663574,-1.77874226834412,-0.482627448526279,-0,-0.514217268700681,0.19192649879611,-0.0928324227381918,0,-78.6470813751221,0,0,-0.143188270726389,-1.57276430359722,-0.544538185783707,7.12
3djo,-6.01736430095924,-6.01736430095924,-8.42741680145264,-18.3314437866211,-0.683004498528119,-0.625898708942302,-0,-2.14735859409648,0.712666992489741,-0.102682083816288,0,-26.7588605880737,0,0,-0.286541157188535,-1.48778116418271,-0.790545325293396,4.39
1b05,-10.8269631567458,-10.8269631567458,-37.2190055847168,-39.6802711486816,-1.44497640879223,-1.85672535994524,-0,-2.60391291005975,1.22508680638682,-0.285485005099579,0,-76.8992767333984,0,0,-0.433078526269832,-2.56631472605242,-1.26632929149336,7.12
