name,dockingscore,XP_GScore,evdw,ecoul,XP_LipophilicEvdW,XP_PhobEn,XP_PhobEnHB,XP_PhobEnPairHB,XP_HBond,XP_Electro,XP_Sitemap,XP_PiCat,XP_PiStack,XP_ClBr,XP_LowMW,XP_Zpotr,XP_Penalties,XP_HBPenal,XP_ExposPenal,XP_RotPenal,emodel,energy,eff_state_penalty,einternal,ligand_efficiency,ligand_efficiency_ln,ligand_efficiency_sa,affinity
2z1w,-2.08330407865077,-2.08330407865077,-18.497838973999,-6.72341012954712,-2.28776761883766,0,-0.713213304665622,0,-1.21809724600546,-0.504255759716034,-0.527638438507859,0,0,0,-0.5,0,3.5,0,0,0.16766828908186,0,-25.2212491035461,0,0,-0.138886938576718,-0.561832759985697,-0.342524644575506,4.08
1xh5,-8.48109672073092,-8.48109672073092,-65.0670852661133,-21.6846332550049,-6.53489124960073,-1.275,-1.5,0,-2.47269160965918,-1.62634749412537,-0.537950637992643,0,0,0,0,0,4,0,1.27863719659489,0.187147074052103,0,-86.7517185211182,0,0,-0.197234807458859,-1.78129389957294,-0.690992041025795,5.47
3s6t,-7.57044464659522,-7.57044464659522,-24.7921524047852,-29.0083236694336,-1.64798245907549,-0.475,0,0,-3.27072809575607,-2,-0.0839312266573036,0,0,0,-0.322242466666666,0,0,0,0,0.229439601560311,0,-53.8004760742188,0,0,-0.302817785863809,-1.79442224916201,-0.885444576362077,7.35
3b67,-12.7020040160036,-12.7020040160036,-46.4776191711426,-11.5051097869873,-6.3349874384321,-2.7,0,0,-1.39690183829962,-0.862883234024048,-1.6,0,0,0,0,0,0,0,0,0.192768494752218,0,-57.9827289581299,0,0,-0.396937625500111,-2.84432494273569,-1.26019840711343,8.85
3fas,-9.11998396112876,-9.11998396112876,-9.53650760650635,-21.2314968109131,-0.445190729248893,0,0,-1.3,-4.57583034664922,-2.89236226081848,0,0,0,0,-0.5,0,0,0,0,0.593399375587838,0,-30.7680044174194,0,0,-0.911998396112876,-2.76146827540507,-1.96484098033095,6.77
3m3z,-4.38217776634807,-4.38217776634807,16.0403575897217,-18.9905643463135,-0.596034328307939,0,0,0,-1.84505498801749,-1.42429232597351,-0.456783629386701,0,0,0,-0.322220466666666,0,0,0,0,0.262207972004241,0,-2.9502067565918,0,0,-0.175287110653923,-1.03870745389501,-0.512542620282214,5.73
2uyq,-4.16020228407625,-4.16020228407625,-20.2241458892822,-12.8076610565186,-1.2658917818568,0,0,0,-2.01,-0.960574579238892,-0.554997985385405,0,0,0,-0.5,0,1,0,0,0.131262062404844,0,-33.0318069458008,0,0,-0.24471778141625,-1.08530413276555,-0.629238325668074,5.68
1xd0,-15.7134879837671,-15.7134879837671,-23.9772396087646,-54.6698417663574,-2.79173313355362,0,0,0,-10.6251493855101,-2,-0.457082016622827,0,0,0,0,0,0,0,0.078222334881196,0.0822542170382504,0,-78.6470813751221,0,0,-0.285699781523037,-3.13809515015078,-1.0865026857307,7.12
3djo,-6.43657352889769,-6.43657352889769,-8.42741680145264,-18.3314437866211,-1.04079827660223,0,-1,0,-2.80915342581128,-1.37485828399658,-0.234476288817585,0,0,0,-0.419395733333333,0,0,0,0.136679756459642,0.305428723203679,0,-26.7588605880737,0,0,-0.306503501376081,-1.59142979869848,-0.845619919233763,4.39
1b05,-11.1942337120651,-11.1942337120651,-37.2190055847168,-39.6802711486816,-2.97752379608369,-0.275,0,0,-4.8,-3.3,-0.631812539581727,0,0,0,-0.2349346,-3,3.5,0,0,0.525037223600312,0,-76.8992767333984,0,0,-0.447769348482604,-2.65336885387349,-1.30928551618634,7.12
