name,Gold.Goldscore.Fitness,Gold.Goldscore.Internal.Vdw,Gold.Goldscore.Internal.Torsion,Gold.Goldscore.External.Vdw,Gold.Goldscore.Internal.HBond,Gold.Goldscore.External.HBond,affinity
4u4s,38.2942,-3.4136,-1.0792,30.3584,0,1.0441,2.92
3e93,84.2767,-6.6845,-6.845,66.3786,0,6.5356,8.85
1owh,37.2098,-8.0791,-4.7633,31.6736,0,6.5011,7.4
3rr4,73.246,-1.9478,-2.4047,40.7441,0,21.5753,4.55
3jya,44.7781,0,0,32.1672,0,0.5482,6.89
4k18,28.5082,-35.641,-0.9053,44.7895,0,3.4689,8.96
2qbp,56.807,-0.3151,-18.4227,50.3319,0,6.3384,8.4
4gfm,42.2634,-0.7276,-5.4695,32.5016,0,3.7709,7.22
4owm,-10.8884,-35.9502,-0.631,18.5162,0,0.233,2.96
3gv9,13.6976,-11.4837,-0.9592,16.6987,0,3.1798,2.12
2wnc,58.1822,-2.98,-2.0055,42.0124,0,5.4006,6.32
2xii,73.5811,-7.9336,-6.5992,45.9723,0,24.902,7.2
3gc5,95.2531,-2.4241,-2.2459,47.1143,0,35.141,7.26
3fcq,47.4304,1.6884,-6.1623,23.7131,0,19.2988,2.77
3pyy,55.247,-1.0883,-1.943,40.9296,0,2,6.86
3prs,74.9843,-7.9951,-12.044,61.4603,0,10.5155,7.82
2xbv,79.7406,-2.8095,-11.7719,67.5541,0,1.4352,8.43
3nx7,35.3685,-3.5724,-7.4931,31.544,0,3.061,8.1
4j28,48.2145,-1.556,-3.0519,27.1524,0,15.4878,5.7
2x00,54.898,-13.7462,-4.7935,53.1031,0,0.421,11.33
3dx1,43.6483,-6.5099,-8.0788,21.7311,0,28.3568,3.58
4ivd,58.8205,-5.6689,-4.8171,44.8112,0,7.6911,9.52
3mss,34.8948,-3.7583,-2.9332,30.2446,0,0,4.66
4abg,16.4258,-21.9825,-0.6134,24.5541,0,5.2597,3.57
3f3d,45.8377,-1.2372,-2.4119,27.0629,0,12.2754,7.16
2j7h,37.6192,-4.8677,-2.31,22.1413,0,14.3527,7.19
1o3f,-14.6888,-61.2786,-1.5179,31.8437,0,4.3226,7.96
3kgp,15.6311,-8.5191,-0.3849,16.9696,0,1.2019,2.57
2yki,87.6795,-0.1353,-4.9207,66.1006,0,1.8472,9.46
3ui7,48.6204,-0.7465,-2.795,36.9305,0,1.3824,9
2xdl,29.0614,-6.2069,-9.0514,31.6455,0,0.8071,3.1
