name,Gold.Goldscore.Fitness,Gold.Goldscore.Internal.Vdw,Gold.Goldscore.Internal.Torsion,Gold.Goldscore.External.Vdw,Gold.Goldscore.Internal.HBond,Gold.Goldscore.External.HBond,affinity
3fk1,47.3921,-4.6205,-4.08,17.1492,0,32.5124,2.62
4a7i,79.5833,-7.3093,-2.5265,55.7551,0,12.7558,8.7
2x8z,54.3799,1.5289,-3.0751,27.6473,0,17.9111,7.96
5bwc,19.2016,-23.4652,-14.3046,41.4338,0,0,7.21
4ymq,25.0924,-48.4877,-12.7959,61.7435,0,1.4786,5.8
4qy3,10.1161,-26.5674,-1.8589,25.8573,0,2.9886,6.82
3p3r,11.1232,-21.8726,-3.5837,26.6033,0,0,7.25
3f8c,45.1465,-34.3869,-1.4245,58.8784,0,0,7.68
1uv6,3.6783,-29.7954,-3.9203,27.1957,0,0,5.12
1yvm,30.6921,0.675,-0.2794,22.0338,0,0,6.4
2yay,144.0864,4.471,-2.9751,57.6328,0,63.3455,6.1
4ual,45.5415,-7.0511,-1.5269,39.2947,0,0.0892,8.4
3gcu,79.5676,-5.9181,-13.1942,67.3339,0,6.0957,6.78
4b6s,59.9044,-4.369,-5.0062,38.3263,0,16.5809,6.01
1fzm,106.3754,-27.6559,-14.4122,89.2691,0,25.6984,7.7
2p3i,3.4431,-38.1088,-3.6038,22.5022,0,14.2152,3.48
3ibn,29.545,-16.5441,-2.5325,27.0245,0,11.4629,7.61
1tni,26.424,-16.0313,-6.292,25.7411,0,13.3532,4
4hym,72.5058,-0.2423,-3.0385,46.9049,0,11.2925,8.22
2wos,41.439,-4.7559,-4.9085,36.7644,0,0.5523,3.9
3s72,33.6884,0.3844,-3.0048,23.4533,0,4.0604,6.4
3mzc,36.7043,-4.0907,-4.0806,28.9232,0,5.1062,6.65
4c1u,52.5761,-15.8018,-9.8911,44.2973,0,17.3602,7.09
3e85,18.0023,-7.1364,-0.8308,18.8869,0,0,5.38
4few,-4.8809,-53.2781,-1.2618,33.74,0,3.2665,5.21
4bb9,44.8122,-8.1465,-6.4871,31.6933,0,15.8675,6
4mr3,25.3268,-15.3044,-1.362,29.272,0,1.7442,5.94
3pe2,71.7271,-1.9868,-1.441,47.1444,0,10.3314,9.76
1hvl,82.1009,-22.1449,-8.9609,77.4874,0,6.6614,9.95
3eb1,-0.2325,-11.5054,-18.1706,17.0906,0,5.9439,4.79
4o61,-11.2504,-35.677,-4.6908,17.2219,0,5.4372,4.3
4qnb,84.2632,4.7794,-10.5724,59.7956,0,7.8372,6.59
2vo4,21.5465,-2.6219,-0.7253,18.1045,0,0,4.94
3l3n,68.8536,-12.6866,-8.3668,50.1898,0,20.8961,8.18
3mxe,74.7478,2.1499,-14.6077,60.1156,0,4.5466,10.01
2x2r,11.6636,-60.5949,-6.659,47.4302,0,13.701,7.12
1jev,98.1835,-18.4566,-6.9787,71.9759,0,24.6518,6.89
3fas,53.4962,-4.5854,-5.4593,23.9984,0,30.543,6.77
4zzz,4.9558,-41.5047,-5.7785,35.4249,0,3.5298,7.06
4k3n,55.1257,-1.2255,-1.8443,32.29,0,13.7969,7.96
4zwx,-4.8781,-21.9652,-17.6108,22.323,0,4.0037,8.7
4z2b,62.8887,-0.6316,-9.9692,53.3276,0,0.1641,7.76
1bcd,22.5295,0.8128,-0.3952,13.8958,0,3.0052,8.7
