name,London_dG,hbond,hbondA,metal,metal_r,ionP,ionN,aroalk,repulse,flex,p,l,affinity
1h23,-15.2756,0.526933,0,0,0,0,-0.18144,0.555895,0.000814931,2.1194,-5.41702,-5.44677,8.35
3b1m,-12.4006,2.67829e-007,0,0,0,0,0,0.303947,0,3.0112,-3.77408,-5.79885,8.48
4jxs,-13.5963,1.56257,0.693147,0,0,0.237385,-1.88407,0.106527,0,1.74413,-3.01984,-3.61128,4.74
2pog,-12.0916,1.31879,0.693147,0,0,0,0,0.03378,3.84684e-005,0.227633,-2.55546,-3.75289,9.54
1bcu,-8.76771,0.129933,0,0,0,0,-1.03019,0.185389,0,-0.232967,-2.05042,-2.54771,3.28
3d6q,-8.07879,0.530721,0,0,0,0.352633,0,0.000231278,0,0.550433,-1.79997,-2.17346,3.76
3twp,-7.44362,0.420652,0,0,0,0,-0.403444,0.182169,0.00014029,0.289633,-1.41047,-1.70929,3.92
3myg,-12.8533,0.516267,0,0,0,1.69288,0,0.463769,0.0216252,2.56323,-3.63212,-5.12816,10.7
3coy,-23.3363,4.46568,2.07944,0,0,1.46888,0,0.324095,0,1.57122,-5.29986,-5.95296,6.02
4qac,-14.385,0.747778,0,0,0,0,0,0.251347,0,0.702056,-4.75935,-4.86709,9.4
4crc,-16.8533,1.15974,0,0,0,0,-1.19907,0.294709,4.61715e-005,3.5037,-4.95065,-6.26927,8.72
3u8k,-11.9706,0.91682,0.693147,0,0,0.129188,0,0.574105,3.61935e-006,1.1058,-3.25443,-3.38211,8.66
4k18,-12.1314,0.170278,0,0,0,0,0,0.355642,0.00937585,2.11587,-3.59919,-5.13244,8.96
3g2z,-9.25337,1.2769,0,0,0,0,-0.596641,0.118934,0,0.781033,-1.42992,-1.85743,2.36
2yge,-12.0608,0.434879,0,0,0,0,0,0,0,1.2904,-4.01947,-4.28419,5.06
4w9l,-16.6001,1.66005,0.693147,0,0,0,0,0.481981,6.76969e-006,2.80221,-5.17093,-5.0592,5.02
2cet,-20.0157,3.40824,2.48491,0,0,0,-3.69039,0.287626,0.00499246,1.08063,-3.82724,-4.31253,8.02
2ymd,-13.6518,1.97889,0.693147,0,0,0,0,0.344541,0,0.6452,-2.96781,-3.35801,3.16
3f3a,-10.986,0.734187,0.693147,0,0,0.268949,-0.00841528,0.14016,0,0.896033,-2.69794,-3.7047,4.19
4lzs,-9.19054,0.705384,0,0,0,0,0,0.166641,0,1.5522,-2.16585,-2.61526,4.8
3ozs,-39.9586,3.59625,1.38629,1.61297,1.27418,6.71892,-37.569,0.330795,0.00275392,2.93222,-4.70129,-6.83903,5.33
2xys,-10.9569,0.235935,0,0,0,0,0,0.547793,0,0,-2.96205,-3.81518,7.42
1c5z,-10.3155,0.712134,0.693147,0,0,0,-2.44378,0.0672557,0.000157595,0.0566665,-2.16078,-2.29346,4.01
3nw9,-21.3404,2.77104,1.38629,0,0,0,0,0.458382,0.0183666,2.74743,-5.25683,-7.522,9
1z9g,-18.1111,0.332443,0,0.165829,0.0226796,4.20437,-17.2919,0.141718,0.0217228,1.83847,-2.23915,-3.33443,5.64
5c1w,-7.86967,0.105059,0,0,0,0,0,0.0858552,0,-0.00533353,-1.99651,-2.41606,5.06
2iwx,-11.0936,0.827089,0,0,0,0.397091,0,0.0651511,0,0,-2.70957,-3.50472,6.68
1vso,-17.5498,2.76601,0.693147,0,0,1.82705,-4.95122,0.0839896,0.000334936,1.32241,-3.2963,-3.28168,4.72
4de2,-15.5226,2.18879,0,0,0,0,-2.10452,0.170908,0,1.77027,-3.01844,-4.11747,4.12
3oe4,-42.3277,4.51359,1.38629,1.72695,1.26762,6.93895,-38.0269,0.414229,0.0142397,2.74743,-4.42583,-7.0011,7.47
4llx,-7.57982,0.516992,0,0,0,0,0,0.0652863,0,-0.232967,-1.50978,-1.76154,2.89
4pcs,-15.8028,2.10502,1.38629,0,0,1.29413,-5.69787,0.338466,0.000101289,0.750233,-2.76499,-2.63898,7.85
4tmn,-23.4231,1.11506,0,1.09795,0.203728,2.19933,-13.2339,0.205066,0.0504641,3.24277,-4.36879,-5.54597,10.17
5a7b,-11.4185,0.00452625,0,0,0,0,-0.351381,0.3576,0.00393317,2.6897,-4.02751,-4.26088,3.57
2vkm,-21.8797,0.654391,0,0,0,0.130393,-3.20747,0.375811,0.212244,4.7089,-7.89252,-8.74611,8.74
4kzu,-11.6811,0.343418,0,0,0,0,0,0.154328,1.04797e-005,0.289633,-3.65514,-4.08603,6.5
4f3c,-19.1231,2.28335,0.693147,0,0,0.961316,-2.90693,0.251544,0.00124573,1.3826,-4.44252,-5.54226,11.82
1owh,-12.8394,0.522709,0,0,0,0,-4.22551,0.107678,0.00088984,1.60887,-3.17919,-3.5752,7.4
4f9w,-11.9954,0.414831,0,0,0,0,0,0.502233,0,1.03987,-2.98656,-4.73663,6.94
1qkt,-11.0412,0.999804,0.693147,0,0,0,0,0.0417752,3.25974e-006,0,-2.46705,-3.37277,9.04
1mq6,-14.4912,0.0382567,0,0,0,0,0,0.41729,0.00124814,4.134,-5.75865,-5.95353,11.15
4owm,-7.78585,0.0235209,0,0,0,0,-1.89385,0.179925,0,0.289633,-1.60443,-1.90873,2.96
1o0h,-20.821,2.31723,1.38629,0,0,0,-11.9459,0.129348,0,0.520823,-3.11662,-3.91765,5.92
3dx2,-17.4265,3.14314,2.07944,0.567133,0.900271,5.81939,-8.56962,0.405655,0.000440146,0.2,-2.22772,-2.83784,6.82
4m0z,-16.2283,1.52017,1.38629,0,0,0,0,0.415569,0,2.0748,-4.58921,-5.46156,5.19
3gy4,-10.6035,0.769683,1.38629,0,0,0,-2.46167,0.0722042,0,0.0566665,-2.22296,-2.39011,5.1
4cra,-13.839,0.316354,0,0,0,0,-1.85232,0.165103,0.00141508,2.89323,-4.26765,-5.30012,7.22
3n76,-17.6599,2.35277,1.38629,0,0,0,-0.420093,0.0429098,0.04732,1.99587,-4.80773,-5.20277,6.85
4j21,-12.1272,0.574629,0,0,0,0,0,0.157524,0,0.5226,-3.68825,-4.08255,7.41
2zb1,-11.8836,0.0360707,0,0,0,0,0,0.346413,0.000574648,1.77027,-3.64628,-5.03335,6.32
3b68,-15.6639,0.473397,0,0,0,0,0,0.152994,0.000587491,2.91746,-4.97617,-7.04499,8.4
4bkt,-11.8641,1.67523,0.693147,0,0,0,0,0.285351,0,1.4746,-2.62862,-2.75124,3.62
3b27,-8.39977,0.0608197,0,0,0,0,0,0.124337,0,1.0296,-2.28717,-2.92418,5.16
4mme,-11.9868,0.47349,0,0,0,0.866307,-1.93828,0.181484,0.0143066,0.554033,-2.85267,-4.00794,6.5
3arp,-12.6243,0.00304109,0,0,0,0.203593,-0.201242,0.698626,7.07669e-005,2.0964,-4.43947,-4.6625,7.15
4e5w,-14.4099,0.343689,0,0,0,1.67466,-1.28017,0.531893,0,0.655266,-4.1983,-5.33067,7.66
3fcq,-15.6605,0.929545,0,0.312277,0.140181,3.76117,-11.763,0.0889078,6.49355e-005,0.812233,-1.66822,-2.88445,2.77
3b5r,-14.5153,0.602461,0,0,0,0,0,0.148324,0.0081488,2.86079,-4.46879,-6.14594,8.77
4gid,-23.3003,0.932485,0,0,0,0.00114913,-4.01598,0.332857,0.0626027,4.61413,-8.11988,-8.85219,10.77
3ebp,-10.3922,0.027725,0,0,0,0,-0.154423,0.172383,0,0.9832,-3.2454,-3.88953,5.91
3u9q,-10.2751,0.756649,0.693147,0,0,0,-0.868243,0.0514578,0,1.24143,-2.6992,-2.67929,4.38
3e93,-15.6475,0.351725,0,0,0,0,-0.0315027,0.54456,0.000589002,2.02307,-4.67488,-6.97688,8.85
4w9c,-13.1678,1.48424,0.693147,0,0,0,0,0.409656,0,1.86762,-3.42148,-3.60283,4.65
4jia,-11.0775,0.249523,0,0,0,1.47777,-0.470947,0.394049,0,1.7433,-2.86601,-4.2913,9.22
1nc1,-14.3362,1.38913,0.693147,0,0,0,0,0.169061,0.219853,0.7602,-3.67836,-4.93105,6.12
3k5v,-10.2453,0.000150279,0,0,0,0,0,0.244727,0,1.92962,-2.80277,-4.44523,6.3
2wer,-11.6578,0.831882,0,0,0,0.447367,0,0.0658391,0.000190416,0,-2.77807,-3.99031,7.05
2wbg,-20.5239,3.53461,2.48491,0,0,0,-2.79095,0.672896,0.0100416,1.3362,-4.2485,-4.27019,4.45
4w9i,-14.4052,1.64602,0.693147,0,0,1.02161,0,0.453586,0,2.22483,-3.81683,-4.15289,5.96
1gpn,-11.1299,0.341726,0,0,0,0,-0.353871,0.35259,7.28829e-005,0,-3.20634,-3.55069,6.48
3aru,-8.78152,0.0844017,0,0,0,0,0,0.172936,1.85937e-005,1.4286,-2.83155,-2.75011,3.22
3dx1,-14.7698,2.89001,1.38629,0.500711,0.844788,6.04628,-6.33545,0.336481,5.30922e-007,0,-1.49797,-2.53262,3.58
1z95,-13.7905,0.392449,0,0,0,0,0,0.186065,1.87308e-005,2.73526,-4.24355,-5.99393,7.12
4mgd,-12.7082,1.58743,0,0,0,0,0,0.0708872,0.000247677,-0.179911,-2.77693,-3.48775,4.69
2fvd,-12.7337,0.16084,0,0,0,0,0,0.204081,7.48292e-006,1.95467,-4.18889,-5.27212,8.52
3pxf,-10.9388,0.780139,0,0,0,0,-3.23608,0.291141,0,0.965823,-1.70457,-2.80883,4.43
4cr9,-9.06088,0.132658,0,0,0,0,-1.60474,0.109742,0,0,-2.21852,-2.50493,4.1
5c28,-7.92348,0.155908,0,0,0,0,0,0.103074,0,0.227633,-1.94187,-2.45482,5.66
3cyx,-19.3104,1.16201,0.693147,0,0,0,-2.24391,0.161546,5.39935e-008,4.17642,-6.29755,-7.12776,8
3gnw,-15.8694,1.07421,0,0,0,0,0,0.280688,9.15368e-006,1.4365,-4.91688,-5.66695,9.1
