name,London_dG,hbond,hbondA,metal,metal_r,ionP,ionN,aroalk,repulse,flex,p,l,affinity
2z1w,-12.1235,1.77777,0,0,0,0,0,0.100953,0,0.7834,-2.37987,-3.09265,4.08
1xh5,-21.5727,0.938473,0.693147,0,0,2.333,-7.16526,0.290285,0.00287121,2.7733,-6.01203,-7.23972,5.47
3s6t,-17.7456,3.29055,1.38629,0,0,0,0,0.45733,0,1.43423,-4.23632,-3.61392,7.35
3b67,-15.5727,0.503377,0,0,0,0,0,0.112272,0.00114041,2.39486,-4.92464,-6.87624,8.85
3fas,-17.5622,2.91967,1.38629,0,0,1.93583,-5.8777,0.138361,0,0.455666,-2.88345,-2.69851,6.77
3m3z,-14.0048,1.43535,0.693147,0,0,0,0,0.276484,0.0294436,1.9124,-3.59305,-4.5381,5.73
2uyq,-10.6586,1.37044,0,0,0,0,0,0.106894,0,0.4606,-2.04467,-2.70343,5.68
1xd0,-32.771,6.30354,2.77259,0,0,0.827783,-5.85689,0.190665,0.000164808,1.9368,-7.08203,-7.21218,7.12
3djo,-15.2474,2.34336,0,0,0,0.212845,-5.06893,0,0,0.37979,-2.07771,-2.86875,4.39
1b05,-20.4638,1.47161,0,0,0,0.553675,-7.95999,0.0569625,0,3.38343,-5.74006,-5.29844,7.12
4lps,-26.2612,4.9796,0.693147,0.145358,0.69412,2.16581,-15.4457,0.148161,0,0.520823,-2.90181,-4.54529,5.74
3iph,-12.6689,0.353501,0,0,0,0,0,0.227393,4.85143e-005,2.23087,-3.70684,-5.33909,7.6
4mjp,-11.3127,0.671764,0.693147,0,0,0.590872,-3.16072,0.159891,2.31196e-005,0.915866,-2.49514,-2.76738,3.88
4jfk,-15.3956,0.761569,0,0,0,0,0,0.477614,0.0361599,3.05843,-5.32163,-5.59565,6.44
3wz7,-16.0822,0.729298,0,0,0,0,-4.8201,0.187452,0,3.25483,-4.09657,-5.45729,5.74
2iuz,-13.2764,0.134479,0,0,0,0,0,0.305116,0.0170662,1.1522,-4.82636,-4.97645,5.55
4g0q,-17.5952,2.36732,1.79176,0,0,0,-8.01228,0.000325119,0.00157286,0.35659,-2.68597,-3.085,2.52
3p9m,-31.6384,5.14659,1.38629,0,0,1.97355,-4.94042,0.448242,1.22697e-006,9.32793,-8.52449,-8.71326,5
2wzs,-16.7934,3.55501,1.38629,0.155468,0.0869807,2.22971,-3.3548,0.00997193,0.000688528,0.1614,-1.83416,-2.95244,3.85
4jyb,-21.9868,3.36677,0,0,0,0.206404,-6.3135,0.168895,0,0.685056,-3.91441,-4.99791,6.96
2zxg,-24.3146,2.67213,0.693147,0.233008,0.159058,12.8525,-17.5842,0.172983,0,2.34673,-2.90175,-4.41349,8.82
4owv,-7.18021,0.0375554,0,0,0,0,-1.31256,0.130403,0,0.289633,-1.46108,-1.75854,4.35
4m13,-17.7573,1.71562,1.38629,0,0,0,0,0.336112,0,2.3512,-5.25452,-6.07227,6.7
1usn,-10.1464,0.398692,0,0.153714,0.0438697,0,0,0.011814,0,1.87923,-2.6609,-3.68263,7.74
2psu,-15.2551,1.15289,0.693147,0,0,0,0,0.14238,3.08315e-005,3.9219,-4.84733,-5.62834,7.62
1odj,-12.6349,0.988207,0.693147,0,0,0,0,0.108342,0,0.622,-3.30216,-4.2194,4.1
4lm2,-7.86813,0.350747,0,0,0,0,0,0.107743,0,0.507,-1.71057,-2.29546,3.03
3daz,-9.15157,0.203049,0,0.47261,0.0205709,1.22817,-0.827459,0.103467,0,1.07663,-1.42039,-2.76586,7.93
3rz1,-11.9431,0.478574,0,0.955278,0.0247607,0,0,0.100191,0,0.848156,-2.04919,-3.55425,8.74
2qx0,-9.3898,1.79322,0.693147,0.387545,0.90131,0,0,0,0,0.4606,-1.89843,-3.02798,6.11
4zb6,-27.097,3.56146,0.693147,0,0,6.92329,-13.3082,0.0588566,0,6.21033,-5.25681,-6.15661,6.28
3fvn,-19.982,3.50989,2.07944,0,0,3.17287,-3.75698,0.197586,0,0.881066,-3.96631,-3.946,6.77
3f70,-12.3082,0.979042,0,0,0,1.31404,-7.41661,0.306535,6.25432e-005,0.941833,-1.88163,-1.49273,4.85
2gj5,-8.73604,0.00115897,0,0,0,0,0,0.0794189,1.96295e-006,1.02723,-2.73874,-2.97262,8.32
1szd,-19.9404,2.3995,0.693147,0,0,0.292198,-2.63605,0.335205,0,1.38827,-4.72239,-5.89911,4.54
1d4y,-15.5503,0.655613,0,0,0,0,0,0.167651,0.00714979,3.21406,-5.29635,-6.30131,11.1
4xu3,-22.4784,2.36586,0.693147,0,0,0,0,0.259625,5.7939e-005,2.89543,-6.93253,-8.00643,9.5
3rm4,-15.2273,0.552127,0,0,0,0,-4.87062,0.353178,0,0.939466,-3.99593,-4.37717,5.77
