name,TOTAL_SCORE,SCORE_RB_PEN,SCORE_NORM_HEVATOMS,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,SCORE_NORM_CRT_WEIGHT,SCORE_RB_PEN_NORM_CRT_HEVATOMS,SCORE_NORM_CONTACT,PLPtotal,PLPparthbond,PLPpartsteric,PLPpartmetal,PLPpartrepulsive,PLPpartburpolar,LIG_NUM_CLASH,LIG_NUM_CONTACT,LIG_NUM_NO_CONTACT,CHEMpartmetal,CHEMparthbond,CHEMparthbondCHO,DON,ACC,UNUSED_DON,UNUSED_ACC,CHEMPLP_CLASH2,TRIPOS_TORS,affinity
2z1w,-51.5695,-45.5695,-3.4379699999999995,-20.9104,-0.251311,-8.74311,-18.4775,-3.4379699999999995,-28.6465,-2.0,-32.046,0.0,8.501669999999999,-0.0779709,4,11,0,0.0,-5.43981,0.0,0,6,0,5,0.0,0.409288,4.08
1xh5,-119.587,-105.587,-2.7810900000000003,-34.1345,-0.20314000000000002,-14.2688,-30.1384,-2.5444,-99.9278,-6.4595199999999995,-91.9882,0.0,1.04474,-0.0180435,9,34,0,0.0,-16.2704,-3.0,8,5,4,3,0.0,8.358310000000001,5.47
3s6t,-84.5003,-68.5003,-3.38001,-28.8987,-0.23915300000000003,-11.9526,-23.4268,-3.12964,-67.2138,-7.5782300000000005,-50.6728,0.0,0.0261341,0.0,1,24,0,0.0,-16.2555,0.0,5,7,3,3,0.0,8.09277,7.35
3b67,-105.796,-89.7962,-3.3061300000000005,-33.3237,-0.223072,-13.5663,-28.284000000000002,-3.11165,-104.557,-5.23577,-101.204,0.0,1.47455,0.0,8,24,0,0.0,-7.934830000000001,0.0,2,5,0,4,5.48387,7.89928,8.85
3fas,-86.5147,-72.5147,-8.65147,-40.1566,-0.58006,-16.3136,-33.6584,-6.65498,-39.9794,-10.9254,-23.2441,0.0,0.230519,0.0,1,9,0,0.0,-34.7619,0.0,5,4,2,0,0.0,2.93858,6.77
3m3z,-63.7897,-47.7897,-2.55159,-21.8158,-0.180527,-9.02294,-16.3439,-2.45345,-44.0766,-2.6665,-39.0421,0.0,0.755434,-0.00882802,6,19,0,0.0,-9.0,0.0,8,8,7,6,0.0,3.80519,5.73
2uyq,-60.2179,-54.2179,-3.5422300000000004,-23.4194,-0.25384,-9.72756,-21.086,-3.0109,-32.3978,-4.0,-22.5651,0.0,1.55839,0.0,2,15,0,0.0,-11.0841,0.0,6,6,3,5,0.0,1.2110299999999998,5.68
1xd0,-116.331,-60.3309,-2.11511,-30.5896,-0.143482,-12.4756,-15.8642,-1.78971,-98.3178,-20.0832,-71.8326,0.0,0.129084,-0.0977685,8,47,0,0.0,-40.7627,0.0,18,23,8,20,0.0,19.3873,7.12
3djo,-54.4487,-38.4487,-2.59279,-19.7355,-0.167956,-7.92605,-13.9361,-2.47494,-27.1868,-3.82869,-23.4087,0.0,0.730372,0.0,3,18,0,0.0,-12.0,-2.88637,5,8,4,5,0.0,3.4720800000000005,4.39
1b05,-107.556,-73.5558,-4.302230000000001,-36.7836,-0.28339699999999995,-14.8555,-25.1557,-3.3611199999999997,-68.7059,-12.2536,-55.4296,0.0,0.725155,0.0,4,21,0,0.0,-32.9317,0.0,11,4,3,1,0.0,5.65375,7.12
4lps,-116.494,-100.494,-4.16049,-38.3633,-0.264646,-15.314,-33.0942,-4.01702,-52.169,-14.468,-30.8893,-1.0,0.59428,-0.1,2,25,1,-12.0,-41.3091,0.0,6,11,4,4,0.0,3.3025300000000004,5.74
3iph,-98.8364,-86.8364,-3.8014,-33.3625,-0.284497,-14.0595,-29.3119,-3.6606099999999997,-81.2832,-3.0,-73.5304,0.0,0.32929200000000003,-0.07431189999999999,2,24,0,0.0,-9.0,0.0,3,3,2,1,0.0,4.61879,7.6
4mjp,-77.2327,-71.2327,-3.67775,-27.9938,-0.2745,-11.7864,-25.819000000000003,-3.67775,-49.7522,-4.0,-41.4271,0.0,0.042375199999999995,0.0,1,20,0,0.0,-12.574000000000002,0.0,0,2,0,0,0.0,1.8158299999999998,3.88
4jfk,-77.2111,-61.2111,-2.08679,-23.1711,-0.140991,-9.43735,-18.3695,-2.08679,-71.5375,-1.75708,-82.292,0.0,1.2878100000000001,-0.1,8,29,0,0.0,-3.08961,0.0,1,7,1,5,4.1912199999999995,4.74704,6.44
3wz7,-94.5962,-78.5962,-2.70275,-28.9191,-0.193992,-12.0183,-24.0277,-2.4255400000000003,-78.4351,-5.636369999999999,-70.3029,0.0,0.184789,0.0,4,31,0,0.0,-11.2799,0.0,5,2,1,2,0.190874,6.58397,5.74
2iuz,-112.29700000000001,-106.29700000000001,-4.010619999999999,-36.9814,-0.290637,-15.4181,-35.0055,-3.8723199999999998,-96.4964,-1.80205,-91.5088,0.0,0.111095,-0.0157757,6,22,0,0.0,-3.0,-2.35261,2,6,1,5,0.0,1.99656,5.55
4g0q,-79.4257,-67.4257,-3.7821800000000003,-28.7886,-0.24728899999999998,-11.5978,-24.4391,-3.7821800000000003,-42.2482,-7.295489999999999,-28.3443,0.0,0.381919,-0.1,0,21,0,0.0,-25.8666,0.0,4,8,4,4,0.0,2.5956,2.52
3p9m,-154.795,-86.7954,-2.4186799999999997,-38.6988,-0.17083900000000002,-15.9969,-21.6988,-2.24341,-127.779,-15.2106,-94.5686,0.0,0.461574,-0.1,2,62,0,0.0,-41.9819,0.0,14,12,8,5,0.0,14.5219,5
2wzs,-77.5384,-67.5384,-5.53845,-32.1717,-0.385372,-13.2324,-28.0226,-4.5610800000000005,-39.7797,-7.96052,-24.1449,-2.0,0.06990779999999999,0.0,1,13,0,-6.0,-14.433,0.0,5,4,1,2,0.0,0.079951,3.85
4jyb,-119.82799999999999,-99.8277,-3.74462,-37.7434,-0.23125,-14.9187,-31.4437,-3.6311400000000003,-69.1904,-15.1403,-40.6966,0.0,0.768999,0.0,1,30,1,0.0,-40.3759,0.0,7,13,5,7,0.0,3.23707,6.96
2zxg,-93.194,-71.194,-3.21359,-30.3335,-0.223809,-12.4801,-23.1727,-3.1064700000000003,-67.9537,-6.19433,-55.443000000000005,-1.28176,2.56873,0.0,4,25,0,-5.28435,-15.0,0.0,3,6,1,3,0.0,5.98914,8.82
4owv,-57.9204,-55.9204,-5.79204,-26.8843,-0.42548500000000006,-11.2594,-25.956,-5.79204,-33.3505,-0.943119,-32.9434,0.0,0.49316400000000005,0.0,2,8,0,0.0,-5.50893,0.0,2,2,2,1,0.0,0.0284873,4.35
4m13,-127.949,-115.949,-4.921130000000001,-43.1897,-0.362071,-18.0977,-39.1391,-4.1274,-105.09,-6.51055,-86.5795,0.0,0.8221870000000001,0.0,1,25,0,0.0,-16.9107,0.0,5,4,0,2,0.0,5.15156,6.7
1usn,-71.4976,-63.4976,-2.6480599999999996,-23.8325,-0.167688,-9.49938,-21.1659,-2.46544,-48.6446,-3.38685,-49.3423,0.0,2.24016,-0.1,4,23,0,0.0,-8.33906,0.0,3,4,1,2,0.0,1.81097,7.74
2psu,-91.7407,-61.7407,-2.54835,-27.784000000000002,-0.177232,-11.4259,-18.6984,-2.35232,-82.1606,-5.94412,-70.0378,0.0,0.495134,-0.1,3,33,0,0.0,-11.1213,0.0,3,6,0,5,0.0,9.29368,7.62
1odj,-74.7574,-64.7574,-3.7378699999999996,-27.5409,-0.263924,-11.3831,-23.8568,-3.25032,-51.6069,-6.6062899999999996,-37.7071,0.0,0.510716,0.0,1,19,0,0.0,-7.965960000000001,0.0,7,7,4,6,0.0,1.20102,4.1
4lm2,-56.7283,-52.7283,-4.72736,-24.7784,-0.341387,-10.3185,-23.0312,-4.36371,-38.0806,-2.0,-34.9029,0.0,0.63513,0.0,1,11,0,0.0,-0.414678,0.0,1,3,0,3,0.0,0.359927,3.03
3daz,-46.7252,-38.7252,-3.3375199999999996,-19.3869,-0.197759,-7.558110000000001,-16.0676,-3.3375199999999996,-28.5878,-1.66448,-22.9585,-1.0,0.511882,0.0,2,12,0,-12.0,-2.0680099999999997,0.0,2,6,2,4,10.5492,2.62882,7.93
3rz1,-53.2642,-37.2642,-1.97275,-17.7547,-0.12350699999999999,-7.049980000000001,-12.4214,-2.04862,-43.364,-2.0,-39.5448,-1.0,0.575426,0.0,4,22,1,-12.0,-3.0,0.0,2,4,2,2,13.6503,5.29286,8.74
2qx0,-75.8183,-73.8183,-5.41559,-31.458000000000002,-0.38842899999999997,-13.0703,-30.6282,-4.4599,-42.395,-4.442419999999999,-29.5905,-1.0,2.02104,0.0,2,12,0,-6.0,-12.5393,0.0,5,3,2,1,0.0,1.24747,6.11
