name,TOTAL_SCORE,SCORE_RB_PEN,SCORE_NORM_HEVATOMS,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,SCORE_NORM_CRT_WEIGHT,SCORE_RB_PEN_NORM_CRT_HEVATOMS,SCORE_NORM_CONTACT,PLPtotal,PLPparthbond,PLPpartsteric,PLPpartmetal,PLPpartrepulsive,PLPpartburpolar,LIG_NUM_CLASH,LIG_NUM_CONTACT,LIG_NUM_NO_CONTACT,CHEMPLP_CLASH2,TRIPOS_TORS,affinity
2z1w,-49.0118,-43.0118,-3.26746,-19.8733,-0.23884699999999998,-8.30948,-17.4404,-3.26746,-31.0683,-4.0,-32.046,0.0,4.25084,-0.0389855,4,11,0,0.0,0.409288,4.08
1xh5,-107.046,-93.0459,-2.48944,-30.5549,-0.181837,-12.7724,-26.5588,-2.48944,-98.0219,-12.919,-91.9882,0.0,0.522369,-0.00902176,9,34,0,0.0,8.358310000000001,5.47
3s6t,-77.8408,-67.8408,-3.11363,-26.6212,-0.22030500000000003,-11.0107,-23.2012,-3.11363,-68.8611,-15.1565,-50.6728,0.0,0.0130671,0.0,1,24,0,0.0,8.09277,7.35
3b67,-106.465,-92.465,-3.32703,-33.5344,-0.22448200000000001,-13.6521,-29.1247,-3.32703,-105.417,-10.4715,-101.204,0.0,0.737275,0.0,8,24,0,5.48387,7.89928,8.85
3fas,-61.0482,-53.0482,-6.10482,-28.3361,-0.40931300000000004,-11.5115,-24.6228,-6.10482,-46.5011,-21.8508,-23.2441,0.0,0.11525899999999999,0.0,1,9,0,0.0,2.93858,6.77
3m3z,-54.9994,-42.9994,-2.19998,-18.8095,-0.155651,-7.77957,-14.7056,-2.19998,-39.8653,-5.332999999999999,-39.0421,0.0,0.377717,-0.00441401,5,20,0,0.0,3.80519,5.73
2uyq,-50.6591,-48.6591,-2.97995,-19.7019,-0.213546,-8.18344,-18.9241,-2.97995,-32.7379,-8.0,-22.5651,0.0,0.7791939999999999,0.0,1,16,0,0.0,1.2110299999999998,5.68
1xd0,-102.065,-78.0654,-1.8557299999999999,-26.8385,-0.125887,-10.9458,-20.5276,-1.8557299999999999,-106.51899999999999,-40.1664,-71.8326,0.0,0.06454220000000001,-0.0488843,8,47,0,0.0,19.3873,7.12
3djo,-43.2323,-35.2323,-2.05868,-15.67,-0.133357,-6.29329,-12.7703,-2.05868,-27.1576,-7.657369999999999,-23.4087,0.0,0.365186,0.0,3,18,0,0.0,3.4720800000000005,4.39
1b05,-85.0056,-57.0056,-3.4002199999999996,-29.0715,-0.22398,-11.7409,-19.4956,-3.4002199999999996,-73.6103,-24.5071,-55.4296,0.0,0.362577,0.0,4,21,0,0.0,5.65375,7.12
4lps,-76.6617,-64.6617,-2.73792,-25.246,-0.174157,-10.0778,-21.2942,-2.8393200000000003,-62.6503,-28.9361,-30.8893,-4.0,0.29714,-0.05,2,25,1,0.0,3.3025300000000004,5.74
3iph,-92.346,-80.346,-3.55177,-31.1717,-0.265814,-13.1362,-27.121,-3.55177,-78.9889,-6.0,-73.5304,0.0,0.16464600000000001,-0.037156,2,24,0,0.0,4.61879,7.6
4mjp,-67.4947,-61.4947,-3.2140299999999997,-24.4641,-0.239889,-10.3003,-22.2894,-3.2140299999999997,-50.9193,-8.0,-41.4271,0.0,0.021187599999999997,0.0,1,20,0,0.0,1.8158299999999998,3.88
4jfk,-74.7553,-58.7553,-2.02041,-22.4341,-0.136506,-9.13718,-17.6325,-2.02041,-67.18,-3.51415,-82.292,0.0,0.643903,-0.05,8,29,0,4.1912199999999995,4.74704,6.44
3wz7,-89.7571,-73.7571,-2.56449,-27.4397,-0.184069,-11.4035,-22.5483,-2.56449,-78.34100000000001,-11.2727,-70.3029,0.0,0.0923944,0.0,4,31,0,0.190874,6.58397,5.74
2iuz,-105.244,-99.244,-3.7587099999999998,-34.6586,-0.272382,-14.4497,-32.6827,-3.7587099999999998,-92.8965,-3.6041,-91.5088,0.0,0.0555476,-0.00788784,6,22,0,0.0,1.99656,5.55
4g0q,-59.2445,-51.2445,-2.82117,-21.4738,-0.184455,-8.65092,-18.5741,-2.82117,-45.6639,-14.591,-28.3443,0.0,0.190959,-0.05,0,21,0,0.0,2.5956,2.52
3p9m,-130.599,-68.5988,-2.04061,-32.6497,-0.14413499999999999,-13.4963,-17.1497,-2.073,-131.951,-30.4213,-94.5686,0.0,0.230787,-0.05,2,62,0,0.0,14.5219,5
2wzs,-66.6634,-64.6634,-4.76167,-27.6595,-0.331322,-11.3765,-26.8297,-4.76167,-49.59,-15.921,-24.1449,-8.0,0.034953899999999996,0.0,1,13,0,0.0,0.079951,3.85
4jyb,-89.3248,-73.3248,-2.7914,-28.1355,-0.17238399999999998,-11.1211,-23.0959,-2.88144,-75.8557,-30.2806,-40.6966,0.0,0.384499,0.0,1,30,1,0.0,3.23707,6.96
2zxg,-83.9826,-63.9826,-2.89595,-27.3353,-0.20168699999999998,-11.2465,-20.8255,-2.99938,-73.1167,-12.3887,-55.443000000000005,-5.12705,1.28436,0.0,4,25,0,0.0,5.98914,8.82
4owv,-51.7525,-49.7525,-5.17525,-24.0214,-0.380175,-10.0604,-23.0931,-5.17525,-32.7284,-1.8862400000000001,-32.9434,0.0,0.24658200000000002,0.0,2,8,0,0.0,0.0284873,4.35
4m13,-115.53399999999999,-103.53399999999999,-4.443630000000001,-38.999,-0.326939,-16.3417,-34.9483,-4.443630000000001,-104.458,-13.0211,-86.5795,0.0,0.41109399999999996,0.0,1,25,0,0.0,5.15156,6.7
1usn,-64.3069,-56.3069,-2.38174,-21.4356,-0.150823,-8.544,-18.769000000000002,-2.38174,-48.2454,-6.7737,-49.3423,0.0,1.12008,-0.05,4,23,0,0.0,1.81097,7.74
2psu,-88.7867,-60.7867,-2.4663,-26.8893,-0.171525,-11.058,-18.4095,-2.4663,-81.3257,-11.8882,-70.0378,0.0,0.247567,-0.05,3,33,0,0.0,9.29368,7.62
1odj,-68.21300000000001,-64.21300000000001,-3.41065,-25.1299,-0.240819,-10.3866,-23.6563,-3.41065,-51.7881,-13.2126,-37.7071,0.0,0.255358,0.0,1,19,0,0.0,1.20102,4.1
4lm2,-56.5368,-54.5368,-4.7114,-24.6947,-0.340235,-10.2836,-23.8211,-4.7114,-37.999,-4.0,-34.9029,0.0,0.317565,0.0,1,11,0,0.0,0.359927,3.03
3daz,-36.9115,-32.9115,-2.63653,-15.3151,-0.156223,-5.97067,-13.6554,-2.63653,-29.5922,-3.32896,-22.9585,-4.0,0.255941,0.0,2,12,0,10.5492,2.62882,7.93
3rz1,-45.9245,-31.9245,-1.70091,-15.3082,-0.10648800000000001,-6.0785,-10.6415,-1.76633,-45.1724,-4.0,-39.5448,-4.0,0.287713,0.0,4,22,1,13.6503,5.29286,8.74
2qx0,-61.3275,-59.3275,-4.38053,-25.4456,-0.314191,-10.5723,-24.6158,-4.38053,-45.3212,-8.884830000000001,-29.5905,-4.0,1.01052,0.0,1,13,0,0.0,1.24747,6.11
4zb6,-71.4156,-29.4156,-1.7853900000000003,-20.881999999999998,-0.11695599999999999,-8.41788,-8.60117,-1.7853900000000003,-68.2154,-24.7063,-47.8677,0.0,0.747161,0.0,5,35,0,0.0,12.864,6.28
3fvn,-77.6463,-69.6463,-4.08665,-29.0984,-0.280037,-11.9074,-26.1004,-4.08665,-65.0398,-23.2309,-40.8076,0.0,0.52585,0.0,2,17,0,0.0,3.4321300000000003,6.77
