name,TOTAL_SCORE,SCORE_RB_PEN,SCORE_NORM_HEVATOMS,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,SCORE_NORM_CRT_WEIGHT,SCORE_RB_PEN_NORM_CRT_HEVATOMS,SCORE_NORM_CONTACT,PLPparthbond,PLPpartSteric,PLPpartmetal,LIG_NUM_CLASH,LIG_NUM_CONTACT,LIG_NUM_NO_CONTACT,CHEMPLP_CLASH2,TRIPOS_TORS,affinity
1h23,-163.42600000000002,-133.42600000000002,-4.539630000000001,-49.4943,-0.329009,-20.6356,-40.4087,-4.539630000000001,-6.94503,-149.255,0.0,2,34,0,0.034843,9.63808,8.35
3b1m,-131.047,-119.04700000000001,-3.44861,-38.9792,-0.255693,-16.3754,-35.4099,-3.44861,0.0,-120.09100000000001,0.0,4,34,0,0.0,7.68447,8.48
4jxs,-104.788,-92.7878,-4.76308,-37.397,-0.30880599999999997,-15.0234,-33.1144,-4.76308,-16.8922,-76.5378,0.0,3,19,0,0.0,6.74883,4.74
2pog,-98.2975,-96.2975,-4.68083,-35.6289,-0.348173,-14.984000000000002,-34.904,-4.68083,-6.34051,-73.0452,0.0,3,18,0,0.0,0.36089299999999996,9.54
1bcu,-96.2003,-96.2003,-6.012519999999999,-38.1771,-0.45753900000000003,-16.1781,-38.1771,-6.012519999999999,-3.3738699999999997,-73.8498,0.0,0,16,0,0.0,0.0,3.28
3d6q,-70.0258,-64.0258,-3.18299,-24.991,-0.22419299999999998,-10.3208,-22.8497,-4.3766099999999994,-6.02011,-47.9506,0.0,1,15,6,0.0,3.80436,3.76
3twp,-63.3457,-61.3457,-6.334569999999999,-29.4025,-0.46200600000000003,-12.2846,-28.4741,-6.334569999999999,-3.4800800000000005,-48.3891,0.0,0,10,0,7.46886,0.0130732,3.92
3myg,-112.465,-96.465,-3.7488300000000003,-36.1946,-0.26304099999999997,-14.9286,-31.0453,-3.7488300000000003,-4.50858,-96.0427,0.0,3,27,0,0.0,5.56447,10.7
3coy,-169.05599999999998,-153.056,-5.4534199999999995,-53.8158,-0.367921,-21.9081,-48.7225,-5.4534199999999995,-18.6293,-135.937,0.0,2,29,0,0.0,2.2347,6.02
4qac,-142.115,-136.115,-5.92146,-49.2685,-0.42250600000000005,-20.4348,-47.1884,-5.92146,-3.77892,-126.001,0.0,7,17,0,0.0,4.888780000000001,9.4
4crc,-164.123,-146.123,-4.20828,-48.3965,-0.303948,-20.1548,-43.0887,-4.20828,-8.92108,-150.813,0.0,4,35,0,0.0,12.1809,8.72
3u8k,-98.0396,-92.0396,-6.12747,-38.907,-0.441004,-16.1838,-36.5259,-6.12747,-4.0,-80.3669,0.0,0,16,0,0.0,3.90509,8.66
