name,Orientation_Score,Affinity_Score(Heavy_Ligand_Atoms),Affinity_Score,Buried_Protein_Hydrophobic_Term,Hydrophobic_Complementarity_Term,Polar_Component_Term,Number_of_Protein-Ligand_Hydrophobic_Contacts,Number_of_Protein-Ligand_H-bonds,Number_of_Protein-Ligand_Salt-bridges,Number_of_Metal-Ligand_Bonds,Number_of_Interfacial_Unsatisfied_Polar_Atoms,Number_of_Interfacial_Unsatisfied_Charged_Atoms,Buried_Carbons,affinity
3fk1,-8.317,-0.183,-7.053,-0.692,-1.411,0.268,13,5,12,0,1,1,1.000,2.62
4a7i,-8.686,-0.063,-6.719,-3.881,-0.166,2.546,97,2,0,0,17,2,1.000,8.7
2x8z,-7.396,-0.187,-7.841,-2.278,-0.747,0.402,38,4,5,0,3,0,1.000,7.96
5bwc,-7.998,-0.108,-7.929,-3.917,-0.000,1.206,88,0,0,0,8,1,0.895,7.21
4ymq,-9.474,-0.095,-9.013,-5.505,-0.166,1.876,112,2,0,0,10,4,0.920,5.8
4qy3,-6.539,-0.150,-7.915,-3.201,-0.166,0.670,54,2,0,0,2,3,1.000,6.82
3p3r,-6.719,-0.118,-7.584,-2.870,-0.166,0.670,53,2,0,0,5,0,1.000,7.25
3f8c,-8.580,-0.144,-10.102,-5.956,-0.000,1.072,145,0,0,0,7,1,1.000,7.68
1uv6,-6.386,-0.066,-5.878,-1.381,-0.083,0.804,41,1,0,0,6,0,1.000,5.12
1yvm,-6.301,-0.173,-7.640,-2.441,-0.249,0.268,46,3,0,0,1,1,1.000,6.4
2yay,-12.927,-0.126,-8.755,-2.119,-2.490,1.072,61,13,17,0,2,6,1.000,6.1
4ual,-6.938,-0.032,-6.048,-3.376,-0.000,2.546,65,0,0,0,17,2,1.000,8.4
3gcu,-9.705,-0.160,-11.296,-6.467,-0.415,0.804,119,5,0,0,6,0,0.966,6.78
4b6s,-9.535,-0.116,-8.119,-3.194,-0.913,1.206,59,8,3,0,9,0,1.000,6.01
1fzm,-12.831,-0.105,-12.367,-7.582,-1.577,2.010,110,16,3,0,10,5,1.000,7.7
2p3i,-6.648,-0.076,-6.898,-1.852,-0.498,0.670,29,5,1,0,5,0,0.833,3.48
3ibn,-7.404,-0.139,-7.989,-2.694,-0.747,0.670,25,2,7,0,4,1,1.000,7.61
1tni,-6.568,-0.123,-6.573,-2.312,-0.249,1.206,49,1,2,0,9,0,1.000,4
4hym,-7.760,-0.104,-8.334,-4.156,-0.166,1.206,86,2,0,0,7,2,0.895,8.22
2wos,-6.704,-0.124,-7.828,-3.682,-0.000,1.072,73,0,0,0,7,1,1.000,3.9
3s72,-6.749,-0.143,-7.082,-1.819,-0.581,0.536,21,3,4,0,4,0,1.000,6.4
3mzc,-6.341,-0.103,-7.168,-2.722,-0.166,0.938,37,2,0,0,6,1,0.917,6.65
4c1u,-10.209,-0.131,-8.880,-3.489,-1.245,1.072,74,11,4,0,7,1,1.000,7.09
3e85,-6.435,-0.098,-6.787,-2.507,-0.000,0.938,65,0,0,0,6,1,1.000,5.38
4few,-6.753,-0.098,-7.283,-2.971,-0.166,1.072,60,2,0,0,8,0,0.867,5.21
4bb9,-8.434,-0.116,-7.069,-1.359,-1.162,0.670,22,11,3,0,4,1,1.000,6
4mr3,-6.253,-0.117,-8.033,-3.938,-0.083,1.206,56,1,0,0,9,0,0.944,5.94
3pe2,-8.630,-0.145,-8.991,-4.647,-0.332,1.206,95,2,2,0,6,3,1.000,9.76
1hvl,-10.374,-0.141,-13.409,-9.352,-0.581,1.742,115,7,0,0,11,2,1.000,9.95
3eb1,-6.294,-0.081,-7.563,-3.168,-0.249,1.072,35,2,1,0,6,2,0.625,4.79
4o61,-7.089,-0.144,-7.087,-1.358,-0.913,0.402,15,3,8,0,2,1,1.000,4.3
4qnb,-9.169,-0.174,-10.773,-6.161,-0.332,0.938,113,4,0,0,6,1,1.000,6.59
2vo4,-5.645,-0.131,-6.655,-1.839,-0.000,0.402,33,0,0,0,3,0,1.000,4.94
3l3n,-10.493,-0.186,-11.907,-5.731,-1.494,0.536,75,6,12,0,3,1,0.926,8.18
3mxe,-9.122,-0.082,-9.070,-5.983,-0.415,2.546,79,5,0,0,14,5,1.000,10.01
2x2r,-7.609,-0.140,-8.571,-3.857,-0.166,0.670,86,1,1,0,5,0,0.850,7.12
1jev,-12.222,-0.179,-11.138,-5.281,-1.577,0.938,102,12,7,0,6,1,1.000,6.89
3fas,-8.240,-0.204,-7.257,-1.177,-0.996,0.134,33,6,6,0,1,0,1.000,6.77
4zzz,-7.633,-0.135,-7.641,-2.978,-0.249,0.804,77,3,0,0,3,3,1.000,7.06
4k3n,-7.215,-0.102,-6.945,-2.135,-0.664,1.072,35,5,3,0,8,0,1.000,7.96
4zwx,-7.828,-0.030,-6.326,-2.052,-0.664,1.608,31,2,6,0,11,1,0.474,8.7
4z2b,-9.169,-0.142,-10.490,-6.714,-0.166,1.608,126,2,0,0,12,0,1.000,7.76
1bcd,-6.645,-0.088,-5.920,-0.440,-0.664,0.402,9,4,4,0,3,0,1.000,8.7
2baj,-8.659,-0.148,-9.208,-4.411,-0.249,0.670,88,3,0,0,4,1,0.950,8.4
2pcp,-8.104,-0.149,-7.901,-3.672,-0.083,1.072,94,1,0,0,7,1,1.000,8.7
1iy7,-9.909,-0.252,-9.251,-2.258,-1.909,0.134,28,4,19,0,1,0,1.000,6.19
1l83,-5.753,-0.230,-6.600,-1.382,-0.000,0.000,44,0,0,0,0,0,1.000,3.4
4jyc,-8.967,-0.070,-7.191,-1.615,-1.162,0.804,34,13,1,0,2,4,0.900,6.7
4na9,-9.557,-0.172,-11.255,-6.381,-0.996,1.340,82,6,6,0,8,2,0.966,7.39
4zj6,-9.173,-0.069,-10.667,-6.795,-0.664,2.010,81,6,2,0,12,3,0.596,8.52
3h8b,-10.317,-0.097,-12.012,-9.059,-0.415,2.680,133,5,0,0,16,4,0.807,6.29
3mxd,-9.576,-0.119,-10.435,-7.131,-0.498,2.412,92,6,0,0,15,3,1.000,8.83
2sim,-8.499,-0.126,-7.732,-1.588,-1.328,0.402,27,6,10,0,3,0,1.000,3.42
2qft,-8.827,-0.213,-7.345,-0.684,-1.577,0.134,14,6,13,0,1,0,1.000,5.26
4nze,-8.166,-0.042,-7.681,-5.060,-0.083,2.680,84,1,0,0,18,2,0.650,6.8
4z84,-8.772,-0.148,-8.912,-4.134,-0.498,0.938,80,3,3,0,7,0,1.000,5.82
4non,-8.398,-0.071,-7.216,-1.723,-1.079,0.804,23,13,0,0,5,1,0.900,5.24
1n51,-10.470,-0.162,-10.565,-4.740,-1.411,0.804,75,5,12,0,3,3,1.000,4.85
3gx0,-9.912,-0.102,-9.315,-4.141,-1.162,1.206,65,5,9,0,9,0,0.800,3.48
2j95,-8.024,-0.054,-6.877,-4.339,-0.000,2.680,85,0,0,0,20,0,0.947,8.4
3ujd,-7.127,-0.141,-6.765,-1.151,-0.664,0.268,29,8,0,0,2,0,1.000,4.69
2am4,-11.360,-0.109,-9.154,-3.233,-1.909,1.206,46,12,11,0,8,1,1.000,3.72
2xpc,-8.846,-0.142,-10.468,-5.441,-0.747,0.938,63,5,4,0,6,1,0.885,3.9
2pou,-7.323,-0.102,-6.855,-1.560,-0.747,0.670,20,5,4,0,5,0,1.000,7.42
1pfu,-6.397,-0.067,-5.891,-1.177,-0.166,0.670,40,1,1,0,5,0,1.000,2.72
1ecv,-8.306,-0.143,-7.508,-2.079,-0.747,0.536,56,3,6,0,4,0,1.000,4.85
2y80,-8.912,-0.096,-8.396,-5.239,-0.083,2.144,110,1,0,0,14,2,1.000,8.05
3pck,-6.218,-0.103,-6.349,-1.367,-0.166,0.402,37,2,0,0,0,3,1.000,6.7
4qdk,-10.314,-0.138,-8.819,-3.460,-1.079,0.938,80,8,5,0,6,1,1.000,5.85
3p9l,-12.709,-0.110,-12.675,-8.490,-1.245,2.278,138,13,2,0,14,3,0.978,5.3
4x6n,-9.583,-0.090,-8.908,-5.923,-0.581,2.814,93,7,0,0,18,3,0.963,8.82
1eoc,-6.701,-0.141,-6.772,-1.356,-0.332,0.134,33,4,0,0,0,1,1.000,6.05
