name,vina_affinity,vina_gauss1,vina_gauss2,vina_repulsion,vina_hydrophobic,HB,rbond,affinity
2z1w,-4.60016,58.44426,947.59532,3.80199,16.59584,1.80989,3,4.08
1xh5,-12.52438,157.40419,2204.73689,5.96362,61.92950,5.98745,7,5.47
3s6t,-7.95375,106.60113,1131.01182,4.01706,22.89915,6.66920,8,7.35
3b67,-11.14134,136.12663,2048.90232,4.29722,54.89415,3.93136,8,8.85
3fas,-6.01722,73.94717,697.39246,4.90462,12.21311,9.22169,7,6.77
3m3z,-5.53334,105.76846,1269.59668,5.70062,0.00000,4.14776,9,5.73
2uyq,-5.91315,53.45966,920.71003,2.69159,0.00000,3.78126,3,5.68
1xd0,-8.89275,149.34894,2561.84529,10.80454,5.45128,16.41595,28,7.12
3djo,-4.31818,57.86528,824.17221,4.30119,2.57219,5.18114,8,4.39
1b05,-6.64152,124.14795,1600.37081,7.71543,15.23825,10.45070,18,7.12
4lps,-7.67543,116.51710,1107.93943,7.31528,0.00000,12.47566,9,5.74
3iph,-9.95357,104.10889,1537.84974,2.77564,71.27276,2.81021,6,7.6
4mjp,-6.72509,54.21536,905.77992,2.52758,40.14376,3.43673,3,3.88
4jfk,-7.08641,135.38153,1597.13212,6.46019,56.68877,1.34349,8,6.44
3wz7,-9.67425,105.55551,1709.16509,4.38371,70.04274,4.85951,8,5.74
2iuz,-7.13573,165.53590,1276.30874,5.60776,0.00000,1.08194,3,5.55
4g0q,-4.52751,74.78639,723.91194,5.46167,5.70749,6.79536,7,2.52
3p9m,-8.52170,185.76399,2779.81962,8.74080,94.46181,13.27385,34,5
2wzs,-5.95303,62.34647,864.95200,3.93805,0.00000,6.17005,5,3.85
4jyb,-8.74738,129.63256,1303.16800,6.49595,0.00000,13.15324,11,6.96
2zxg,-7.62998,93.50577,1572.71021,4.58502,41.49132,5.58751,11,8.82
4owv,-4.28713,38.90450,525.82310,1.08390,29.42243,0.54705,1,4.35
4m13,-11.09035,138.68351,1667.81902,4.83556,61.24158,5.73461,6,6.7
1usn,-6.61526,84.76996,1038.33117,2.56870,22.10524,2.64781,5,7.74
2psu,-8.20847,107.53417,1926.80872,4.16481,54.36659,5.08909,15,7.62
1odj,-7.94373,103.57418,1255.14759,4.02454,0.00000,5.13852,6,4.1
4lm2,-5.03838,43.85407,651.82672,1.44932,24.26945,1.57440,2,3.03
3daz,-4.99319,52.76771,761.52597,0.74865,6.30527,1.29896,5,7.93
3rz1,-6.66044,60.22814,1161.34526,1.82938,38.33931,2.79520,8,8.74
2qx0,-6.37983,88.67357,797.59740,3.19544,0.00000,4.02180,2,6.11
