name,AutoDock4.1Score,estat,hb,vdw,dsolv,tors,affinity
1a08,-6.5261,-3.3218,-3.3354,-9.9066,4.3701,5.6677,5.62
1u2y,-1.5569,-1.1198,-1.5065,-3.9576,2.9389,2.0881,1.74
1b39,-4.9402,-3.3340,-0.7056,-11.7912,7.6092,3.2813,6.92
2i0d,-9.1019,-0.2973,-1.5329,-15.3562,3.6099,4.4745,12.1
2c02,-5.2221,-3.2271,-2.2935,-7.7242,5.6363,2.3864,4.04
1a1b,-7.3212,-3.5652,-3.8308,-9.7382,4.1454,5.6677,6.4
1n2v,-5.1698,-0.5479,-1.6405,-7.0118,3.1355,0.8949,4.08
1xd1,-8.0368,-3.1534,-5.7568,-19.4587,10.1899,10.1422,7.92
1jq9,-3.3545,-1.5651,-2.8739,-12.1773,6.1027,7.1592,8.45
3pch,-3.4305,-0.5845,-0.9509,-4.7053,2.2136,0.5966,5.4
2bzz,-6.3217,-5.4489,-3.9488,-12.6817,9.4934,6.2643,6.43
1ha2,-6.2729,-0.0258,-0.5047,-9.0861,1.5539,1.7898,5.54
1tyr,-3.4118,0.0675,-0.0001,-6.1028,0.2373,2.3864,7
1re8,-14.9402,-2.3357,-3.5605,-16.3957,4.6671,2.6847,9.52
1l2s,-7.3371,-1.3187,-2.3260,-7.5451,2.6594,1.1932,4.59
2aou,-9.1586,-1.0005,-0.3405,-12.5752,2.6695,2.0881,7.73
1jqd,-4.6542,-0.9768,-2.7415,-10.1828,6.2638,2.9830,5.16
1apw,-8.4631,-0.7102,-3.5790,-12.9362,4.2878,4.4745,8
2b1v,-4.0290,-0.1080,-1.2383,-4.7110,0.8352,1.1932,5.74
1bra,-6.4411,-2.5051,-0.9961,-6.3076,2.4729,0.8949,1.82
2hdq,-5.8005,-2.0933,-1.6501,-3.9028,1.5474,0.2983,1.4
1gni,-6.3136,-1.0078,-0.4714,-9.1447,-0.1641,4.4745,8.07
2aov,-8.0419,-1.3120,-1.2716,-8.8244,2.4713,0.8949,7.04
2flb,-11.6203,-3.6351,-4.2107,-10.7174,5.4514,1.4915,5.74
2f01,-10.1357,-1.0152,-3.6043,-9.9867,2.9790,1.4915,13
7cpa,-8.7956,-0.8175,-4.0988,-14.4042,6.0504,4.4745,13.96
1xgj,-6.6038,-2.0888,-2.0275,-7.6606,3.3833,1.7898,6
2er9,-10.0935,-0.6550,-3.8189,-19.8030,6.4276,7.7558,7.4
2fai,-5.9734,-0.1728,-1.4319,-6.3811,0.8191,1.1932,6.24
1slg,-3.9496,-0.1564,-2.7830,-14.1863,5.4202,7.7558,3.9
1is0,-9.3501,-4.6973,-3.9762,-11.0545,4.7101,5.6677,7
1utp,-3.5942,-1.0246,-0.9208,-5.1129,1.9726,1.4915,1.44
1y1m,-8.9482,-2.8752,-3.6664,-5.4989,2.4957,0.5966,1.82
1e5a,-4.5995,-0.1117,-0.5317,-4.5587,0.3043,0.2983,7.64
1h23,-11.5108,-1.5740,-1.2947,-15.8414,2.7248,4.4745,8.35
1bcu,-5.3435,-0.1496,-0.8056,-7.4393,2.7527,0.2983,3.28
2cet,-9.9189,-1.2338,-4.3972,-11.1500,4.4757,2.3864,8.02
4tmn,-8.6212,0.4816,-4.0934,-14.6767,5.1928,4.4745,10.17
1mq6,-11.0033,-0.1430,-0.9049,-17.1813,4.8396,2.3864,11.15
1o0h,-8.2972,-3.7745,-3.9054,-8.6727,5.6690,2.3864,5.92
1nc1,-8.4109,-0.6134,-2.6881,-12.0200,5.1209,1.7898,6.12
2brb,-6.0290,0.0126,-0.2068,-9.5993,2.5712,1.1932,4.86
1nvq,-12.8253,-2.0606,-2.5346,-13.8068,3.7869,1.7898,8.25
1q8t,-4.7424,-0.5372,-0.6840,-6.9012,2.1868,1.1932,4.76
2j78,-8.2755,-1.4137,-5.0396,-8.0423,4.4303,1.7898,6.42
1sqa,-7.9270,-0.7300,-2.5859,-12.3633,5.3658,2.3864,9.21
1u1b,-8.2095,-2.8768,-3.4618,-13.8201,7.4747,4.4745,7.8
